task,seed,intervention,n_removed,baseline_mse,removed_mse,mean_preserved_mse,constant_optimal_mse
20,0,remove_grown,100,0.002967587169756934,3.316927886379691,3.001477096718395,2.9990234375
20,1,remove_grown,100,0.16298472693948746,11.493143759500988,2.1924666729646236,2.05859375
20,2,remove_grown,100,0.009454297048235976,2.2440173907185823,1.160211907719717,1.15234375
20,3,remove_grown,100,0.0001633948508034185,1.7239100875337947,1.5537166021850262,1.5537109375
20,4,remove_grown,100,0.009164517596090624,3.392584288156513,2.108742631083919,2.1083984375
20,5,remove_grown,100,0.00024280008297315818,4.110215620171632,1.4023461387718195,1.40234375
20,6,remove_grown,100,0.0004977813145724677,2.517367544092796,2.172217597715745,2.171875
20,7,remove_grown,100,0.01294572596333931,0.470902902233989,0.47907773054040526,0.4677734375
20,8,remove_grown,99,7.136735495503799e-05,3.5344198042093717,1.119012117953619,1.12109375
20,9,remove_grown,100,0.00021267629979932848,2.0255012996699775,1.639652468440109,1.6396484375
20,0,remove_shrunk,0,0.002967587169756934,0.0029675871697569345,0.0029675871697569345,2.9990234375
20,1,remove_shrunk,0,0.16298472693948746,0.16298472693948746,0.16298472693948746,2.05859375
20,2,remove_shrunk,0,0.009454297048235976,0.009454297048235976,0.009454297048235976,1.15234375
20,3,remove_shrunk,0,0.0001633948508034185,0.0001633948508034185,0.0001633948508034185,1.5537109375
20,4,remove_shrunk,0,0.009164517596090624,0.009164517596090624,0.009164517596090624,2.1083984375
20,5,remove_shrunk,0,0.00024280008297315818,0.00024280008297315818,0.00024280008297315818,1.40234375
20,6,remove_shrunk,0,0.0004977813145724677,0.0004977813145724676,0.0004977813145724676,2.171875
20,7,remove_shrunk,0,0.01294572596333931,0.01294572596333931,0.01294572596333931,0.4677734375
20,8,remove_shrunk,1,7.136735495503799e-05,0.0005236703563205041,0.0003012360817708273,1.12109375
20,9,remove_shrunk,0,0.00021267629979932848,0.00021267629979932845,0.00021267629979932845,1.6396484375
100,0,remove_grown,100,6.915291392501569e-07,6.022932382331232,2.2724609914208815,2.2724609375
100,1,remove_grown,100,0.0002505262620463875,1.9383772986823402,1.9338224261448558,1.93359375
100,2,remove_grown,100,0.004461561178028743,1.3970324659248945,1.3037151014475836,1.3037109375
100,3,remove_grown,100,0.001462425763329021,5.9286803133528405,2.246245301953648,2.24609375
100,4,remove_grown,100,1.5484584851908493e-05,3.6783054381372757,0.9960950779842395,0.99609375
100,5,remove_grown,100,0.00045964904831415174,1.9146026361286772,1.4365736065047718,1.4365234375
100,6,remove_grown,100,0.0003644169366229745,1.8536270471795753,1.0898624019683656,1.08984375
100,7,remove_grown,100,0.00011664126661736548,5.050530471448361,2.6318384962113415,2.6318359375
100,8,remove_grown,99,1.5223296896241973e-05,1.468279975634785,1.462693411810385,1.46484375
100,9,remove_grown,100,1.712217323698407e-05,5.609065410380257,5.546875006350824,5.546875
100,0,remove_shrunk,0,6.915291392501569e-07,6.915291392501569e-07,6.915291392501569e-07,2.2724609375
100,1,remove_shrunk,0,0.0002505262620463875,0.00025052626204638746,0.00025052626204638746,1.93359375
100,2,remove_shrunk,0,0.004461561178028743,0.004461561178028743,0.004461561178028743,1.3037109375
100,3,remove_shrunk,0,0.001462425763329021,0.001462425763329021,0.001462425763329021,2.24609375
100,4,remove_shrunk,0,1.5484584851908493e-05,1.5484584851908493e-05,1.5484584851908493e-05,0.99609375
100,5,remove_shrunk,0,0.00045964904831415174,0.00045964904831415174,0.00045964904831415174,1.4365234375
100,6,remove_shrunk,0,0.0003644169366229745,0.0003644169366229745,0.0003644169366229745,1.08984375
100,7,remove_shrunk,0,0.00011664126661736548,0.00011664126661736548,0.00011664126661736548,2.6318359375
100,8,remove_shrunk,1,1.5223296896241973e-05,0.0002933765894346965,1.843707667851592e-05,1.46484375
100,9,remove_shrunk,0,1.712217323698407e-05,1.712217323698407e-05,1.712217323698407e-05,5.546875
500,0,remove_grown,100,7.503929973798311e-06,2.169571476598378,2.1523443671243854,2.15234375
500,1,remove_grown,100,2.9985397682040803e-06,2.273938948406201,1.812502001729437,1.8125
500,2,remove_grown,100,7.064684921033774e-05,2.188742750775223,0.944343094408596,0.9443359375
500,3,remove_grown,100,5.1222327310156306e-05,0.9946942980021198,0.9130866792170569,0.9130859375
500,4,remove_grown,100,0.00027177462903640593,9.660230771904025,2.2345139949491446,2.234375
500,5,remove_grown,100,1.6821020027780528e-05,1.2132445898747761,0.5000036900772734,0.5
500,6,remove_grown,100,8.738069140529365e-05,4.454018842643805,0.7968766708433828,0.796875
500,7,remove_grown,100,1.004134185614355e-05,3.2170221994616703,1.3349656644547658,1.3349609375
500,8,remove_grown,99,4.5060557053923555e-06,4.910058415955396,1.835062286479638,1.83984375
500,9,remove_grown,100,0.00012449802097364677,6.001370582261046,1.2968845138861664,1.296875
500,0,remove_shrunk,0,7.503929973798311e-06,7.5039299737983095e-06,7.5039299737983095e-06,2.15234375
500,1,remove_shrunk,0,2.9985397682040803e-06,2.9985397682040803e-06,2.9985397682040803e-06,1.8125
500,2,remove_shrunk,0,7.064684921033774e-05,7.064684921033774e-05,7.064684921033774e-05,0.9443359375
500,3,remove_shrunk,0,5.1222327310156306e-05,5.122232731015631e-05,5.122232731015631e-05,0.9130859375
500,4,remove_shrunk,0,0.00027177462903640593,0.00027177462903640593,0.00027177462903640593,2.234375
