task,seed,intervention,n_removed,baseline_mse,removed_mse,mean_preserved_mse,constant_optimal_mse
20,0,remove_grown,100,3.0548334612635514e-06,3.1572015435903014,2.9990240145017166,2.9990234375
20,1,remove_grown,100,0.01078006722899379,15.399735314038516,2.061784231786403,2.05859375
20,2,remove_grown,100,0.000947325854350405,2.843976658357604,1.1530573515417963,1.15234375
20,3,remove_grown,100,0.006591044837054385,1.8381573507554956,1.5548762377401268,1.5537109375
20,4,remove_grown,100,0.002300135955768383,5.154685942621802,2.108872468978082,2.1083984375
20,5,remove_grown,100,0.00013399431694601375,5.069104114105157,1.4023751589942623,1.40234375
20,6,remove_grown,100,0.0006317783616578601,3.422742521593536,2.171890559892227,2.171875
20,7,remove_grown,100,8.16781112956597e-05,0.4806114864060622,0.4677862651976042,0.4677734375
20,8,remove_grown,100,6.412322245817246e-05,3.9257411886825633,1.1210979067254312,1.12109375
20,9,remove_grown,100,0.0006674990108252406,2.1824889857831344,1.6400265028011534,1.6396484375
20,0,remove_shrunk,0,3.0548334612635514e-06,3.054833461263551e-06,3.054833461263551e-06,2.9990234375
20,1,remove_shrunk,0,0.01078006722899379,0.01078006722899379,0.01078006722899379,2.05859375
20,2,remove_shrunk,0,0.000947325854350405,0.0009473258543504049,0.0009473258543504049,1.15234375
20,3,remove_shrunk,0,0.006591044837054385,0.006591044837054387,0.006591044837054387,1.5537109375
20,4,remove_shrunk,0,0.002300135955768383,0.002300135955768383,0.002300135955768383,2.1083984375
20,5,remove_shrunk,0,0.00013399431694601375,0.00013399431694601375,0.00013399431694601375,1.40234375
20,6,remove_shrunk,0,0.0006317783616578601,0.0006317783616578601,0.0006317783616578601,2.171875
20,7,remove_shrunk,0,8.16781112956597e-05,8.16781112956597e-05,8.16781112956597e-05,0.4677734375
20,8,remove_shrunk,0,6.412322245817246e-05,6.412322245817246e-05,6.412322245817246e-05,1.12109375
20,9,remove_shrunk,0,0.0006674990108252406,0.0006674990108252406,0.0006674990108252406,1.6396484375
100,0,remove_grown,100,0.001980584763612821,6.169329546476292,2.273044790577093,2.2724609375
100,1,remove_grown,100,0.0009318075529688246,2.925357740229231,1.9336434049318512,1.93359375
100,2,remove_grown,100,5.757838684719305e-05,1.4512073061377695,1.3037172103138792,1.3037109375
100,3,remove_grown,100,0.04017116290657298,5.276485941059391,2.248006385027134,2.24609375
100,4,remove_grown,100,0.0007412291006650786,8.117092759384946,0.9966323500217649,0.99609375
100,5,remove_grown,100,0.0024319213699821674,1.5176793966677593,1.4366738152821008,1.4365234375
100,6,remove_grown,100,0.0004563884262347903,5.44887104401063,1.0898466015907533,1.08984375
100,7,remove_grown,100,0.0006982222928226427,5.7026766365836465,2.6318496491366634,2.6318359375
100,8,remove_grown,100,0.0009909946262652133,1.619397926290099,1.4648540757823973,1.46484375
100,9,remove_grown,100,0.7071148823017329,5.797088862479579,6.116555065433664,5.546875
100,0,remove_shrunk,0,0.001980584763612821,0.001980584763612821,0.001980584763612821,2.2724609375
100,1,remove_shrunk,0,0.0009318075529688246,0.0009318075529688246,0.0009318075529688246,1.93359375
100,2,remove_shrunk,0,5.757838684719305e-05,5.7578386847193056e-05,5.7578386847193056e-05,1.3037109375
100,3,remove_shrunk,0,0.04017116290657298,0.04017116290657298,0.04017116290657298,2.24609375
100,4,remove_shrunk,0,0.0007412291006650786,0.0007412291006650786,0.0007412291006650786,0.99609375
100,5,remove_shrunk,0,0.0024319213699821674,0.002431921369982167,0.002431921369982167,1.4365234375
100,6,remove_shrunk,0,0.0004563884262347903,0.00045638842623479026,0.00045638842623479026,1.08984375
100,7,remove_shrunk,0,0.0006982222928226427,0.0006982222928226427,0.0006982222928226427,2.6318359375
100,8,remove_shrunk,0,0.0009909946262652133,0.0009909946262652133,0.0009909946262652133,1.46484375
100,9,remove_shrunk,0,0.7071148823017329,0.7071148823017329,0.7071148823017329,5.546875
500,0,remove_grown,100,1.0799327573162254e-09,2.175026933550626,2.1523437502449805,2.15234375
500,1,remove_grown,100,0.0020549359797277155,1.9236429886366586,1.8125137246983722,1.8125
500,2,remove_grown,100,0.0001644579616301353,1.469127112172501,0.9443586403559256,0.9443359375
500,3,remove_grown,100,0.0008412035614626717,1.0808610065165158,0.9132074113736399,0.9130859375
500,4,remove_grown,100,0.0014740739366267488,22.748627656612385,2.2346177229816497,2.234375
500,5,remove_grown,100,0.0005488557491989314,0.8157009542874789,0.5000285136193545,0.5
500,6,remove_grown,100,0.00025375229185343155,1.155799801893309,0.7970329753315437,0.796875
500,7,remove_grown,100,1.1990146889271834e-06,5.387067532064144,1.3349611061920836,1.3349609375
500,8,remove_grown,100,0.0003746935846258638,6.508403173767547,1.8400211366382566,1.83984375
500,9,remove_grown,100,9.05773080534206e-05,7.952700846363795,1.2969359310844124,1.296875
500,0,remove_shrunk,0,1.0799327573162254e-09,1.0799327573162256e-09,1.0799327573162256e-09,2.15234375
500,1,remove_shrunk,0,0.0020549359797277155,0.0020549359797277155,0.0020549359797277155,1.8125
500,2,remove_shrunk,0,0.0001644579616301353,0.0001644579616301353,0.0001644579616301353,0.9443359375
500,3,remove_shrunk,0,0.0008412035614626717,0.0008412035614626716,0.0008412035614626716,0.9130859375
500,4,remove_shrunk,0,0.0014740739366267488,0.0014740739366267488,0.0014740739366267488,2.234375
500,5,remove_shrunk,0,0.0005488557491989314,0.0005488557491989314,0.0005488557491989314,0.5
500,6,remove_shrunk,0,0.00025375229185343155,0.00025375229185343155,0.00025375229185343155,0.796875
500,7,remove_shrunk,0,1.1990146889271834e-06,1.1990146889271837e-06,1.1990146889271837e-06,1.3349609375
500,8,remove_shrunk,0,0.0003746935846258638,0.0003746935846258638,0.0003746935846258638,1.83984375
500,9,remove_shrunk,0,9.05773080534206e-05,9.05773080534206e-05,9.05773080534206e-05,1.296875
