arm,iv,seed,layer,group,strip,step1_delta,early_1_to_20_mean_delta,minimum_0_to_300_delta,minimum_step,step20_delta,step100_delta,step300_delta,step625_delta
SNA,none,0,1,all,-0.015160363877780346,-0.006317975122579619,-0.06637275554234848,-0.15572995897480538,26,-0.13434476078585966,-0.095233154770379,-0.024285388911927212,0.018666791387000364
SNA,none,0,1,D_only,-1.8022954735333676,0.013249271239758066,0.18371234526762364,0.0,0,0.28253391007868833,0.4504755238042681,0.6047922046357934,0.7003908511069487
SNA,none,0,1,N_only,0.9033526007964966,-0.02011384424962923,-0.2756367653737174,-0.6129677141482847,49,-0.5015682465583577,-0.5698273138972384,-0.585156310352781,-0.5949404604422975
SNA,none,0,1,both,-1.2603676093793992,-0.030281355319958597,-0.46492107679692307,-1.0037819538006767,115,-0.7589741781379821,-0.9469550618022268,-0.8808814101697257,-0.846305230192633
SNA,none,0,1,rest,0.4204963244927921,-0.008813669028625466,-0.07945331364194586,-0.16801497170967952,25,-0.14648806091806324,-0.11481463502375523,-0.042593867388858536,0.0005023735307607092
SNA,none,0,2,all,-0.06699221516322147,-0.014825585745275021,-0.10403609222857477,-0.17407827237277831,24,-0.157313679751793,-0.05313477326184512,0.03370746824106103,0.05183479701217851
SNA,none,1,1,all,-0.023231296902522444,-0.0017312357672735264,-0.04803417698085603,-0.1437094883973661,30,-0.10459148821764087,-0.0658277367964681,-0.02343277059446432,0.01904370214937157
SNA,none,1,1,D_only,-1.8446703796201114,0.01309246744106269,0.1957220609766705,0.0,0,0.2911088505863062,0.4867684696257466,0.6105657363480046,0.7638538391455034
SNA,none,1,1,N_only,0.7944785897724594,-0.011033310586822059,-0.234693393654337,-0.5697963691689746,59,-0.42139919808457504,-0.5251013724997649,-0.5484163583174048,-0.5469359876417106
SNA,none,1,1,both,-1.374401491911461,-0.01566678607126787,-0.24912741758993695,-0.5676218370818311,32,-0.3886860050482764,-0.4185699537795569,-0.4146251376230447,-0.30938567263295963
SNA,none,1,1,rest,0.4757780778881466,-0.003997320054963319,-0.06784398940738767,-0.17313049591108406,37,-0.1311917217167337,-0.10197783886902079,-0.06706292846489098,-0.05862934484271139
SNA,none,1,2,all,0.07244393536232803,-0.009077150237893586,-0.1435301076005409,-0.27280054964419265,34,-0.20394376477422688,-0.16971052975344816,-0.05926967818240977,-0.07631959136673494
SNA,none,2,1,all,0.012362369789104714,-0.00324709432738784,-0.06727422873005516,-0.17360394165361007,29,-0.1433983875894429,-0.1355081043662013,-0.0190239368055604,-0.01591890524680677
SNA,none,2,1,D_only,-1.8356021795772397,0.011370403467959355,0.16806662784555387,0.0,0,0.25913827294533914,0.3818940349271947,0.6214569177075415,0.6776674728322912
SNA,none,2,1,N_only,0.8459180702040419,-0.015898182708085528,-0.2895871525684116,-0.6203256730007476,37,-0.5210101915565161,-0.5718739231424973,-0.5550088228212067,-0.5784766526210107
SNA,none,2,1,both,-1.338974891030895,-0.008797433526654328,-0.18697091383759729,-0.5536928166236196,63,-0.3360418664690639,-0.5150882349781958,-0.46540675119363834,-0.5065355039467769
SNA,none,2,1,rest,0.5135947542596504,-0.003967617195691608,-0.07057581828183752,-0.2022952615991208,58,-0.1511854661535394,-0.16624733955812035,-0.058549970235958926,-0.06719092540508777
SNA,none,2,2,all,-0.021825180273306998,-0.008355346524499749,-0.13466060490118287,-0.2970320853581162,28,-0.2346918574813753,-0.1667658927624947,-0.018250210140586687,0.009200153232208992
SNA,l2-1e-3,0,1,all,0.08987797447032982,-0.006220451399904528,-0.11003209025342489,-0.19565655993426367,22,-0.1921251074710591,-0.1201867476574415,-0.10024683553952186,-0.0885837071942239
SNA,l2-1e-3,0,1,D_only,-0.45120398740976037,-0.0037287553316616004,-0.08153618189071285,-0.13771457028893228,20,-0.13771457028893228,0.06822152052571767,0.15351528751373114,0.18768770936313092
SNA,l2-1e-3,0,1,N_only,0.2262261643686856,-0.009230371442076273,-0.12520539223122973,-0.19640970667195695,20,-0.19640970667195695,-0.1672570066335951,-0.15983571651061415,-0.14588942079312442
SNA,l2-1e-3,0,1,both,-0.4074564862369233,-0.0010447235740627856,-0.10466571988707425,-0.21981148129343092,20,-0.21981148129343092,-0.018474780531318468,0.06235748266391985,0.052428468062838816
SNA,l2-1e-3,0,1,rest,0.2814976721816574,-0.006553865305411278,-0.1161970673481116,-0.2184167408602161,23,-0.20940339350373724,-0.18029550706466804,-0.18535279079673575,-0.1793418271564754
