condition,seed,valid,compensated,residual_ratio,mean_residual_ratio,net_force_ratio,negative_force_rms_ratio,force_rms_ratio,down_fraction,force_mean,self_mean,rest_mean
Kc,0,True,False,0.8371013699801964,0.0043459744131362265,5.980732935559536e-05,0.004890038025918384,0.00695540202113621,0.48484848484848486,5.917004742346119e-06,11.561579811494939,-11.561573894490197
Kc,1,True,False,0.5319615746195067,0.001442690153898527,-6.209260470140396e-05,0.000911759273825617,0.0012500789053162724,0.5172413793103449,-5.027367697345854e-05,14.545523538469828,-14.545573812146804
Kc,2,True,False,0.9065990583413708,0.001609978561714344,-0.00025299988944159395,0.007012327737858523,0.009693244502350538,0.5,-3.809619255979208e-05,12.721918379657781,-12.721956475850341
Kc,3,True,False,0.6012451720573919,0.0002315342788142855,-1.6736256530238289e-06,0.0001916955734727481,0.00027004086858759533,0.5,-1.7431957348487193e-06,15.43066101999865,-15.430662763194382
Kc,4,True,False,0.4354972579777663,0.0001753740758077826,6.648462566425642e-05,0.0010686309579626358,0.0015430204714262862,0.4583333333333333,1.1024760922659056e-05,14.762776076340478,-14.762765051579555
Kc,5,True,False,0.7886930243983309,0.0011159978510033664,0.0015188147326228585,0.00789663770662052,0.013106969354361023,0.5172413793103449,0.000355732714995912,13.133035771016013,-13.13268003830102
Kc,6,True,False,0.42083938661640524,0.0007535309253951103,-6.830515209583261e-05,0.0009900771226297345,0.001380045675794585,0.5277777777777778,-0.00014426149404418823,13.12578415850154,-13.125928419995587
Kc,7,True,False,0.6720737566887817,0.00019977296546597222,-0.004745869629465858,0.03730837798257056,0.04983974746110231,0.5405405405405405,-4.214760637569073e-05,11.440848231665496,-11.44089037927187
Kc,8,True,False,0.4851786800690223,0.0006401234203655218,-7.496338515948928e-05,0.001147201752413767,0.0015547975240205942,0.5217391304347826,-5.803249785262578e-05,12.320009105063166,-12.320067137561018
Kc,9,True,False,0.8458167623748253,0.0004407407344335725,7.175476992156791e-06,0.003187911023989303,0.0045212519799400245,0.5,4.604068877187982e-07,11.810777522807996,-11.81077706240111
KU,0,True,False,0.7948244168268658,0.0016319569110116458,6.954199379267497e-05,0.00568597524264008,0.008087512507095862,0.48484848484848486,6.8800983340508504e-06,11.561579811494939,-11.561572931396606
KU,1,True,False,0.5263540802993644,0.000997571306600208,-4.918464968442871e-05,0.0007222206363430273,0.0009902095963206959,0.5172413793103449,-3.9822668128975735e-05,14.545523538469828,-14.545563361137958
KU,2,True,False,0.8706595752086838,0.0008363292667601872,-0.00021061035304018367,0.00583742871889585,0.00806916418521252,0.5,-3.1713265101473007e-05,12.721918379657781,-12.721950092922881
KU,3,True,False,0.5871722283235413,0.00016893058797415878,1.6330027267229278e-05,0.00025224141212953953,0.0003695964084567542,0.5,1.7008841750701863e-05,15.43066101999865,-15.430644011156895
KU,4,True,False,0.3561061208974193,0.0002856831037591273,3.851299775677086e-05,0.0006190330663012216,0.0008938358810169941,0.4583333333333333,6.3863876564108504e-06,14.762776076340478,-14.762769689952819
KU,5,True,False,0.7458324434992276,0.00033626670059691853,0.00020447092491094395,0.001063087406830058,0.0017645299911184492,0.5172413793103449,4.789063188153635e-05,13.133035771016013,-13.132987880384135
KU,6,True,False,0.4122547615319038,6.839513187887789e-05,-2.4022278581599312e-05,0.00034820079785066233,0.0004853490646321488,0.5277777777777778,-5.073540856281401e-05,13.12578415850154,-13.125834893910104
KU,7,True,False,0.6511490816196377,0.00026624461755228075,-0.0035099244435415553,0.027592327234798108,0.03686020930443253,0.5405405405405405,-3.117129744490152e-05,11.440848231665496,-11.440879402962942
KU,8,True,False,0.46609953631081025,0.0003452297030424854,-4.020126721844875e-05,0.0006152198717299037,0.0008338048048491155,0.5217391304347826,-3.112159287582734e-05,12.320009105063166,-12.320040226656042
KU,9,True,False,0.8446364475421434,0.0004668668665747111,3.175637816392154e-05,0.003922529081482588,0.0055948309458282615,0.5,2.037614398548523e-06,11.810777522807996,-11.8107754851936
KUc,0,True,False,0.7947547492434354,0.0015929453637603848,6.68202250063454e-05,0.0054634347445722846,0.007770979461372829,0.48484848484848486,6.610821658603127e-06,11.561579811494939,-11.56157320067328
KUc,1,True,False,0.5263116555790056,0.0009719510181457769,-4.750887091522706e-05,0.0006976137312043755,0.0009564719926329601,0.5172413793103449,-3.8465863064556866e-05,14.545523538469828,-14.545562004332895
KUc,2,True,False,0.8706304980631066,0.000818774332910356,-0.00020888755614778561,0.005789678435439485,0.008003158261088324,0.5,-3.145384995983375e-05,12.721918379657781,-12.721949833507743
KUc,3,True,False,0.587174290648462,0.00012175649655711161,7.359405069251e-06,0.00017227491860279955,0.0002495055445468386,0.5,7.665324383958717e-06,15.43066101999865,-15.430653354674265
KUc,4,True,False,0.35610255305983635,0.00033680159086509114,4.369085941520774e-05,0.000702258672356308,0.0010140072207418806,0.4583333333333333,7.245002506152864e-06,14.762776076340478,-14.76276883133797
KUc,5,True,False,0.7458251657143146,0.0002966472405246739,0.00017802305463960884,0.0010667220302869836,0.0017378359993322197,0.5114942528735632,4.1696082608739736e-05,13.133035771016013,-13.132994074933407
KUc,6,True,False,0.4122537579528527,0.0001315221894624719,-1.6764221915163902e-05,0.00024299591008310835,0.00033870639698779787,0.5277777777777778,-3.5406285262007625e-05,13.12578415850154,-13.125819564786804
KUc,7,True,False,0.6512225457138651,0.00019290670585736633,-0.003106109159522015,0.024417841960739196,0.032619458220265844,0.5405405405405405,-2.7585053201344644e-05,11.440848231665496,-11.440875816718696
KUc,8,True,False,0.46608072101361325,0.0004097075337548719,-4.21172722350577e-05,0.0006445414439615896,0.0008735442036168498,0.5217391304347826,-3.260485776275066e-05,12.320009105063166,-12.32004170992093
KUc,9,True,False,0.8444628021144287,0.0008444798319850047,0.0001656527693501379,0.004866777504990685,0.007116243876680246,0.5,1.0628934642513924e-05,11.810777522807996,-11.810766893873355
