condition,seed,valid,compensated,residual_ratio,mean_residual_ratio,net_force_ratio,negative_force_rms_ratio,force_rms_ratio,down_fraction,force_mean,self_mean,rest_mean
all,0,True,False,0.7874838738711315,0.0004402619255083772,-6.515215593071279e-06,0.001383521626832632,0.0019542821526997178,0.51010101010101,-6.445792175805201e-07,11.555222863166577,-11.555223507745794
all,1,True,False,0.5221352481308242,0.000244148397101565,-2.037091392602938e-06,0.000179247234075614,0.0002522821446039038,0.5,-1.649344155066783e-06,14.532241459673912,-14.53224310901807
all,2,True,False,0.863148919704931,0.0001135372624036486,-0.00039615333762977743,0.003621575400245368,0.0046251067617501295,0.513157894736842,-5.9651938452852024e-05,12.782536291221993,-12.782595943160445
all,3,True,False,0.5824408204064979,8.771554386691427e-05,1.3609789666221294e-05,0.00016490178671706946,0.00024392269844888522,0.5,1.4175527995451533e-05,15.449123625336933,-15.449109449808937
all,4,True,False,0.35134065839385004,0.00010362139846255855,5.182559499647872e-06,9.510549613034715e-05,0.00013694956736747785,0.47222222222222227,8.59393865577424e-07,14.772308059357693,-14.772307199963825
all,5,True,False,0.7420804183844932,0.00022116860000421728,-4.621857689873035e-06,0.0005074832562076748,0.0007186404942246654,0.5,-1.0825191177227883e-06,13.102849302840637,-13.102850385359753
all,6,True,False,0.411609046851827,0.00014838981349796462,-1.390178139638101e-05,0.00021690448330485945,0.00030340285908371197,0.5277777777777778,-2.9360768442531344e-05,13.11121624064626,-13.111245601414701
all,7,True,False,0.6468513200963534,0.0001751792773300095,-0.0007808848818791108,0.008661354597076837,0.011773053501147398,0.5135135135135135,-6.934962650854102e-06,11.441700561446707,-11.441707496409357
all,8,True,False,0.4631325525468463,0.0002186493660492351,0.00012336664000532716,0.0003267094183347424,0.0008158778113963916,0.47826086956521735,9.550361494432254e-05,12.509997881056293,-12.50990237744135
all,9,True,False,0.8388825371816401,0.0002421765561048605,-0.00014482428249959562,0.004148979430384325,0.005670081540174568,0.5,-9.292496825594987e-06,11.859725093373932,-11.859734385870754
K,0,True,False,0.8375684037455624,0.004304255881423548,5.433706132747644e-05,0.004442771462476343,0.006319227262808619,0.48484848484848486,5.37580682876204e-06,11.561579811494939,-11.56157443568811
K,1,True,False,0.5320367267731166,0.0014201790518408072,-6.0224061817957306e-05,0.0008843218469256784,0.0012124604795229652,0.5172413793103449,-4.876079920346981e-05,14.545523538469828,-14.545572299269033
K,2,True,False,0.9066107265203506,0.0016694135292308753,-0.0002474003159236258,0.006857125912328447,0.009478706719988758,0.5,-3.7253020527329704e-05,12.721918379657781,-12.72195563267831
K,3,True,False,0.6012452658432627,0.00023029562158041308,-1.6572085031576962e-06,0.00012549585132322228,0.0001763533157211252,0.5,-1.7260961489447222e-06,15.43066101999865,-15.430662746094796
K,4,True,False,0.435496320554184,9.222375784807196e-05,7.872731136376307e-05,0.001265411985401519,0.0018271570589582268,0.4583333333333333,1.3054894679746327e-05,14.762776076340478,-14.762763021445798
K,5,True,False,0.7887392779288586,0.0011249237541538682,0.0015231766552905401,0.007919316261332425,0.013144611593077492,0.5172413793103449,0.000356754352829578,13.133035771016013,-13.132679016663184
K,6,True,False,0.4209007785118195,0.0007334882271455083,-6.990387168969777e-05,0.0010132504213754224,0.0014123464026742655,0.5277777777777778,-0.000147638013531988,13.12578415850154,-13.125931796515074
K,7,True,False,0.6719668901125676,0.0002748643101592163,-0.005269169884545737,0.0414221622284924,0.05533529508372984,0.5405405405405405,-4.6794985020579384e-05,11.440848231665496,-11.440895026650518
K,8,True,False,0.48520224258095324,0.0005449820804764569,-6.800045831315091e-05,0.0010406446397239926,0.0014103811346381206,0.5217391304347826,-5.264218581697765e-05,12.320009105063166,-12.320061747248985
K,9,True,False,0.8458097160243129,0.0001934923593307483,-8.096474741564147e-05,0.0032290968641867893,0.004457641576887556,0.5,-5.195017336592356e-06,11.810777522807996,-11.810782717825335
