condition,n_valid,n_compensated,residual_ratio_q25,residual_ratio_median,residual_ratio_q75,mean_residual_ratio_q25,mean_residual_ratio_median,mean_residual_ratio_q75,net_force_ratio_q25,net_force_ratio_median,net_force_ratio_q75,negative_force_rms_ratio_q25,negative_force_rms_ratio_median,negative_force_rms_ratio_q75,force_rms_ratio_q25,force_rms_ratio_median,force_rms_ratio_q75,down_fraction_q25,down_fraction_median,down_fraction_q75,force_mean_q25,force_mean_median,force_mean_q75,self_mean_q25,self_mean_median,self_mean_q75,rest_mean_q25,rest_mean_median,rest_mean_q75
all,10,0,0.4778832264428408,0.6146460702514256,0.7761330099994719,0.0001222504001772276,0.00019691432168962228,0.0002369245670796997,-0.00011209365722379198,-5.568536641472157e-06,3.3776467765851692e-06,0.00018866154638292536,0.0004170963372712086,0.003062061956892184,0.0002650623232238559,0.0007672591528105285,0.003957400609487526,0.5,0.5,0.512393673577884,-8.703113281909767e-06,-1.3659316363947857e-06,4.834005947879379e-07,12.022293290294522,12.942692797031315,14.176985154916999,-14.176993732117229,-12.942723164260098,-12.022276383763403
K,10,0,0.49691086362899406,0.6366060779779151,0.8253611222913865,0.00024143779372511387,0.0006392351538109825,0.0013463652274190725,-7.819952848415554e-05,-6.41122600655541e-05,4.0338493869817904e-05,0.001020098975962565,0.002247254424794154,0.006253537299865421,0.0014108724516471568,0.0031423993179228913,0.008688836855693723,0.5,0.5086206896551724,0.5206146926536732,-4.8269345657747205e-05,-2.1224018931961032e-05,3.6003310843353494e-06,11.938085418371788,12.92385126907966,14.192401596606373,-14.19234897861757,-12.923943714596692,-11.938102475181248
Kc,10,0,0.4968744037066434,0.6366594643730867,0.82499928358473,0.00028383589271910726,0.0006968271728803161,0.0013610170781747368,-7.329882689357511e-05,-3.188311517721389e-05,4.664936626473572e-05,0.0010097155814629598,0.002167556388201535,0.0064817553098734885,0.0014207893747025103,0.0030380247519803095,0.009008783882046956,0.5,0.5086206896551724,0.5206146926536732,-4.824215932401659e-05,-1.99196941473204e-05,4.552855278689288e-06,11.938085418371788,12.92385126907966,14.192401596606373,-14.192350368685357,-12.923942447922965,-11.938099581191087
KU,10,0,0.4811631723079488,0.6191606549715896,0.7825764234949563,0.0002711042391039924,0.000340748201819702,0.0007439636667138182,-4.693880406793372e-05,-3.846125657185015e-06,3.682384285855853e-05,0.0006161731703727332,0.0008926540215865427,0.005245113702350707,0.0008488125738910852,0.0013773697937195725,0.0074505808753664565,0.5,0.5086206896551724,0.5206146926536732,-3.157777318733013e-05,-1.4541989238639409e-05,6.75667066464085e-06,11.938085418371788,12.92385126907966,14.192401596606373,-14.192419490949503,-12.923892493416492,-11.93809167055921
KUc,10,0,0.48113845465496136,0.6191984181811636,0.7825223533611552,0.00021884183952419322,0.0003732545623099815,0.0008380534572163425,-4.616097124518472e-05,-4.702408422956451e-06,6.103788360856099e-05,0.0006578095157722861,0.0008844903513216457,0.005314270434676884,0.0008942761508708774,0.0013759216100370502,0.007607295565199683,0.5,0.5057471264367817,0.5206146926536732,-3.231710581202143e-05,-1.0487115771370758e-05,7.560243914507253e-06,11.938085418371788,12.92385126907966,14.192401596606373,-14.192420021983024,-12.923884699147273,-11.938085597885248
