condition,n,rank_median,coefficient_change_norm_median,residual_ratio_median,mean_residual_ratio_median,net_force_ratio_median,negative_force_rms_ratio_median,force_rms_ratio_median,self_force_mean_median,rest_force_mean_median
mean_only,10,1.0,0.05746834385774588,0.9386194487990889,1.8198775676469559e-16,4.439357926301832e-05,0.002382245120240572,0.00330976168897086,12.923851269079663,-12.923727276046865
oracle_K,10,17.5,1.297340584826991,0.7932644492152585,0.000817355599872659,-2.1302109944367528e-05,0.001418582604755747,0.002011948787515363,12.923851269079663,-12.923914311948131
oracle_Kc,10,18.5,4.073988235845675,0.7888959651454703,5.682481500791176e-15,-9.980342700075036e-06,0.00089228510636688,0.0012811508731741818,12.923851269079663,-12.923881936031979
oracle_KUc,10,21.0,4.013991400340296,0.7078883361683779,4.689523126107311e-15,-1.500814179603346e-16,3.505951056794312e-14,5.525762776774247e-14,12.923851269079663,-12.923851269079663
