seed,condition,rank,condition_number,coefficient_change_norm,residual_ratio,mean_residual_ratio,net_force_ratio,negative_force_rms_ratio,force_rms_ratio,self_force_mean,rest_force_mean,bias_force_max_abs
0,mean_only,1,1.0,0.03136349188398711,0.9932128266954873,1.0293122351811295e-16,-0.0001905586157947704,0.015759704863785588,0.02216136041726513,11.561579811494939,-11.561598664305214,1.235990476633475e-17
0,oracle_K,15,6263.3006335772225,27.173099489522805,0.9545038665452841,0.003191939034110578,0.00013031237076029808,0.010654755113315916,0.015154913899867065,11.561579811494939,-11.561566919113286,0.0003728754616300228
0,oracle_Kc,16,17981.94222798537,215.85405229846953,0.8506429123843497,5.169206045079632e-13,-3.675998112570012e-14,3.0395590774774317e-12,4.274225158936299e-12,11.561579811494939,-11.561579811494942,6.038642893016477e-14
0,oracle_KUc,16,1.0736690568831444e+16,1.418087340259163,0.8506429123843867,4.014317717206405e-15,3.521120037520694e-16,2.4984272016922977e-14,3.558829155653238e-14,11.561579811494939,-11.561579811494939,4.702184822069633e-16
1,mean_only,1,1.0,0.23420310920647194,0.7006333827475265,1.479798782778908e-16,0.0004298927230898736,0.005921004705502403,0.008654812070905018,14.545523538469828,-14.545175473060144,2.168404344971009e-17
1,oracle_K,20,1588.019288967139,3.3170984118703855,0.5854120034885074,0.0007756312678525258,3.254286046758257e-05,0.0004482197990561597,0.0006551688978873611,14.545523538469828,-14.545497189933432,0.00011568344149109173
1,oracle_Kc,21,1675.2357700530895,5.560764649300503,0.5763011143125035,5.538675444115341e-15,1.7618265922448558e-05,0.00024266015642189327,0.00035469960849316497,14.545523538469828,-14.54550927372745,8.261620554339544e-16
1,oracle_KUc,23,1.139658588418547e+16,2.7684506874297594,0.5631527834008776,5.031315861448287e-15,-3.3368220268893177e-16,4.891978781454606e-15,6.706814046841587e-15,14.545523538469828,-14.54552353846983,7.495089618392292e-16
2,mean_only,1,1.0,0.046255643754194734,0.9703576609480359,1.722058480566156e-16,4.1784516054923375e-05,0.0011052674716244485,0.001600900029745575,12.721918379657783,-12.721912087833022,1.5612511283791264e-17
2,oracle_K,14,396.3930163565802,1.1456806582498715,0.9372212854990468,0.002414365420863955,-4.26042198263536e-05,0.0011808493398851377,0.001632305533888434,12.721918379657783,-12.721924794911821,0.0002430077622765812
2,oracle_Kc,15,475.774865464061,1.6592727299757168,0.928635340136424,0.0,-0.00012735362170952514,0.003529824997162525,0.004879329379213235,12.721918379657783,-12.721937556298954,1.734723475976807e-18
2,oracle_KUc,19,9764245294294212.0,7.425560644792989,0.9086926438078667,2.305745670821211e-14,-2.528472414913157e-15,6.979188197500945e-14,9.64659487741572e-14,12.721918379657783,-12.721918379657785,2.3184579256430027e-15
3,mean_only,1,1.0,0.2908467615047295,0.7567445326414273,7.797971245998513e-17,-2.6397558591511162e-05,0.00036230602521831714,0.0004924949923912385,15.430661019998649,-15.430688514863743,1.8214596497756474e-17
3,oracle_K,18,4222.633200465983,45.8191215687467,0.6968493545094422,9.066599565671861e-05,7.979032245923542e-07,1.0083378364165934e-05,1.488635174956996e-05,15.430661019998649,-15.430660188927796,1.9546619323759437e-05
3,oracle_Kc,19,10134.898669417104,53.95077125515189,0.6963755967614556,1.1977683833853717e-14,2.883914959434676e-07,3.644502843197785e-06,5.380473618736203e-06,15.430661019998649,-15.430660719619153,2.5821358939914774e-15
3,oracle_KUc,20,9497498552003756.0,707.3523374498236,0.6714932646606787,5.459827547598319e-13,4.575688591678105e-14,5.782269438749148e-13,8.536528480316504e-13,15.430661019998649,-15.430661019998603,1.1770792673893027e-13
4,mean_only,1,1.0,0.04767627976059849,0.906881236650142,2.7598204219580575e-16,4.7002642471113265e-05,0.0007554901354837793,0.0010908693373759188,14.762776076340478,-14.76276828216414,1.6263032587282567e-17
4,oracle_K,19,222.84907505695259,0.9560512964062943,0.7360897640977775,0.0018673956258963213,0.00010304730529595016,0.0016563158696263566,0.002391592041142293,14.762776076340478,-14.762758988601872,0.00010487297183142891
4,oracle_Kc,20,545.3346195311286,1.214131437608209,0.7273527959582252,5.82628755746701e-15,9.302612265608466e-05,0.00149524184841688,0.0021590136095619187,14.762776076340478,-14.762760650356626,3.2634485391813683e-16
