seed,U_plus_constant_rank,affine_rank,affine_span_projection_relative_error,oracle_KUc_leak_full_hidden_gradient_max_abs
0,6,6,9.277668316418429e-16,4.949651028139552e-16
1,6,6,7.139362884387409e-16,7.5040803304969155e-16
2,6,6,2.9651794671750184e-15,2.320750997355942e-15
3,6,6,2.496809741332052e-15,1.1770804464591654e-13
4,6,6,5.166015377930914e-16,1.1366048054445675e-16
5,6,6,6.208108070826699e-16,3.5911364774713135e-15
6,6,6,3.4878219054691265e-15,1.3027531685128895e-15
7,6,6,3.188088264198602e-15,5.6566679750292e-16
8,6,6,1.542879924154657e-15,3.094265574803787e-16
9,6,6,1.3549137393642683e-15,1.0650237927836046e-15
