seed,group,n,zmean_median,zmean_min,zmean_max
0,L,33,-4.8658563515090565,-7.540783697122691,-2.9436530741860047
0,K,15,-2.4575204686508703,-4.4472803696485235,0.5756479834067318
0,U,52,1.9504913082423385,1.886498066885164,2.0243653410469555
1,L,29,-5.249157566955192,-8.611824672968652,-2.9597720902044653
1,K,20,-2.4242063112006056,-4.767501113972565,2.971422840740845
1,U,51,1.9852165273590536,1.8960175697989743,2.0738774761113343
2,L,38,-4.1581184412342,-7.871344990055206,-2.567220332945266
2,K,14,-2.3498796562935484,-4.802571777534405,-0.011913179567921095
2,U,48,1.9946093438137487,1.872052449375132,2.177812772868513
3,L,30,-4.4708138665336605,-6.105990858918873,-2.6984011288702727
3,K,18,-2.347689164382804,-4.861257057708799,4.491565264114023
3,U,52,1.9910560837350215,1.8325340611349354,2.1383434687779888
4,L,24,-4.68791236317623,-6.430701426683241,-3.6170605427207496
4,K,19,-1.6843640233324697,-4.192786607389986,0.11710831836240199
4,U,57,1.9893992173898312,1.8726130381674349,2.1637160949501144
5,L,29,-4.6342055093741426,-8.724604019837553,-2.4527533155297427
5,K,22,-2.5525826785795758,-5.442125524739499,1.98037531228487
5,U,49,1.9915449658066362,1.851529264171545,2.1680593357180844
6,L,36,-4.224308562161597,-7.515040685825905,-2.594973623264714
6,K,13,-2.1322637350374194,-3.61339446855894,3.6348881249129277
6,U,51,2.018204711769823,1.9350521400404264,2.9860609171776678
7,L,37,-4.881120697835683,-8.727950178595645,-2.7430166417123765
7,K,17,-0.1413134728357791,-3.8576511267151794,2.6247424629760756
7,U,46,1.9601243948997182,1.936803256405202,2.0118450991644825
8,L,23,-4.701271857543684,-6.3757319861335375,-2.7491474147581463
8,K,19,-2.3593902212285864,-4.430064662530347,1.8944080699630064
8,U,58,1.9473959974449744,1.9229650694280955,2.566635913125987
9,L,40,-4.42119312644332,-7.529215282316783,-2.6461725174525066
9,K,15,-2.4026957744861885,-4.173312627985215,2.2129717619028826
9,U,45,1.9785412521973154,1.9111025796716905,2.0147751347149705
