arm,iv,seed,group,step,actual,W,b,star,alignment,history,data,l2,positive,negative,history_W,history_b,data_W,data_b,l2_W,l2_b,sgd_data,sgd_l2,sgd_mean,sgd_cov,pre_history,pre_history_W,pre_history_b,within_history,rounding,gate_mean,gate_rms,upstream_rms,local_delta_rms,positive_fraction,gW_norm,gb,opposed_fraction,W_down_mass,W_up_mass,b_down_mass,b_up_mass,data_down_mass,data_up_mass,history_down_mass,history_up_mass,l2_down_mass,l2_up_mass,pre_history_down_mass,pre_history_up_mass,within_history_down_mass,within_history_up_mass,bias_down_share
SNA,none,0,ALL,20,-0.13530400921686433,-0.1343973032194947,-0.0009067059973695952,-0.04933545955964794,-0.08596854965721637,-0.11381211192770006,-0.021491896170412212,0.0,-0.0549669716381951,0.0334750754594137,-0.11305549140968274,-0.0007566205180173023,-0.021341810374153992,-0.0001500857962582204,0.0,0.0,-0.0012933203624244556,0.0,-0.0010181843681455415,-0.00027513593434151635,0.0019282165013178917,0.0018751895794610603,5.3026921856831665e-05,-0.11574032842901796,-1.1187520356371755e-09,0.7281921386718749,0.9275839956183183,0.070081349924991,0.06440407702797336,0.2832236842105264,0.15160480750234503,-0.0011641229424429566,0.3447631578947368,0.43806840369340333,0.3036711004739086,0.0037840972906499366,0.0028773912932803414,0.0613143460843156,0.0398224499139034,0.38322618667286595,0.269414074745166,0.0,0.0,0.018513733550201306,0.0204419500515192,0.3841283093676693,0.26838798093865124,0.008564164019038804
SNA,none,0,ALL,50,-0.16559269655303968,-0.1648583011978452,-0.0007343953551945129,-0.05586425047305712,-0.10972844607998257,-0.14789651301917997,-0.01769617819334255,0.0,-0.05629716839909644,0.03860099018654897,-0.14723719200178798,-0.0006593210173920363,-0.017621104617208408,-7.507357613414436e-05,0.0,0.0,-0.0011432829328075886,0.0,-0.0006283141155031017,-0.0005149687741156381,0.0021635801807244745,0.0021037571544251627,5.9823026299312256e-05,-0.1500600931999045,-5.340517116726623e-09,0.7304095097592003,0.9398616308914988,0.05481117286180194,0.049363273193961686,0.2776315789473684,0.11490839406063683,-0.0015871948248853806,0.36534068779671364,0.5311717390501698,0.3663134378523247,0.004540568213147037,0.003806172857952525,0.05949423555338521,0.041798057360042655,0.4770350173800877,0.32913850436090775,0.0,0.0,0.020861852009301764,0.023025432190026236,0.4777244934353979,0.3276644002354934,0.008475758633103845
SNA,none,0,ALL,100,-0.14481237215092096,-0.14435298595008694,-0.0004593862008340167,-0.048554485357558706,-0.09625788679336227,-0.1301314472036849,-0.014680920201168951,0.0,-0.06082216827604298,0.04614124802741916,-0.12972276057333765,-0.00040868663034727786,-0.014630221733658832,-5.06984675101241e-05,0.0,0.0,-0.0010316066381166112,0.0,-0.0005109357554706626,-0.0005206708419325081,0.0021735682525826946,0.0021134505480715324,6.011770451116128e-05,-0.1323050154562676,-4.746067136084241e-09,0.73444480494449,0.9449332106740854,0.05333756773095383,0.048392111690420854,0.2833881578947368,0.10355259242810701,-0.000535617030568813,0.3681866986673404,0.5370630708339151,0.3927100848838282,0.004643773401851497,0.004184387201017479,0.058756579409437446,0.044075659208268496,0.48346301299728817,0.35333156579360314,0.0,0.0,0.020963348439577447,0.023136916692160142,0.4847245673414172,0.3524195518851496,0.008572484271271993
SNA,none,0,D_only,20,0.23454789990706454,0.23277046671111928,0.001777433195945206,0.08586960676472669,0.14867829314233783,0.20360787728526827,0.030940002423457246,0.0,-0.021371707261823036,0.05231170973227379,0.20202796034056034,0.0015799169447079124,0.030742488495610454,0.00019751392784678879,0.0,0.0,0.0012100015383935423,0.0,0.0010009407312493916,0.000209060754712871,0.003977658857078738,0.0038171710695583277,0.00016048778752041095,0.1996302184281895,2.019833899957304e-08,0.5795302263155004,0.7841940284914436,0.07103695008656526,0.05491094120677074,0.14548106927397547,0.1311626914425239,-0.0007468192427151824,0.34556541019955656,0.048017421697523405,0.10361132304619775,0.00040569448086898776,0.0008283367640289821,0.006619780581880614,0.014035610113484047,0.042365989482284136,0.09096669874944335,0.0,0.0,0.004471294973749205,0.005400518865840901,0.04281590967543116,0.09048739505049869,0.008378115926583402
SNA,none,0,D_only,50,0.32667900528712823,0.32440538837267113,0.002273616914457193,0.11918944921632303,0.20748955607080524,0.2908558486838815,0.035823125699546626,0.0,-0.025621325647103378,0.06144445135859128,0.2888002916969884,0.00205555698689298,0.035605068022199746,0.0002180576773468721,0.0,0.0,0.0013644497296755088,0.0,0.001068252705861702,0.00029619697082383894,0.0044878520060540154,0.004306384427423646,0.00018146757863036543,0.2863679966778274,3.090370012968274e-08,0.6084281478028349,0.8214960095343613,0.05606478606488601,0.04169879098559672,0.15944113619027803,0.09855350599896683,-0.001188015365461892,0.36620842572062084,0.056680560756276185,0.13423604215258264,0.0005244269617833197,0.0010654977240636453,0.006399039896976524,0.01495761923650742,0.05093922281535816,0.12047718821211106,0.0,0.0,0.005046665564310755,0.0060949859365504525,0.05130066371066334,0.11979030873517654,0.009167504140862861
SNA,none,0,D_only,100,0.37366196510113325,0.3713886933640546,0.0022732717370785734,0.13756281558309852,0.23609914951803468,0.3354858858745148,0.03817605154416135,0.0,-0.03288327281373171,0.0710593243624165,0.33340971930961905,0.0020761665648957556,0.03797894898133218,0.000197102562829171,0.0,0.0,0.0014683652413783872,0.0,0.0009728442891048215,0.0004955209109512816,0.004509587805798636,0.0043272015018729695,0.00018238630392566487,0.3309762980687162,2.76824570451557e-08,0.6128966683956549,0.829767555324506,0.052598092240451824,0.03849191417675948,0.1729730947923167,0.08336551820785044,0.0006080757222463123,0.37140513093416705,0.05854552675779354,0.14713814126493874,0.0006027099126827365,0.0011439640480890184,0.006619973290743063,0.01572962382454297,0.05263180849753521,0.1326560198236586,0.0,0.0,0.005071751771397365,0.006125142185693873,0.05310809542833361,0.13207891634016053,0.010189820468199653
SNA,none,0,N_only,20,-0.48178960834281787,-0.478356943242788,-0.003432665100029768,-0.18451123274732514,-0.2972783755954927,-0.41223339141037246,-0.06955619565031546,0.0,-0.08914197712652946,0.019585781388317246,-0.4092907006624705,-0.002942690747901925,-0.06906622243291889,-0.0004899732173965594,0.0,0.0,-0.0034538643008515443,0.0,-0.0028004718998333664,-0.0006533922452953499,0.0028098642243954792,0.002756132114282507,5.373211011297317e-05,-0.415043255634768,-2.1282129843105196e-08,0.8550234465873172,1.0504256951479098,0.0688573115598675,0.07224533151422145,0.3870434609250399,0.1724137904937303,-0.000986365168638593,0.34512195121951217,0.157775188238296,0.04396562314214285,0.0013267657260477887,0.000509178920244602,0.02213561814497064,0.005593243257296833,0.1375967102082646,0.039511938203944566,0.0,0.0,0.004238681080126174,0.004912882616395484,0.13831583123550065,0.03955685769491127,0.00833909133727628
SNA,none,0,N_only,50,-0.6149427316248277,-0.6111098093540346,-0.0038329222707931456,-0.2277235072002536,-0.3872192244245742,-0.5473466918390999,-0.06759601827986679,0.0,-0.0897754292125665,0.022179410876187862,-0.5439263511390164,-0.003420340700083355,-0.06718343868781203,-0.0004125795920547464,0.0,0.0,-0.003366744378361943,0.0,-0.002363128585253591,-0.0010036156675347517,0.0031502289973692464,0.003089668536884681,6.05604604845653e-05,-0.5504969208364692,-2.1505861079847972e-08,0.8321372348436759,1.0394479546614062,0.05407502692294314,0.05581247751631458,0.3671395664308993,0.13037662884240242,-0.0014376879697188963,0.3656319290465632,0.1928493371611511,0.04769157857855177,0.0015658067724832923,0.0006540148658371579,0.021760545367881242,0.005710010086278414,0.17292337311898756,0.04290436299688476,0.0,0.0,0.004770410171025146,0.005526312492197838,0.1734253050033995,0.04265039256012406,0.008053934178182108
SNA,none,0,N_only,100,-0.6309541599865414,-0.6272787455076214,-0.0036754144789200274,-0.2366499897089205,-0.39430417027762116,-0.566144397806935,-0.06480974428701944,0.0,-0.09154813004855902,0.026738385717871672,-0.5628378486513853,-0.0033065491555496827,-0.06444087751055359,-0.000368866776465859,0.0,0.0,-0.0032834753228647598,0.0,-0.0021835410888998226,-0.0010999341155704739,0.003164628606094433,0.003103768956940259,6.085964915417569e-05,-0.5693090264130296,-1.789258700565258e-08,0.8212977224037441,1.0267905771691825,0.05364529363741268,0.05447881661002626,0.35809444560016646,0.11675365674765181,-0.0008650894274007871,0.36667405764966743,0.19445630301450603,0.045375473988503084,0.001572685244686191,0.000698888951446861,0.02102735204545334,0.005634384732496759,0.1751530324800898,0.040591378797965684,0.0,0.0,0.004793339920386026,0.005552698967519373,0.1760442218274492,0.040723209098191736,0.008022717755430972
SNA,none,0,both,20,-0.5727840648673082,-0.5681379903963824,-0.004646074470925939,-0.2488965842727101,-0.32388748059459826,-0.5015164582206213,-0.07126761731090443,0.0,-0.0815939200586498,0.01032630270181158,-0.4973982391461538,-0.004118219074467555,-0.07073976108867507,-0.0005278562222294047,0.0,0.0,-0.003686102879999317,0.0,-0.003682311415113398,-3.7913503337119934e-06,-0.011293460889087472,-0.011098753266174845,-0.00019470762291262723,-0.49022299733153385,1.0664217469448103e-08,0.7439075724946128,0.933883978260888,0.07047872045249852,0.06736889819580097,0.3431712962962963,0.14741648181721015,-0.007228245813166723,0.3625,0.009918066385791334,0.0014836605040952921,7.833492660306786e-05,1.2295630417372053e-05,0.0012419869702685593,0.00020669124693158282,0.008751563020369895,0.00128641339528449,0.0,0.0,0.00037221473622375253,0.00016367308670226337,0.008561836910689808,0.0013052289351258909,0.007836312704447094
