arm,iv,group,window,side,gate_mean,upstream_mean_abs,delta_mean_abs,delta_signed_mean,samples_mean
LR,l2,ALL,1-5,negative,0.1000000127664386,0.11672162864278697,0.011672162985624367,-0.0006602264940195756,5079.315789473684
LR,l2,ALL,1-5,positive,1.0,0.18097486623387427,0.18097486623387427,0.021895936864709788,2920.684210526316
LR,l2,ALL,21-50,negative,0.10000000928125131,0.06305540253710519,0.006305540320843986,6.949493947852057e-05,32082.0
LR,l2,ALL,21-50,positive,1.0,0.08709683285500905,0.08709683285500905,-0.003122471731194655,15918.0
LR,l2,ALL,6-20,negative,0.10000000890269607,0.09120384258757465,0.009120384240853856,6.097814136965729e-05,16467.947368421053
LR,l2,ALL,6-20,positive,1.0,0.13547762040649558,0.13547762040649558,-0.0004880763960137507,7532.0526315789475
LR,l2,D_only,1-5,negative,0.10000000235350578,0.15066222470429264,0.015066222568855522,-0.0017725535463152815,794.0
LR,l2,D_only,1-5,positive,1.0,0.20078040605014702,0.20078040605014702,0.03295762833449946,759.6842105263158
LR,l2,D_only,21-50,negative,0.10000000201053678,0.08075602643996091,0.00807560267148787,-1.0118233461241503e-05,5030.684210526316
LR,l2,D_only,21-50,positive,1.0,0.09742285202248797,0.09742285202248797,-0.002283418401581246,4291.421052631579
LR,l2,D_only,6-20,negative,0.1000000026791161,0.11575651370023088,0.011575651862826155,-5.1720360128700637e-05,2733.7368421052633
LR,l2,D_only,6-20,positive,1.0,0.1515781631017978,0.1515781631017978,-0.004019696994066525,1927.3157894736842
LR,l2,N_only,1-5,negative,0.10000000062127319,0.09933339571597284,0.00993333964747268,-0.00016270841337090455,1027.1052631578948
LR,l2,N_only,1-5,positive,1.0,0.14210120050465155,0.14210120050465155,0.020856570978276496,535.0
LR,l2,N_only,21-50,negative,0.1000000025630069,0.05410514199058882,0.005410514405480495,6.766657416918778e-05,6783.0526315789475
LR,l2,N_only,21-50,positive,1.0,0.06882495924467395,0.06882495924467395,-0.0025600238408722193,2576.2631578947367
LR,l2,N_only,6-20,negative,0.10000000184650545,0.07756054274261451,0.0077560544006229845,7.449183071168049e-05,3472.0
LR,l2,N_only,6-20,positive,1.0,0.0981436171853088,0.0981436171853088,-0.001274418156959392,1189.0526315789473
LR,l2,both,1-5,negative,0.10000000173730354,0.14898652221165107,0.014898652763356487,-0.0018667188708392038,240.8421052631579
LR,l2,both,1-5,positive,1.0,0.18099949042717384,0.18099949042717384,0.01859524108598386,202.05263157894737
LR,l2,both,21-50,negative,0.10000000134006104,0.07217843496094338,0.007217843402187896,0.00015571040689676082,1624.7894736842106
LR,l2,both,21-50,positive,1.0,0.09067360294511193,0.09067360294511193,-0.003737017675437145,1002.578947368421
LR,l2,both,6-20,negative,0.10000000122154504,0.10987130776043069,0.010987131026016728,0.0002336815138470385,823.1578947368421
LR,l2,both,6-20,positive,1.0,0.13596346150944036,0.13596346150944036,0.0009903568551593025,490.5263157894737
LR,l2,rest,1-5,negative,0.10000000502882582,0.11196882299096696,0.011196882447777981,-0.0005658080062754167,2997.0
LR,l2,rest,1-5,positive,1.0,0.18466644830871662,0.18466644830871662,0.01899785480157557,1449.3157894736842
LR,l2,rest,21-50,negative,0.1000000020773878,0.06075553123633375,0.006075553059778682,8.769285268805565e-05,18678.473684210527
LR,l2,rest,21-50,positive,1.0,0.08715535950409965,0.08715535950409965,-0.0032844731962444304,7999.421052631579
LR,l2,rest,6-20,negative,0.10000000205529853,0.08768954764204687,0.008768954948611194,0.00010657308714175847,9441.421052631578
LR,l2,rest,6-20,positive,1.0,0.13731724067855616,0.13731724067855616,-8.203924527229171e-05,3897.5263157894738
LR,none,ALL,1-5,negative,0.10000001534230525,0.20088316353206903,0.02008831698134435,-0.0019163681832528815,6920.9473684210525
LR,none,ALL,1-5,positive,1.0,0.19327944681594564,0.19327944681594564,0.03079457386747135,1079.0526315789473
LR,none,ALL,21-50,negative,0.1000000109683044,0.1057475962058376,0.010574759979625186,0.00012040236224647482,41937.73684210526
LR,none,ALL,21-50,positive,1.0,0.10073872170654831,0.10073872170654831,0.0005261373111088787,6062.263157894737
LR,none,ALL,6-20,negative,0.100000012055091,0.15738713817560965,0.015738714095755203,-0.0009665236493666783,20899.157894736843
LR,none,ALL,6-20,positive,1.0,0.1531010424641563,0.1531010424641563,0.008501894288181393,3100.842105263158
LR,none,D_only,1-5,negative,0.10000000163769507,0.20471729462352442,0.0204717300144259,-0.003615993831054076,1607.157894736842
LR,none,D_only,1-5,positive,1.0,0.20596525423403458,0.20596525423403458,0.019716381215786807,60.10526315789474
LR,none,D_only,21-50,negative,0.10000000031299612,0.10758566670354347,0.010758567193359886,1.906005682082534e-05,9511.684210526315
LR,none,D_only,21-50,positive,1.0,0.10843023359125414,0.10843023359125414,0.00039993178772453514,439.3157894736842
LR,none,D_only,6-20,negative,0.10000000114274359,0.16022346034273102,0.016022346104654573,-0.0007065601315901165,4794.736842105263
LR,none,D_only,6-20,positive,1.0,0.16615635489841557,0.16615635489841557,0.017855346687074686,200.0
LR,none,N_only,1-5,negative,0.1000000015437069,0.18946289060681396,0.018946289334245497,-0.0012044110577767826,1032.8947368421052
LR,none,N_only,1-5,positive,1.0,0.19913666625235957,0.19913666625235957,0.03817582602999992,595.0
LR,none,N_only,21-50,negative,0.10000000015112388,0.1012225084579526,0.01012225087639554,0.0002235604390764039,7098.736842105263
LR,none,N_only,21-50,positive,1.0,0.10171565831090279,0.10171565831090279,-0.00032930752395105543,2930.7368421052633
LR,none,N_only,6-20,negative,0.10000000136946105,0.14999387773390419,0.014999388118682514,-0.0013734802782529674,3349.7894736842104
LR,none,N_only,6-20,positive,1.0,0.15363561030014264,0.15363561030014264,0.009482186730765414,1610.2631578947369
LR,none,both,1-5,negative,0.10000000159096785,0.19475410740199708,0.019475410732723047,-0.004049169915606346,221.68421052631578
LR,none,both,1-5,positive,1.0,0.1822047858407173,0.1822047858407173,0.01070953883726256,106.73684210526316
LR,none,both,21-50,negative,0.100000001471639,0.10137260294582572,0.010137260390544403,2.7295470390134683e-05,1447.1052631578948
