arm,iv,group,step,credit,credit_per_unit,CE_improvement,CE_after
LR,l2,D_only,1,0.03493743128447752,0.0017894486491265096,0.17049308712594227,2.860451449812477
LR,l2,D_only,5,0.18996361051926858,0.009704614254707138,0.7970081759977079,2.262866942407585
LR,l2,D_only,10,0.33504678132930327,0.017247160570456294,1.3434812034993004,1.7127898144689038
LR,l2,D_only,20,0.5163847868725258,0.026505688226830713,1.966524122480357,1.0543549716082725
LR,l2,D_only,30,0.5992367429752453,0.030786441418692613,2.297200544544134,0.7362875053061875
LR,l2,D_only,50,0.632638392814805,0.032363437909265165,2.4931570253885096,0.5499686145724881
LR,l2,D_only,100,0.6775292677016631,0.034718472043919764,2.645298056307799,0.4163891629646507
LR,l2,N_only,1,0.029048235328195424,0.001444938377985203,0.17049308712594227,2.860451449812477
LR,l2,N_only,5,0.0964797531234192,0.004946604695890315,0.7970081759977079,2.262866942407585
LR,l2,N_only,10,0.1498520303114949,0.007877330354531293,1.3434812034993004,1.7127898144689038
LR,l2,N_only,20,0.2122744455683028,0.011074931683232836,1.966524122480357,1.0543549716082725
LR,l2,N_only,30,0.25332488426053024,0.013270303639588444,2.297200544544134,0.7362875053061875
LR,l2,N_only,50,0.3005634022877215,0.015621828947681193,2.4931570253885096,0.5499686145724881
LR,l2,N_only,100,0.3119079753509338,0.016218611718352545,2.645298056307799,0.4163891629646507
LR,l2,both,1,0.008058255839402336,0.0014055310750157365,0.17049308712594227,2.860451449812477
LR,l2,both,5,0.04371754224876869,0.007933994073366113,0.7970081759977079,2.262866942407585
LR,l2,both,10,0.0780189546707395,0.014242927220354367,1.3434812034993004,1.7127898144689038
LR,l2,both,20,0.11074959293473247,0.019619657995191504,1.966524122480357,1.0543549716082725
LR,l2,both,30,0.13468624908578697,0.024170611886790535,2.297200544544134,0.7362875053061875
LR,l2,both,50,0.15300545055239514,0.0278666610524284,2.4931570253885096,0.5499686145724881
LR,l2,both,100,0.1735049162459648,0.031011374659345902,2.645298056307799,0.4163891629646507
LR,l2,downstream,1,0.01689866829702911,,0.17049308712594227,2.860451449812477
LR,l2,downstream,5,0.08781195106246573,,0.7970081759977079,2.262866942407585
LR,l2,downstream,10,0.130106000686949,,1.3434812034993004,1.7127898144689038
LR,l2,downstream,20,0.155693086096357,,1.966524122480357,1.0543549716082725
LR,l2,downstream,30,0.16336426394049328,,2.297200544544134,0.7362875053061875
LR,l2,downstream,50,0.14162292075326735,,2.4931570253885096,0.5499686145724881
LR,l2,downstream,100,0.12187772357653044,,2.645298056307799,0.4163891629646507
