task,seed,intervention,n_removed,baseline_mse,removed_mse,mean_preserved_mse,constant_optimal_mse
20,0,remove_grown,15,1.572945622958458,7.127962543028316,5.785462474903053,2.9990234375
20,1,remove_grown,17,1.6166638891158724,3.0413766526607757,2.046580721483534,2.05859375
20,2,remove_grown,23,0.2475419441680471,0.8179805892223546,0.8263412765308555,1.15234375
20,3,remove_grown,18,0.6660983648193952,2.580579107190844,1.1982458390148807,1.5537109375
20,4,remove_grown,14,1.3191311170801434,4.2593337686406105,3.480660259186849,2.1083984375
20,5,remove_grown,17,0.5285129563025368,3.5187324324276616,1.6084514993775931,1.40234375
20,6,remove_grown,21,0.8170209814001351,4.092599806528816,4.081194042015703,2.171875
20,7,remove_grown,16,0.2077759057546733,2.3237823801129274,1.0129171863869715,0.4677734375
20,8,remove_grown,17,0.400826825772355,1.4534326302266627,1.2994337460750947,1.12109375
20,9,remove_grown,16,1.0708104358616424,8.023745813346665,7.354444997184504,1.6396484375
20,0,remove_shrunk,85,1.572945622958458,6.784735861476618,6.014274488654509,2.9990234375
20,1,remove_shrunk,83,1.6166638891158724,1.6770436952441214,1.9072997792787152,2.05859375
20,2,remove_shrunk,77,0.2475419441680471,1.813846782716161,1.7097072847503836,1.15234375
20,3,remove_shrunk,82,0.6660983648193952,2.3417078495500787,1.8584983112368372,1.5537109375
20,4,remove_shrunk,86,1.3191311170801434,5.477668333350162,5.34746928672125,2.1083984375
20,5,remove_shrunk,83,0.5285129563025368,0.861917435968836,0.9389497033605952,1.40234375
20,6,remove_shrunk,79,0.8170209814001351,1.2007081870712635,1.0891051882342102,2.171875
20,7,remove_shrunk,84,0.2077759057546733,0.6916479669679021,0.5095708992607081,0.4677734375
20,8,remove_shrunk,83,0.400826825772355,2.601691055001573,1.7638176843064366,1.12109375
20,9,remove_shrunk,84,1.0708104358616424,6.616329663079565,6.237921425757226,1.6396484375
100,0,remove_grown,15,0.2602059963965717,4.183943163817751,3.012826493460987,2.2724609375
100,1,remove_grown,17,0.6092638611756213,2.8453028205619972,1.5842748443295378,1.93359375
100,2,remove_grown,23,0.4636392923710286,2.171496084893122,1.1257883473868593,1.3037109375
100,3,remove_grown,18,0.39124773616041286,4.487846346091534,4.502070315094363,2.24609375
100,4,remove_grown,14,0.47281347409885227,2.036052572678008,2.1698571363878556,0.99609375
100,5,remove_grown,17,0.3933542211062303,3.119977370319533,3.1178443164949794,1.4365234375
100,6,remove_grown,21,0.22955273224745115,1.1174536448685317,1.1211839785337323,1.08984375
100,7,remove_grown,16,0.2957786200261858,1.9087780306946194,1.7341701313260147,2.6318359375
100,8,remove_grown,17,0.5033684709911412,3.634778017550112,3.813431749862728,1.46484375
100,9,remove_grown,16,0.7894496432270331,5.082497671367979,4.944917123768442,5.546875
100,0,remove_shrunk,85,0.2602059963965717,3.2524894491337255,2.801543723163146,2.2724609375
100,1,remove_shrunk,83,0.6092638611756213,2.876131216500405,1.3019217211975804,1.93359375
100,2,remove_shrunk,77,0.4636392923710286,1.5592453453481854,1.2400005216364074,1.3037109375
100,3,remove_shrunk,82,0.39124773616041286,1.1546286665785646,1.271777128640286,2.24609375
100,4,remove_shrunk,86,0.47281347409885227,2.616618496967149,1.991057380574237,0.99609375
100,5,remove_shrunk,83,0.3933542211062303,1.3046349081308635,1.0111886325256978,1.4365234375
100,6,remove_shrunk,79,0.22955273224745115,0.7900370771944969,0.7678821281532412,1.08984375
100,7,remove_shrunk,84,0.2957786200261858,0.7660317081839945,0.6785569551979023,2.6318359375
100,8,remove_shrunk,83,0.5033684709911412,2.5633954311103135,2.510424196683836,1.46484375
100,9,remove_shrunk,84,0.7894496432270331,1.5286813271605384,1.365049025755288,5.546875
500,0,remove_grown,15,0.9902093650343355,2.333198730734443,2.5783929895612356,2.15234375
500,1,remove_grown,17,0.13709408431191517,2.3490633326570967,1.816233561021941,1.8125
500,2,remove_grown,23,0.16338817985640228,1.5027048555561398,0.9848902390694882,0.9443359375
500,3,remove_grown,18,0.6588960125014174,1.2554235183258404,0.9843649752867364,0.9130859375
500,4,remove_grown,14,0.8736752121610454,6.161462487926796,2.3202126517077617,2.234375
500,5,remove_grown,17,0.22888368622900565,1.151639636383559,0.5974455875508337,0.5
500,6,remove_grown,21,0.3364684341827831,2.474684765447556,0.8096485995918711,0.796875
500,7,remove_grown,16,0.6808476470821374,2.0713461492144605,1.523540380431513,1.3349609375
500,8,remove_grown,17,0.48090048787789164,1.9298685191996692,1.9833085090927651,1.83984375
500,9,remove_grown,16,0.5378490737607661,2.5079676788923786,1.6322226957921717,1.296875
500,0,remove_shrunk,85,0.9902093650343355,0.9908210166550835,0.9897626896967253,2.15234375
500,1,remove_shrunk,83,0.13709408431191517,0.13687079293978313,0.1371137371124136,1.8125
500,2,remove_shrunk,77,0.16338817985640228,0.1622924163306145,0.16338882921030473,0.9443359375
500,3,remove_shrunk,82,0.6588960125014174,0.6589613247039634,0.6589317695217258,0.9130859375
500,4,remove_shrunk,86,0.8736752121610454,0.8737209413466274,0.8736345117813038,2.234375
500,5,remove_shrunk,83,0.22888368622900565,0.2070284335504013,0.228354490702555,0.5
500,6,remove_shrunk,79,0.3364684341827831,0.33653191226911494,0.3364410510941942,0.796875
500,7,remove_shrunk,84,0.6808476470821374,0.6811445378389873,0.6808429660367966,1.3349609375
500,8,remove_shrunk,83,0.48090048787789164,0.4814486157893896,0.48091738386519217,1.83984375
500,9,remove_shrunk,84,0.5378490737607661,0.5367704645976461,0.5378373455987451,1.296875
