geometry,seed,dimension,n_images,numeric_rank,rank_cutoff_relative_singular,cov_trace,cov_trace_sq,cov_participation_ratio,top10_cov_trace_fraction,largest_cov_eigenvalue,input_mean_sq
rgb32,300,3072,1200,1199,1e-10,193.70729589827627,4215.730334395274,8.900596932892952,0.6677172762557722,57.60483024296814,707.995624683202
avg16,300,768,1200,768,1e-10,45.21984874162117,261.7420032416935,7.812405708253444,0.7104003055270904,14.379615536986844,176.98910398585758
rgb32,301,3072,1200,1199,1e-10,189.95761238648083,3888.1905959463934,9.280382124577821,0.6519772496898353,55.36480811812934,683.8326583706643
avg16,301,768,1200,768,1e-10,44.296582763746194,241.31858269277893,8.131107114297384,0.6942828758481354,13.819539567292969,170.94813358835086
rgb32,302,3072,1200,1199,1e-10,191.2471959302705,4013.192347404928,9.113814336569808,0.655874786691113,56.05097573326258,699.3422500294497
avg16,302,768,1200,768,1e-10,44.5317931611191,249.03294150463157,7.963125641785072,0.6994677901351234,13.988492611449221,174.82631754128695
rgb32,303,3072,1200,1199,1e-10,192.3316206072775,4276.985081021196,8.64895518330624,0.6630425782167237,58.32065000080031,688.2211266185939
avg16,303,768,1200,768,1e-10,44.83414999026673,265.5182453635521,7.570481654085465,0.7063868766960794,14.556666550058498,172.04488388625418
rgb32,304,3072,1200,1199,1e-10,190.25710905384318,3975.1952625772915,9.105909308731011,0.6586015098363867,55.70267542181888,696.0274977331704
avg16,304,768,1200,768,1e-10,44.30890859492494,246.75444799648105,7.956409283861871,0.7023950374044029,13.904062549956214,173.99744110190565
