geometry,optimizer,question,n_seed,n_pass,n_uninformative,n_low_response,verdict
avg16,adam,P1,5,5,0,0,PASS
avg16,adam,P2,5,1,0,0,FAIL
avg16,adam,P3,5,0,0,0,FAIL
avg16,sgd,P1,5,5,0,0,PASS
avg16,sgd,P2,5,4,0,0,PASS
avg16,sgd,P3,5,0,0,0,FAIL
rgb32,adam,P1,5,5,0,0,PASS
rgb32,adam,P2,5,0,0,0,FAIL
rgb32,adam,P3,5,0,0,0,FAIL
rgb32,sgd,P1,5,5,0,0,PASS
rgb32,sgd,P2,5,4,0,0,PASS
rgb32,sgd,P3,5,0,4,0,UNINFORMATIVE
