geometry,optimizer,seed,window,first_task,last_task,n_negative_c,R,n_valid_R,d_eff,n_valid_d_eff,c,n_valid_c,raw_W_F,n_valid_raw_W_F,raw_W_RMS,n_valid_raw_W_RMS,raw_D_F,n_valid_raw_D_F,Rstar_local,n_valid_Rstar_local,R_over_Rstar_local,n_valid_R_over_Rstar_local,train_acc,n_valid_train_acc,top10_Q_fraction,n_valid_top10_Q_fraction
avg16,adam,300,early,6,15,10,49.3972897353607,10,28.17701025803823,10,-0.2937326600820396,10,118.64807694439256,10,0.4281343697667279,10,62.62235031049771,10,47.826045916938014,10,1.0351869254474164,10,0.9129166901111603,10,0.7486802402288724,10
avg16,adam,300,late,41,50,10,60.96562809050205,10,31.40200583459969,10,-0.24546295120489076,10,213.92203220072076,10,0.771924642979237,10,66.90865488348422,10,64.74451925812247,10,0.928460514686456,10,0.8966667056083679,10,0.7583389869428838,10
avg16,adam,301,early,6,15,10,50.20391017214379,10,27.97255902303798,10,-0.29039718824919536,10,117.84289896852388,10,0.4252289340097696,10,62.63809725455393,10,48.894628350155514,10,1.016014850410996,10,0.9241666793823242,10,0.7388640098785668,10
avg16,adam,301,late,41,50,10,60.986407997445674,10,31.89315092609744,10,-0.24501337691060915,10,213.1506261878377,10,0.7691410712967837,10,67.91454760534718,10,64.61256615791069,10,0.9424451320868595,10,0.9141666889190674,10,0.7498285167229718,10
avg16,adam,302,early,6,15,10,49.39458204179796,10,28.19415706520799,10,-0.2724080891663892,10,118.9073795981956,10,0.4290700476228203,10,63.109993148897864,10,52.02443080215417,10,0.9584325611590423,10,0.904583364725113,10,0.7504861835009433,10
avg16,adam,302,late,41,50,10,61.85792845220958,10,31.798850584426255,10,-0.257561347893716,10,214.68796237316693,10,0.774688455424501,10,68.20776880071804,10,62.118144302424994,10,0.9959137705749612,10,0.8983333706855774,10,0.7551633647955864,10
avg16,adam,303,early,6,15,10,50.375119232303504,10,28.0141399555975,10,-0.2816441802628713,10,119.03051634589863,10,0.4295143790880295,10,62.660536241136306,10,50.049611420725384,10,1.0023557690349043,10,0.9066666960716248,10,0.7373576298561224,10
avg16,adam,303,late,41,50,10,60.8035785998122,10,32.431526560402276,10,-0.24899780907432834,10,213.61800613993387,10,0.7708275834290121,10,66.35716212466292,10,64.88959765672783,10,0.9289039796995265,10,0.9133333563804626,10,0.7674047002126043,10
avg16,adam,304,early,6,15,10,49.51538327507244,10,27.73879576970416,10,-0.2881399991361861,10,119.36603165582908,10,0.4307250656786894,10,62.676875359176066,10,48.663746642044444,10,1.0219306805152608,10,0.9054166972637177,10,0.7449248552921034,10
avg16,adam,304,late,41,50,10,60.835393768314205,10,31.317641683557873,10,-0.2493865476803874,10,214.7761152798037,10,0.7750065498268547,10,67.85257935791287,10,64.15461499475497,10,0.9420506790000924,10,0.897916704416275,10,0.7529413023839877,10
avg16,sgd,300,early,6,15,10,25.22292415426015,10,8.441245390906543,10,-0.11764153639818556,10,34.58560194290787,10,0.1248000411988944,10,12.394818464210477,10,35.361899974045244,10,0.720716848780822,10,0.48083335161209106,10,0.8103027266722987,10
avg16,sgd,300,late,41,50,10,27.32278463310616,10,8.424102651620137,10,-0.1314286593657799,10,43.174559159084154,10,0.15579277095400412,10,12.97899397215571,10,31.311903700290316,10,0.8752090734538012,10,0.46625000238418574,10,0.817890686613995,10
avg16,sgd,301,early,6,15,10,24.441290176574988,10,8.418414866410064,10,-0.10267668400807752,10,34.3449754894314,10,0.12393175527583947,10,12.778150146062007,10,41.9633267833499,10,0.5786440832552671,10,0.5429166853427887,10,0.7950483104923999,10
avg16,sgd,301,late,41,50,10,27.67594964176751,10,8.134660207083213,10,-0.13205138130652275,10,43.71812739032032,10,0.15775420385792366,10,13.205425576443993,10,31.089130928327133,10,0.8848836685561111,10,0.47708335518836975,10,0.8051168285454959,10
avg16,sgd,302,early,6,15,9,25.058061382146505,10,8.574448879722429,10,-0.0955351504042336,10,35.06015577639395,10,0.12651243984582033,10,12.170089943705268,10,36.90491217990615,9,0.7159829075363888,9,0.5145833194255829,10,0.8065943637883,10
avg16,sgd,302,late,41,50,10,26.80124350397743,10,7.925508075193718,10,-0.1382463439628534,10,43.569983768122924,10,0.1572196366069587,10,13.033333915001158,10,28.964495155584927,10,0.9299200775353456,10,0.47291669249534607,10,0.7938495912706774,10
avg16,sgd,303,early,6,15,9,26.701463717650572,10,8.489198197263061,10,-0.09793602095260787,10,35.05868514569364,10,0.12650713316437845,10,12.690199199082729,10,38.14752015800184,9,0.6754170806062786,9,0.5058333277702332,10,0.8016705868787919,10
avg16,sgd,303,late,41,50,10,26.99730818205635,10,8.155781852355119,10,-0.1439893323760249,10,42.7638953089837,10,0.15431091542649195,10,12.911918816669923,10,27.615767185754038,10,0.9824701503669137,10,0.4737500101327896,10,0.8083160274696295,10
avg16,sgd,304,early,6,15,10,27.00484449521468,10,8.215858969154514,10,-0.12297502823964979,10,34.291490690487464,10,0.12373875863166553,10,12.381219136464635,10,33.48237223086677,10,0.8013590669829338,10,0.47833335399627686,10,0.8024661556444629,10
avg16,sgd,304,late,41,50,10,26.895672604510843,10,8.104901705454822,10,-0.15740668646682165,10,42.69719968842318,10,0.15407024833596455,10,13.197690824168298,10,24.827653773723146,10,1.0880691958559527,10,0.4816666841506958,10,0.7923385009011497,10
rgb32,adam,300,early,6,15,10,145.30791632376133,10,90.4268498817996,10,-0.30035705755715225,10,221.62970764354458,10,0.3998686605263078,10,113.48408361892609,10,148.2591577010011,10,0.9872509817251165,10,0.995416671037674,10,0.7286699830300714,10
rgb32,adam,300,late,41,50,10,183.4684515087676,10,102.92408057638602,10,-0.2743516041844139,10,423.9850719890194,10,0.7649621732663849,10,119.44320450262009,10,186.8978571750584,10,0.9735036895986086,10,0.9858333468437194,10,0.7360067231661835,10
rgb32,adam,301,early,6,15,10,144.72484724749725,10,89.02318759704329,10,-0.29395608221503666,10,221.26553630054184,10,0.3992116154547023,10,115.16916019607494,10,152.5361616217482,10,0.9494071888466065,10,0.9975000023841858,10,0.7106288942691119,10
rgb32,adam,301,late,41,50,10,180.65075383258826,10,100.9957281351258,10,-0.2832589465311974,10,425.25896500463455,10,0.7672605560022729,10,119.76287785167415,10,179.42935578939887,10,1.0147097783080352,10,0.9970833361148834,10,0.7151093116645109,10
rgb32,adam,302,early,6,15,10,145.81924942356164,10,89.65324243978779,10,-0.3066460087772396,10,221.9894472567944,10,0.40051770978427015,10,113.89793953958662,10,146.44089281164565,10,0.9877236900056429,10,0.9941666722297668,10,0.7183836952843081,10
rgb32,adam,302,late,41,50,10,183.22158126926286,10,101.09748315072633,10,-0.2622401220943409,10,425.8986074237214,10,0.7684146113861634,10,119.64735401956192,10,192.45241133192604,10,0.9463687822583655,10,0.9962500035762787,10,0.7156883066740226,10
rgb32,adam,303,early,6,15,10,147.72187512224735,10,90.01764359861684,10,-0.2945174108573048,10,218.5021059794891,10,0.39422578033049427,10,112.01610947220323,10,155.4434416495823,10,0.9583910159314859,10,0.996666669845581,10,0.7209769686984928,10
rgb32,adam,303,late,41,50,10,182.0828963355288,10,98.01916744405872,10,-0.26155372348472006,10,424.93310059710655,10,0.7666726250541305,10,120.77936477249085,10,188.2185111651482,10,0.9664293502410342,10,0.996666669845581,10,0.7155259465152419,10
rgb32,adam,304,early,6,15,10,143.64420746431898,10,89.73948183042798,10,-0.3017807671898081,10,219.00708990253403,10,0.3951368822177018,10,112.9399413987361,10,148.38432796005895,10,0.9684203226670057,10,0.996666669845581,10,0.7220242237551036,10
rgb32,adam,304,late,41,50,10,183.58636747667143,10,101.35250334269948,10,-0.26802629997330785,10,423.38699403332316,10,0.7638831093016424,10,120.28652288570302,10,187.812710790064,10,0.9725449493329701,10,0.9754166901111603,10,0.7274633694699246,10
rgb32,sgd,300,early,6,15,10,39.11684610347156,10,16.63674183969393,10,-0.20152129387805764,10,35.641513722589146,10,0.06430511731894556,10,17.853781823951714,10,40.19265274633656,10,0.9703326773743619,10,0.7754167020320892,10,0.7572725616543825,10
rgb32,sgd,300,late,41,50,10,41.09861633562548,10,16.41270603862311,10,-0.19761776485057386,10,52.71624009409864,10,0.09511167315310246,10,17.961436235179747,10,42.05346384173146,10,0.9782816941067335,10,0.7366666793823242,10,0.7565112094267239,10
rgb32,sgd,301,early,6,15,10,40.20285237185673,10,16.001424418441726,10,-0.18435658382177644,10,36.04626088787758,10,0.06503537008404874,10,17.80202533323053,10,43.55708601080751,10,0.9183935998521937,10,0.7779166996479034,10,0.7268337338394717,10
rgb32,sgd,301,late,41,50,10,41.07355281329742,10,15.726561983780595,10,-0.20056868970432623,10,52.47564525157273,10,0.0946775872246713,10,17.75848514070975,10,38.29154281205319,10,1.0638712901342844,10,0.7266666889190674,10,0.7237949027152608,10
rgb32,sgd,302,early,6,15,10,38.07547584494324,10,16.162232179089408,10,-0.20224573043388902,10,35.74333773488763,10,0.06448883019679087,10,18.034235388881886,10,40.0157068398976,10,0.9491238259478463,10,0.7866666913032532,10,0.7327163674699513,10
rgb32,sgd,302,late,41,50,10,41.16824385505238,10,16.249658139179694,10,-0.19524186091250784,10,53.303562243940426,10,0.09617133128220305,10,18.371998600133516,10,41.288260913064704,10,0.9957505772920703,10,0.7379166781902313,10,0.7320973648834324,10
rgb32,sgd,303,early,6,15,10,40.07030200108075,10,16.320793212840435,10,-0.21113288885311754,10,35.668402636326746,10,0.0643536308238975,10,18.15382679689612,10,36.6286784499534,10,1.1012685573231247,10,0.8066666722297668,10,0.7382156439412867,10
rgb32,sgd,303,late,41,50,10,41.04033039165513,10,15.977796342877436,10,-0.20239459188973632,10,52.67842579857954,10,0.09504344786029881,10,17.898228482668287,10,39.06363402255148,10,1.0607535835855197,10,0.7229166924953461,10,0.7485153553275499,10
rgb32,sgd,304,early,6,15,10,39.81125653848266,10,16.262649757165065,10,-0.21536130593961988,10,36.145069901821444,10,0.06521364324279515,10,18.405144736013263,10,37.28721825041977,10,1.0754207120131858,10,0.789166659116745,10,0.7306074284374103,10
rgb32,sgd,304,late,41,50,10,41.138950849048506,10,15.985254278166716,10,-0.1785845931706419,10,52.84198668465831,10,0.09533854761531904,10,18.065812693197167,10,44.81420410457474,10,0.9286817337891857,10,0.7462500035762787,10,0.7326359415653931,10
