geometry,optimizer,seed,task,R_endpoint,raw_W_F_endpoint,raw_W_RMS_endpoint
rgb32,adam,300,0,1.4539855600099385,5.776275325350557,0.010421669106264178
rgb32,adam,300,10,148.88396163579446,226.33239913042934,0.40835334863839745
rgb32,adam,300,20,160.7080033046396,300.33279584058073,0.5418663141407256
rgb32,adam,300,30,173.56162204407744,357.97928720719545,0.6458732432293269
rgb32,adam,300,40,184.34078311933553,405.0845681492347,0.7308615139547623
rgb32,adam,300,50,191.33344035031473,445.967963341911,0.8046241365168795
rgb32,sgd,300,0,1.4539855600099385,5.776275325350557,0.010421669106264178
rgb32,sgd,300,10,38.96612500698763,36.052373264570726,0.06504639815382741
rgb32,sgd,300,20,40.03456870220959,42.52702797581022,0.07672809703021492
rgb32,sgd,300,30,40.43645472229024,47.25277216116197,0.08525437727250912
rgb32,sgd,300,40,40.95410378845066,51.1683567093854,0.09231895162548266
rgb32,sgd,300,50,42.34435811919332,54.72453311157639,0.0987350747601413
avg16,adam,300,0,1.378352190571416,5.778950661708548,0.020852992001068726
avg16,adam,300,10,49.55630999668815,120.68806921298838,0.4354955578005939
avg16,adam,300,20,53.41814024813992,154.55733544282185,0.557710745144653
avg16,adam,300,30,57.357518909828954,182.51531600158546,0.658595417654656
avg16,adam,300,40,59.5307976848313,205.0805942439157,0.7400208518268321
avg16,adam,300,50,62.344375919374414,224.8487039031662,0.8113528732839466
avg16,sgd,300,0,1.378352190571416,5.778950661708548,0.020852992001068726
avg16,sgd,300,10,25.667909824322727,34.867845637603295,0.12581850040582862
avg16,sgd,300,20,27.094576186899946,38.53890840190559,0.13906530712571574
avg16,sgd,300,30,27.008628076822976,40.69553561042385,0.1468473652468388
avg16,sgd,300,40,27.13601056636205,42.55078229882335,0.15354191009034263
avg16,sgd,300,50,27.60349943363491,44.122334923772655,0.15921276215946853
rgb32,adam,301,0,1.4595344294411063,5.778585082313794,0.0104258364150282
rgb32,adam,301,10,145.964724817093,225.57352214715806,0.4069841679178553
rgb32,adam,301,20,162.25038356070064,301.1130474453721,0.5432740593721691
rgb32,adam,301,30,162.65924290945773,358.8302221680574,0.6474085167565661
rgb32,adam,301,40,172.35491358957847,406.4165964293789,0.7332647854738543
rgb32,adam,301,50,184.6282008533708,446.7229563381236,0.8059863096718783
rgb32,sgd,301,0,1.4595344294411063,5.778585082313794,0.0104258364150282
rgb32,sgd,301,10,40.22669160365962,36.5836688016322,0.0660049719705202
rgb32,sgd,301,20,40.452015479128676,42.81048181795307,0.07723951000541494
rgb32,sgd,301,30,41.39463521995318,47.193146775868335,0.08514679998422844
rgb32,sgd,301,40,40.81678079176059,50.726076304369805,0.09152098065394187
rgb32,sgd,301,50,40.99183687539266,54.19329273480033,0.09777660046471612
avg16,adam,301,0,1.3741934585067237,5.786865530863557,0.020881552325051508
avg16,adam,301,10,49.565527616939,119.60187522717351,0.4315760928624541
avg16,adam,301,20,52.50024998640779,153.79869158447494,0.5549732249206801
avg16,adam,301,30,56.19746078021416,180.6751019547525,0.6519551171839965
avg16,adam,301,40,58.386683604607875,203.75028791150817,0.7352205223323312
avg16,adam,301,50,63.2886989621623,223.22255547541405,0.8054850155807904
avg16,sgd,301,0,1.3741934585067237,5.786865530863557,0.020881552325051508
avg16,sgd,301,10,24.478619235970342,34.59281638320862,0.12482607406795496
avg16,sgd,301,20,27.07957023487866,38.81929267771464,0.14007705673268384
avg16,sgd,301,30,27.52933058685827,41.16378728359183,0.14853702293153898
avg16,sgd,301,40,27.31271960149217,42.84312314867919,0.15459680426758884
avg16,sgd,301,50,27.128259960321056,44.30146716727404,0.15985914996575645
rgb32,adam,302,0,1.4671841977722784,5.770394006467499,0.010411057915513167
rgb32,adam,302,10,144.252235281935,226.42022849582284,0.4085118121001246
rgb32,adam,302,20,158.40854431494284,301.2905755729852,0.5435943590980008
rgb32,adam,302,30,168.62774823484386,359.30116832246534,0.6482582070347574
rgb32,adam,302,40,175.79033991511284,407.0175717404924,0.7343490769040033
rgb32,adam,302,50,189.16083570131212,448.1763646207227,0.8086085773693816
rgb32,sgd,302,0,1.4671841977722784,5.770394006467499,0.010411057915513167
rgb32,sgd,302,10,39.055955531745134,36.2918637968728,0.06547849166411795
rgb32,sgd,302,20,39.00685862634423,42.837961140543584,0.07728908873758614
rgb32,sgd,302,30,39.22616577016759,47.09935619879595,0.08497758118760285
rgb32,sgd,302,40,39.9525395095917,51.43012210344049,0.09279123387773965
rgb32,sgd,302,50,41.16066928725593,55.164320875045895,0.09952854845897074
avg16,adam,302,0,1.373745813755687,5.775808835845612,0.020841654913520517
avg16,adam,302,10,48.42604729317623,121.00751730814444,0.4366482668239093
avg16,adam,302,20,53.29839103912711,155.91822810097264,0.5626214435354127
avg16,adam,302,30,57.02067988422222,182.7110922117332,0.6593018642023417
avg16,adam,302,40,61.13223408407495,205.55051836339481,0.7417165444323318
avg16,adam,302,50,61.967003537771184,224.65420728858166,0.8106510440790288
avg16,sgd,302,0,1.373745813755687,5.775808835845612,0.020841654913520517
avg16,sgd,302,10,25.62384378672567,35.382782980811825,0.12767662049156134
avg16,sgd,302,20,26.67436577632401,38.66387673811743,0.1395162477666663
avg16,sgd,302,30,26.640378185321126,40.76834051540901,0.14711007731866071
avg16,sgd,302,40,26.409640995849,42.61568661103137,0.15377611335362307
avg16,sgd,302,50,27.297055151502196,44.306662362138226,0.15987789651046477
rgb32,adam,303,0,1.374406397177089,5.775259338892659,0.010419836043592427
rgb32,adam,303,10,148.31737378236932,223.75428829666214,0.40370187056378437
rgb32,adam,303,20,151.13485990227974,299.1935212067653,0.5398108125266186
rgb32,adam,303,30,170.09382684635605,357.5848446133489,0.6451615821738983
rgb32,adam,303,40,176.49877264997943,405.0009639582397,0.7307106736354613
rgb32,adam,303,50,186.87372462029327,446.1885996131598,0.8050222127999997
rgb32,sgd,303,0,1.374406397177089,5.775259338892659,0.010419836043592427
rgb32,sgd,303,10,39.98230551508235,36.13094291187671,0.06518815505077193
rgb32,sgd,303,20,41.225916396893474,43.02090453358036,0.0776191587913869
rgb32,sgd,303,30,42.50258009255491,47.242695688417015,0.0852361971029723
rgb32,sgd,303,40,42.36138025274774,50.99637954223547,0.09200866705126866
rgb32,sgd,303,50,42.0082760501724,54.45421525827329,0.09824736199335596
avg16,adam,303,0,1.3374611331898907,5.764021514613145,0.020799121081729332
avg16,adam,303,10,49.40324367050164,121.20274755946701,0.43735274331237833
avg16,adam,303,20,52.79168561847942,155.43718635738668,0.5608856336594701
avg16,adam,303,30,56.2491104846139,182.14725939632183,0.6572673077788687
avg16,adam,303,40,59.77238387105922,204.48365050687792,0.7378668166563958
avg16,adam,303,50,64.38239568020961,224.4699776023041,0.8099862624604971
avg16,sgd,303,0,1.3374611331898907,5.764021514613145,0.020799121081729332
avg16,sgd,303,10,26.898752652888962,35.42502454039145,0.1278290465902756
avg16,sgd,303,20,27.733709393040673,38.49553623648267,0.13890880130457664
avg16,sgd,303,30,27.0493937869241,40.390589287776194,0.14574698498765748
avg16,sgd,303,40,26.669045935995296,41.883044870017095,0.15113242018865963
avg16,sgd,303,50,27.120860246961612,43.69351987101872,0.15766540912109325
rgb32,adam,304,0,1.4361287366797153,5.776168463917654,0.010421476304773388
