optimizer,field,median,min,max
adam,R,0.3339334985520434,0.331372065390665,0.33761267654001426
adam,R_div_sqrt_d,0.667866997104087,0.6627441307813299,0.6752253530800285
adam,R_div_sqrt_input_trace,0.691641211469561,0.6866585229723842,0.6996505687043757
adam,raw_W_RMS,1.008164659996535,1.0024509474386496,1.0145617050433038
adam,width_alignment_factor,0.6919422986446278,0.6715745939938346,0.7013009733975344
sgd,R,0.6578238509392166,0.651017410369528,0.6738143585379719
sgd,R_div_sqrt_d,1.3156477018784332,1.302034820739056,1.3476287170759438
sgd,R_div_sqrt_input_trace,1.3624811142637234,1.3491338834473698,1.3953511039991555
sgd,raw_W_RMS,1.634786942333333,1.6160330966821708,1.6662254339410942
sgd,width_alignment_factor,0.8362585413929768,0.8161842120740687,0.8432747886794181
