optimizer,seed,task,metric,avg16_value,rgb32_value,ratio,difference
adam,300,0,R_endpoint,1.378352190571416,1.4539855600099385,0.9479820353662897,-0.0756333694385225
adam,300,0,raw_W_F_endpoint,5.778950661708548,5.776275325350557,1.0004631594249411,0.0026753363579912204
adam,300,0,raw_W_RMS_endpoint,0.020852992001068726,0.010421669106264178,2.0009263188498823,0.010431322894804548
adam,300,10,R_endpoint,49.55630999668815,148.88396163579446,0.33285190326890046,-99.3276516391063
adam,300,10,raw_W_F_endpoint,120.68806921298838,226.33239913042934,0.5332337291376436,-105.64432991744096
adam,300,10,raw_W_RMS_endpoint,0.4354955578005939,0.40835334863839745,1.066467458275287,0.02714220916219645
adam,300,20,R_endpoint,53.41814024813992,160.7080033046396,0.3323925327283172,-107.28986305649967
adam,300,20,raw_W_F_endpoint,154.55733544282185,300.33279584058073,0.5146202398916908,-145.77546039775888
adam,300,20,raw_W_RMS_endpoint,0.557710745144653,0.5418663141407256,1.0292404797833816,0.015844431003927406
adam,300,30,R_endpoint,57.357518909828954,173.56162204407744,0.3304735127173594,-116.20410313424848
adam,300,30,raw_W_F_endpoint,182.51531600158546,357.97928720719545,0.5098488167443808,-175.46397120561
adam,300,30,raw_W_RMS_endpoint,0.658595417654656,0.6458732432293269,1.0196976334887617,0.01272217442532908
adam,300,40,R_endpoint,59.5307976848313,184.34078311933553,0.32293883468148893,-124.80998543450423
adam,300,40,raw_W_F_endpoint,205.0805942439157,405.0845681492347,0.5062661240858803,-200.00397390531901
adam,300,40,raw_W_RMS_endpoint,0.7400208518268321,0.7308615139547623,1.0125322481717607,0.009159337872069795
adam,300,50,R_endpoint,62.344375919374414,191.33344035031473,0.3258415037393742,-128.98906443094032
adam,300,50,raw_W_F_endpoint,224.8487039031662,445.967963341911,0.5041812918987212,-221.1192594387448
adam,300,50,raw_W_RMS_endpoint,0.8113528732839466,0.8046241365168795,1.0083625837974424,0.0067287367670670895
adam,301,0,R_endpoint,1.3741934585067237,1.4595344294411063,0.9415286346022944,-0.08534097093438264
adam,301,0,raw_W_F_endpoint,5.786865530863557,5.778585082313794,1.0014329543360203,0.00828044854976362
adam,301,0,raw_W_RMS_endpoint,0.020881552325051508,0.0104258364150282,2.0028659086720406,0.010455715910023308
adam,301,10,R_endpoint,49.565527616939,145.964724817093,0.3395719594514982,-96.39919720015402
adam,301,10,raw_W_F_endpoint,119.60187522717351,225.57352214715806,0.530212385251264,-105.97164691998455
adam,301,10,raw_W_RMS_endpoint,0.4315760928624541,0.4069841679178553,1.060424770502528,0.024591924944598775
adam,301,20,R_endpoint,52.50024998640779,162.25038356070064,0.32357550616677927,-109.75013357429285
adam,301,20,raw_W_F_endpoint,153.79869158447494,301.1130474453721,0.5107672779020879,-147.31435586089717
adam,301,20,raw_W_RMS_endpoint,0.5549732249206801,0.5432740593721691,1.0215345558041757,0.011699165548511026
adam,301,30,R_endpoint,56.19746078021416,162.65924290945773,0.3454919608318587,-106.46178212924357
