geometry,optimizer,seed,condition_origin,n_transitions,calibration_first_task,calibration_last_task,heldout_first_task,heldout_last_task,qbar,gamma,split_V,heldout_mape,constant_split_mape,negative_prediction,unstable_gamma,positive_predictions,P3,late_n_transitions,late_endpoint_relative_change,late_median_relative_increment,late_loglog_slope,late_halves_ratio,late_nearbalance,late_activity,late_invalid_V,late_zero_Q_count,late_negative_c_fraction,P1,P2,stopped,low_response_onset_task,dynamics_label
rgb32,adam,300,main_rgb32,50,6,25,26,50,8509.479275729882,0.17658198191987998,27286.181994230326,0.23070529011447852,0.1379669852932444,False,False,True,FAIL,10,0.07730556906213483,0.00872481493743321,0.2850170518047026,1.0223719673043496,0.9750727111438603,3.1287395538475185,False,0,1.0,PASS,FAIL,False,,ACTIVE_OTHER
rgb32,sgd,300,main_rgb32,50,6,25,26,50,269.85269280587505,0.08491664708778508,1590.91861463848,0.04972556534856522,0.04876938113239332,False,False,True,UNINFORMATIVE,10,0.06904566006862407,0.003513032691455974,0.07549750981737269,0.9805714145904733,0.9564307327123643,1.5715217951722824,False,0,1.0,PASS,PASS,False,,ACTIVE_P2
avg16,adam,300,priority_avg16,50,6,25,26,50,818.4006594137047,0.1540473723555511,2903.2070998113336,0.22355611097249667,0.15933930053952988,False,False,True,FAIL,10,0.09675888143880346,0.01962478744446846,0.4631956685724397,1.0679828553750996,0.9653984733933462,2.657118554062083,False,0,1.0,PASS,FAIL,False,,ACTIVE_OTHER
avg16,sgd,300,priority_avg16,50,6,25,26,50,69.12305050275927,0.04252512252350912,737.450304629254,0.06804481331201752,0.017528551579511196,False,False,True,FAIL,10,0.034752030060138085,0.010788706145461886,0.10993022135909286,1.018281970827074,0.962761449047948,0.9250045520726132,False,0,1.0,PASS,PASS,False,,ACTIVE_P2
rgb32,adam,301,main_rgb32,50,6,25,26,50,8271.168673497321,0.17378110285203005,26757.170858090405,0.2059571494487777,0.12053170018364638,False,False,True,FAIL,10,0.14748954483834578,-0.004558531281975397,0.5655415561190601,1.0698179721211507,0.9562224836468228,3.0708475071451855,False,0,1.0,PASS,FAIL,False,,ACTIVE_OTHER
rgb32,sgd,301,main_rgb32,50,6,25,26,50,254.9105225085164,0.07481625716094084,1627.3040490549515,0.01625143267177332,0.0323138730440065,False,False,True,UNINFORMATIVE,10,0.008596046665036845,-0.009941830742627892,0.08601246344544825,1.0199849131984675,0.9941501403136631,1.451686469965916,False,0,1.0,PASS,PASS,False,,ACTIVE_P2
avg16,adam,301,priority_avg16,50,6,25,26,50,802.7927129645534,0.15063839121055228,3104.2000574565286,0.21557570907899629,0.10667620621617324,False,False,True,FAIL,10,0.17496443245521692,0.015579356319833466,0.48017395764536636,1.043427656925892,0.9415206432048415,2.7591016093746044,False,0,1.0,PASS,FAIL,False,,ACTIVE_OTHER
avg16,sgd,301,priority_avg16,50,6,25,26,50,68.62937171428385,0.040986573742136864,760.5400566211707,0.06590173475469169,0.019571122228383878,False,False,True,FAIL,10,-0.013461622203154725,0.010149965769460393,0.13537896192450286,1.0383052999653337,1.0150429432442933,0.8712836531467401,False,0,1.0,PASS,PASS,False,,ACTIVE_P2
rgb32,adam,302,main_rgb32,50,6,25,26,50,8476.504201549044,0.1808147009945974,25518.9777685011,0.23296246020081987,0.17082539878051434,False,False,True,FAIL,10,0.1579036854970685,0.016566986403628012,0.6183781215513372,1.069041286752498,0.952074897975799,3.0371680863125854,False,0,1.0,PASS,FAIL,False,,ACTIVE_OTHER
rgb32,sgd,302,main_rgb32,50,6,25,26,50,258.1144624718676,0.08192606999777292,1581.644127904201,0.04563154098103257,0.044993737263398656,False,False,True,UNINFORMATIVE,10,0.06139265165683807,0.0007176659326707301,0.32170588393641725,1.068982658564126,0.9630817384839004,1.5499454961625594,False,0,1.0,PASS,FAIL,False,,ACTIVE_OTHER
