geometry,optimizer,seed,condition_origin,n_transitions,calibration_first_task,calibration_last_task,heldout_first_task,heldout_last_task,qbar,gamma,split_V,heldout_mape,constant_split_mape,negative_prediction,unstable_gamma,positive_predictions,P3,late_n_transitions,late_endpoint_relative_change,late_median_relative_increment,late_loglog_slope,late_halves_ratio,late_nearbalance,late_activity,late_invalid_V,late_zero_Q_count,late_negative_c_fraction,P1,P2,stopped,low_response_onset_task,dynamics_label
avg16,adam,302,priority_avg16,50,6,25,26,50,829.8624410388138,0.153551351529605,3080.7623626059435,0.2222881324376669,0.12841246650588914,False,False,True,FAIL,10,0.027496750766526606,0.0011179310545865854,0.14353450268871967,1.0208966480871369,0.9898012438238526,2.626453018898734,False,0,1.0,PASS,PASS,False,,ACTIVE_P2
avg16,sgd,302,priority_avg16,50,6,25,26,50,68.4981529549698,0.039906190371329114,722.9258224787287,0.12971940123035874,0.02147833276081048,False,False,True,FAIL,10,0.06833289080479177,0.006398580676970158,0.24137784787205088,1.0282169139326707,0.9239106797289586,0.8757040278714465,False,0,1.0,PASS,FAIL,False,,ACTIVE_OTHER
rgb32,adam,303,main_rgb32,50,6,25,26,50,8294.137381243843,0.1741959995916294,26782.134836892794,0.2290154924926737,0.14147538021560752,False,False,True,FAIL,10,0.12101933691816825,0.009489683382401278,0.3717863319936123,1.0313590453772987,0.9609602251977091,2.939829426516785,False,0,1.0,PASS,FAIL,False,,ACTIVE_OTHER
rgb32,sgd,303,main_rgb32,50,6,25,26,50,262.7507136748137,0.07661132484685206,1728.8749051349628,0.028974761087003947,0.0294728582579717,False,False,True,UNINFORMATIVE,10,-0.01660156239542829,-0.008835283739136108,-0.1894932110231485,0.9547195545831145,1.011591335296741,1.5222030266991615,False,0,1.0,PASS,PASS,False,,ACTIVE_P2
avg16,adam,303,priority_avg16,50,6,25,26,50,803.3613558647141,0.1476580929001373,3062.7974690204583,0.2039134275701893,0.11680898560179984,False,False,True,FAIL,10,0.160200669665251,0.0190372433242749,0.4981791688227828,1.044847906011425,0.9446181861487634,2.782545421089869,False,0,1.0,PASS,FAIL,False,,ACTIVE_OTHER
avg16,sgd,303,priority_avg16,50,6,25,26,50,71.68179677641014,0.04046751020890943,746.2602220096672,0.12776341692129384,0.02286456076187732,False,False,True,FAIL,10,0.03417006546116761,0.0014645474886446153,0.1139022453008917,1.016574487405482,0.9640784395189597,0.9336916635481595,False,0,1.0,PASS,PASS,False,,ACTIVE_P2
rgb32,adam,304,main_rgb32,50,6,25,26,50,8377.522600298427,0.17619200837149016,26776.684252299685,0.2352738947349405,0.14747296752816036,False,False,True,FAIL,10,0.09923787954886984,0.008491555534802617,0.47090135379484255,1.0575582724179633,0.9696057140836268,3.0149073423485384,False,0,1.0,PASS,FAIL,False,,ACTIVE_OTHER
rgb32,sgd,304,main_rgb32,50,6,25,26,50,255.95222350361664,0.07939116961548884,1591.1265943936105,0.0537151397777251,0.06322589145446117,False,False,True,FAIL,10,0.05321267015379931,0.01117951508453326,0.17494186808832038,1.0064661241540918,0.9659340832792873,1.5153636877396595,False,0,1.0,PASS,PASS,False,,ACTIVE_P2
avg16,adam,304,priority_avg16,50,6,25,26,50,794.8226025445884,0.1520644722244528,2961.16163796808,0.21900412679506723,0.1322766453414554,False,False,True,FAIL,10,0.07896223790083393,0.01599320537319957,0.33251569372984163,1.0423721062028468,0.9719376033066179,2.6826955025210157,False,0,1.0,PASS,FAIL,False,,ACTIVE_OTHER
avg16,sgd,304,priority_avg16,50,6,25,26,50,67.81946182497964,0.03969036425049776,761.5025494209631,0.10071587218662444,0.039192300892225085,False,False,True,FAIL,10,0.0011172705669567377,-0.007370605267611359,-0.09068738607286986,0.981700397231978,0.9987596635177388,0.9218829171209034,False,0,1.0,PASS,PASS,False,,ACTIVE_P2
