optimizer,window,metric,statistic,n_seed,n_valid,paired_seed_median,ci95_low,ci95_high
adam,early,R,ratio,5,5,0.34101326692891987,0.33873841922146614,0.3468921275576746
adam,early,R,difference,5,5,-95.91062658840063,-97.34675588994385,-94.12882418924654
adam,early,R_over_Rstar_local,ratio,5,5,1.0485549719469884,0.9703448149082734,1.070157106820845
adam,early,R_over_Rstar_local,difference,5,5,0.04793594372229992,-0.029291128846600567,0.06660766156438958
adam,early,Rstar_local,ratio,5,5,0.322584093006857,0.320544504531339,0.35525890209552824
adam,early,Rstar_local,difference,5,5,-100.43311178406309,-105.39383022885691,-94.41646200949148
adam,early,c,ratio,5,0,,,
adam,early,c,difference,5,5,0.012873230594433516,0.0035588939658413032,0.034237919610850376
adam,early,d_eff,ratio,5,5,0.3116000424085267,0.3091035874501647,0.3144800600395856
adam,early,d_eff,difference,5,5,-62.000686060723815,-62.24983962376137,-61.05062857400531
adam,early,raw_D_F,ratio,5,5,0.5540924919626243,0.5438790831496285,0.5593886141589796
adam,early,raw_D_F,difference,5,5,-50.78794639068875,-52.531062941521014,-49.35557323106692
adam,early,raw_W_F,ratio,5,5,0.5356442888055176,0.5325858736918684,0.5450327279767574
adam,early,raw_W_F,difference,5,5,-102.98163069915202,-103.42263733201796,-99.47158963359047
adam,early,raw_W_RMS,ratio,5,5,1.0712885776110355,1.0651717473837368,1.0900654559535148
adam,early,raw_W_RMS,difference,5,5,0.028552337838550157,0.02601731855506728,0.03558818346098758
adam,early,top10_Q_fraction,ratio,5,5,1.03171726208561,1.0227200893631871,1.044687105828495
adam,early,top10_Q_fraction,difference,5,5,0.022900631536999838,0.016380661157629595,0.032102488216635194
adam,early,train_acc,ratio,5,5,0.909891057498707,0.9084448438553672,0.9264828843843779
adam,early,train_acc,difference,5,5,-0.08958330750465382,-0.0912499725818634,-0.07333332300186157
adam,late,R,ratio,5,5,0.3339334985520435,0.33137206539066494,0.33761267654001426
adam,late,R,difference,5,5,-121.36365281705328,-122.75097370835722,-119.6643458351426
adam,late,R_over_Rstar_local,ratio,5,5,0.9611711186832762,0.9287829409295016,1.052352728920711
adam,late,R_over_Rstar_local,difference,5,5,-0.03752537054150762,-0.07226464622117568,0.049544988316595706
adam,late,Rstar_local,ratio,5,5,0.34475672586630907,0.3227714522905548,0.3601003072972531
adam,late,Rstar_local,difference,5,5,-123.32891350842036,-130.33426702950106,-114.81678963148818
adam,late,c,ratio,5,0,,,
adam,late,c,difference,5,5,0.018639752292920447,0.004678774200624902,0.03824556962058823
adam,late,d_eff,ratio,5,5,0.3145365205285805,0.3050987257670416,0.33086923105025884
adam,late,d_eff,difference,5,5,-69.29863256630009,-71.52207474178633,-65.58764088365645
adam,late,raw_D_F,ratio,5,5,0.5640912857909012,0.5494081066716843,0.570073357322773
adam,late,raw_D_F,difference,5,5,-52.43394352779015,-54.42220264782793,-51.439585218843874
adam,late,raw_W_F,ratio,5,5,0.5040823299982675,0.5012254737193248,0.5072808525216518
adam,late,raw_W_F,difference,5,5,-211.21064505055446,-212.10833881679685,-208.61087875351947
adam,late,raw_W_RMS,ratio,5,5,1.008164659996535,1.0024509474386496,1.0145617050433038
adam,late,raw_W_RMS,difference,5,5,0.006273844038337639,0.0018805152945107206,0.011123440525212303
adam,late,top10_Q_fraction,ratio,5,5,1.0485509061232154,1.0303424725261074,1.0725043640276395
adam,late,top10_Q_fraction,difference,5,5,0.034719205058460934,0.02233226377670028,0.05187875369736239
adam,late,train_acc,ratio,5,5,0.9163879800675689,0.9017147979531182,0.9205467914578608
adam,late,train_acc,difference,5,5,-0.08333331346511841,-0.0979166328907013,-0.07749998569488525
sgd,early,R,ratio,5,5,0.6581155146738484,0.6079491562067538,0.6783218326482876
sgd,early,R,difference,5,5,-13.368838283430176,-15.76156219528174,-12.80641204326798
sgd,early,R_over_Rstar_local,ratio,5,5,0.7427523215347346,0.6133082399519589,0.7543619577997314
sgd,early,R_over_Rstar_local,difference,5,5,-0.274061645030252,-0.4258514767168461,-0.23314091841145745
sgd,early,Rstar_local,ratio,5,5,0.9222606594845943,0.8798100537732826,1.0414659161160746
