ladder,arm,reference,window,metric,n_seeds,mean_paired_difference,ci_low,ci_high,positive_seeds,negative_seeds
A,LRoffm0p5_1216,LRoff0_1216,early,free_growth_ratio,10,0.0006044904707747323,-0.03612060046777901,0.029664216381230655,7,3
A,LRoffm0p5_1216,LRoff0_1216,early,full_w_growth_ratio,10,-0.011364852093760768,-0.028246624911347717,0.0017821970323652833,4,6
A,LRoffm0p5_1216,LRoff0_1216,early,unit_shrink_fraction,10,0.05600000000000001,0.03697500000000001,0.076,10,0
A,LRoffm0p5_1216,LRoff0_1216,early,root_distance_rms,10,0.11246645853649243,0.07528617574006727,0.15050187884015664,10,0
A,LRoffm0p5_1216,LRoff0_1216,early,v_rms,10,-0.10722908797846187,-0.12478798008622448,-0.08468232178822899,0,10
A,LRoffm0p5_1216,LRoff0_1216,middle,free_growth_ratio,10,-0.6082857897872805,-0.6882305794358238,-0.5291219325819916,0,10
A,LRoffm0p5_1216,LRoff0_1216,middle,full_w_growth_ratio,10,-0.3154591482693986,-0.3580119060731178,-0.2738692837215691,0,10
A,LRoffm0p5_1216,LRoff0_1216,middle,unit_shrink_fraction,10,0.099,0.084,0.11400000000000002,10,0
A,LRoffm0p5_1216,LRoff0_1216,middle,root_distance_rms,10,-0.36303908737363655,-0.4307853026884637,-0.297279084913598,0,10
A,LRoffm0p5_1216,LRoff0_1216,middle,v_rms,10,-0.22328243910315432,-0.24073324560363799,-0.20396534764554525,0,10
A,LRoffm0p5_1216,LRoff0_1216,late,free_growth_ratio,10,-1.6184105312903583,-1.6833148866949574,-1.5591852273487081,0,10
A,LRoffm0p5_1216,LRoff0_1216,late,full_w_growth_ratio,10,-0.8786845148685412,-0.9095500423353061,-0.8467551507194002,0,10
A,LRoffm0p5_1216,LRoff0_1216,late,unit_shrink_fraction,10,0.10200000000000001,0.08499999999999999,0.12,10,0
A,LRoffm0p5_1216,LRoff0_1216,late,root_distance_rms,10,-1.1299906323377746,-1.1942542570591619,-1.059946096690009,0,10
A,LRoffm0p5_1216,LRoff0_1216,late,v_rms,10,-0.19267366884380505,-0.20906075372233973,-0.17492003151965305,0,10
A,LRoffm0p5_1216,LRoff0_1216,final,free_growth_ratio,10,-1.6414580255621203,-1.709243415475358,-1.5819405507209394,0,10
A,LRoffm0p5_1216,LRoff0_1216,final,full_w_growth_ratio,10,-0.8888421148666475,-0.9186169038356267,-0.8578882467232214,0,10
A,LRoffm0p5_1216,LRoff0_1216,final,unit_shrink_fraction,10,0.10200000000000001,0.08499999999999999,0.119,10,0
A,LRoffm0p5_1216,LRoff0_1216,final,root_distance_rms,10,-1.1505967792016358,-1.2024216518014432,-1.0923160976297008,0,10
A,LRoffm0p5_1216,LRoff0_1216,final,v_rms,10,-0.20508384657769557,-0.235470860734268,-0.1794544284765959,0,10
A,LRoffp0p5_1216,LRoff0_1216,early,free_growth_ratio,10,0.16173899435567834,0.07402665258763448,0.22806096106366547,9,1
A,LRoffp0p5_1216,LRoff0_1216,early,full_w_growth_ratio,10,0.14836954148358195,0.11854557151476694,0.17934519257129056,10,0
A,LRoffp0p5_1216,LRoff0_1216,early,unit_shrink_fraction,10,1.3877787807814458e-18,-0.023,0.031,3,3
A,LRoffp0p5_1216,LRoff0_1216,early,root_distance_rms,10,1.3216678260733423,0.946997096648757,1.6682407427267887,10,0
A,LRoffp0p5_1216,LRoff0_1216,early,v_rms,10,-0.1490358395125306,-0.2054406367887906,-0.09869296078469852,1,9
A,LRoffp0p5_1216,LRoff0_1216,middle,free_growth_ratio,10,-1.1003064848234476,-1.270325653180138,-0.9149128299332709,0,10
A,LRoffp0p5_1216,LRoff0_1216,middle,full_w_growth_ratio,10,-0.22098346551296189,-0.2975365206553223,-0.13587369129791663,1,9
A,LRoffp0p5_1216,LRoff0_1216,middle,unit_shrink_fraction,10,0.027000000000000003,0.013000000000000001,0.045,7,0
A,LRoffp0p5_1216,LRoff0_1216,middle,root_distance_rms,10,-2.06610973388703,-2.2175263412474107,-1.9120201120759035,0,10
A,LRoffp0p5_1216,LRoff0_1216,middle,v_rms,10,-0.5573141198654813,-0.5787135256778008,-0.5354045276156426,0,10
A,LRoffp0p5_1216,LRoff0_1216,late,free_growth_ratio,10,-2.6712604059533134,-2.7893950932584213,-2.542252240075031,0,10
A,LRoffp0p5_1216,LRoff0_1216,late,full_w_growth_ratio,10,-1.0818204310689785,-1.1278690955268815,-1.0352101741464073,0,10
A,LRoffp0p5_1216,LRoff0_1216,late,unit_shrink_fraction,10,0.056999999999999995,0.038,0.07699999999999999,10,0
A,LRoffp0p5_1216,LRoff0_1216,late,root_distance_rms,10,-3.293548956571277,-3.368587587233068,-3.2171246404117655,0,10
A,LRoffp0p5_1216,LRoff0_1216,late,v_rms,10,-0.4594245762286236,-0.4804909755854383,-0.43543623856336905,0,10
A,LRoffp0p5_1216,LRoff0_1216,final,free_growth_ratio,10,-2.7278845584670157,-2.856782165538165,-2.584776832701286,0,10
A,LRoffp0p5_1216,LRoff0_1216,final,full_w_growth_ratio,10,-1.1117907116295451,-1.1588389986407164,-1.0607093708439057,0,10
A,LRoffp0p5_1216,LRoff0_1216,final,unit_shrink_fraction,10,0.063,0.039,0.086,9,0
A,LRoffp0p5_1216,LRoff0_1216,final,root_distance_rms,10,-3.3651586516060386,-3.4664935968276716,-3.259716089168481,0,10
A,LRoffp0p5_1216,LRoff0_1216,final,v_rms,10,-0.5062399855829829,-0.5448716563062338,-0.46269638197421303,0,10
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,early,free_growth_ratio,10,0.04372247900909012,0.035095392086375646,0.0540164137994364,10,0
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,early,full_w_growth_ratio,10,0.03300253562905255,0.0289767800174981,0.03738092706221004,10,0
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,early,unit_shrink_fraction,10,-0.019,-0.06399999999999997,0.024,5,5
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,early,root_distance_rms,10,1.04987913210665,1.0071588451008873,1.0971151624847175,10,0
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,early,v_rms,10,-0.043383753680681494,-0.053528072020661815,-0.033711038931339705,0,10
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,middle,free_growth_ratio,10,0.15901154380258978,0.13249729901228816,0.1857889232286181,10,0
