ladder,arm,offset,root,seed,window,task_start,task_end,n_units,free_rms,full_w_rms,sigma_rms,root_distance_rms,v_rms,free_growth_ratio,full_w_growth_ratio,unit_shrink_fraction,initial_zero_free_count
A,LRoff0_1216,0.0,-0.0,0,initial,0,0,100,0.7223637571689194,1.4398913264348285,0.3611818785844597,1.0282861575446376,0.09690787394070474,1.0,1.0,0.0,0
A,LRoff0_1216,0.0,-0.0,0,early,2,20,100,1.368736593361706,1.871955487879591,0.684368296680853,1.418101276475147,0.6937067748675979,1.8948024174496851,1.300067201956521,0.1,0
A,LRoff0_1216,0.0,-0.0,0,middle,21,100,100,2.6146284124821753,3.0407334177665244,1.3073142062410876,2.778269244536397,0.8241957339147188,3.6195453973624034,2.1117798002821377,0.0,0
A,LRoff0_1216,0.0,-0.0,0,late,451,500,100,3.584088367167026,4.046217673072835,1.792044183583513,3.6787241179622674,0.6990541584824579,4.961611558716274,2.81008545491504,0.0,0
A,LRoff0_1216,0.0,-0.0,0,final,500,500,100,3.5624439933700787,4.045145678307605,1.7812219966850393,3.8025206812475054,0.7282075121409155,4.931648297710799,2.809340957920337,0.0,0
A,LRoff0_1216,0.0,-0.0,1,initial,0,0,100,0.7127536716197848,1.4203201929643945,0.3563768358098924,0.9550576902340578,0.09383858786956806,1.0,1.0,0.0,0
A,LRoff0_1216,0.0,-0.0,1,early,2,20,100,1.3802575646601287,1.8856529161505478,0.6901287823300644,1.4232688047819166,0.7159995362784706,1.9365141417278044,1.327625225277508,0.09,0
A,LRoff0_1216,0.0,-0.0,1,middle,21,100,100,2.9867511911819173,3.444783332756726,1.4933755955909587,3.1128842932841367,0.8295372269464529,4.190439572754928,2.4253568665858447,0.0,0
A,LRoff0_1216,0.0,-0.0,1,late,451,500,100,3.6525539906936264,4.203693733912867,1.8262769953468132,3.9250560493411433,0.7369489554887015,5.124567064513229,2.959680327531785,0.0,0
A,LRoff0_1216,0.0,-0.0,1,final,500,500,100,3.6838309504709694,4.206358895373774,1.8419154752354847,3.8890534038347915,0.7142211294524334,5.168448928644864,2.961556778682807,0.0,0
A,LRoff0_1216,0.0,-0.0,2,initial,0,0,100,0.6951739093373812,1.3876885387931412,0.3475869546686906,0.8110606104550595,0.09725408151334809,1.0,1.0,0.0,0
A,LRoff0_1216,0.0,-0.0,2,early,2,20,100,1.10007149666004,1.6364067581245252,0.55003574833002,1.110833024576569,0.5610615801647431,1.5824407128693811,1.1792320195623234,0.12,0
A,LRoff0_1216,0.0,-0.0,2,middle,21,100,100,2.4341949199381245,2.8452146880186167,1.2170974599690623,2.6074814852764274,0.8218566254096051,3.5015625403121438,2.0503265743572916,0.0,0
A,LRoff0_1216,0.0,-0.0,2,late,451,500,100,3.458782488758511,3.9057750786947483,1.7293912443792554,3.6615660847736935,0.7371226556542001,4.975420455660251,2.8145905723856175,0.0,0
A,LRoff0_1216,0.0,-0.0,2,final,500,500,100,3.5001226725247796,3.9260067292822,1.7500613362623898,3.8718843861146017,0.8163991775775462,5.034887853977418,2.8291699610754213,0.0,0
A,LRoff0_1216,0.0,-0.0,3,initial,0,0,100,0.7019225972385064,1.3999858554973614,0.3509612986192532,1.083854858035675,0.09900362643730118,1.0,1.0,0.0,0
A,LRoff0_1216,0.0,-0.0,3,early,2,20,100,1.3704135698815794,1.8415943509855617,0.6852067849407897,1.406323327987949,0.6981168893335938,1.9523713515892502,1.315437826570979,0.12,0
A,LRoff0_1216,0.0,-0.0,3,middle,21,100,100,2.679822682899979,3.075011882746322,1.3399113414499895,2.820013737953767,0.840299964815488,3.817832184692299,2.1964592504071323,0.01,0
A,LRoff0_1216,0.0,-0.0,3,late,451,500,100,3.530810434806781,3.9764544415450445,1.7654052174033905,3.7104123413448242,0.7430755194533077,5.030199125512762,2.8403532978069714,0.0,0
A,LRoff0_1216,0.0,-0.0,3,final,500,500,100,3.544024892800687,3.9796715668293445,1.7720124464003435,3.7936287501730965,0.7216831461791454,5.049025215520256,2.8426512676555,0.0,0
A,LRoff0_1216,0.0,-0.0,4,initial,0,0,100,0.6889504467660763,1.4005079337377437,0.34447522338303815,0.9966815379312718,0.0990179919603878,1.0,1.0,0.0,0
A,LRoff0_1216,0.0,-0.0,4,early,2,20,100,1.4048999945481828,1.881793417959422,0.7024499972740914,1.464928813377413,0.6892420745863296,2.039188741574613,1.3436506660388565,0.07,0
A,LRoff0_1216,0.0,-0.0,4,middle,21,100,100,2.8122994858194517,3.1930842674467708,1.4061497429097258,2.924023771111232,0.8345963856797243,4.082005460654457,2.2799472894986836,0.01,0
A,LRoff0_1216,0.0,-0.0,4,late,451,500,100,3.6801174743188456,4.186121143117106,1.8400587371594228,3.8601472955308234,0.7906311639905554,5.341628692735834,2.98900209150903,0.0,0
A,LRoff0_1216,0.0,-0.0,4,final,500,500,100,3.7197266008869896,4.215233225979576,1.8598633004434948,3.939893521658858,0.833432456234573,5.399120674567138,3.009788894754603,0.0,0
A,LRoff0_1216,0.0,-0.0,5,initial,0,0,100,0.7318089860993301,1.4241256246236833,0.36590449304966505,0.8840709951766825,0.10266809539896946,1.0,1.0,0.0,0
A,LRoff0_1216,0.0,-0.0,5,early,2,20,100,1.325502743397037,1.8391177807824841,0.6627513716985185,1.3259191355195634,0.6690796215472492,1.81126874440583,1.2914013686597767,0.1,0
A,LRoff0_1216,0.0,-0.0,5,middle,21,100,100,2.281653316700487,2.702385827476328,1.1408266583502435,2.494974841452633,0.8250081662278629,3.117826318124486,1.8975754531419355,0.0,0
A,LRoff0_1216,0.0,-0.0,5,late,451,500,100,3.5301922770637093,4.002023359491634,1.7650961385318547,3.7327494750916324,0.697845572993534,4.823925838735941,2.810161751389836,0.0,0
A,LRoff0_1216,0.0,-0.0,5,final,500,500,100,3.5051699158510226,3.9914959241171224,1.7525849579255113,3.8060836800700653,0.6639350559688395,4.789733362710113,2.8027695416068727,0.0,0
A,LRoff0_1216,0.0,-0.0,6,initial,0,0,100,0.7122233603226376,1.4206182261212177,0.3561116801613188,0.9074119256983116,0.0950552343916686,1.0,1.0,0.0,0
A,LRoff0_1216,0.0,-0.0,6,early,2,20,100,1.5083899857864558,1.9950612588661962,0.7541949928932279,1.5636026181278844,0.7296778039828338,2.1178608703639745,1.4043613000189419,0.05,0
A,LRoff0_1216,0.0,-0.0,6,middle,21,100,100,2.4048433239491183,2.865308926555962,1.2024216619745591,2.6632911061036486,0.8787512701086498,3.3765296926791657,2.016945069316232,0.0,0
A,LRoff0_1216,0.0,-0.0,6,late,451,500,100,3.5767701419628364,4.061832670837129,1.7883850709814182,3.7598266894513768,0.7569435893055645,5.021978133857555,2.8592007311685324,0.0,0
A,LRoff0_1216,0.0,-0.0,6,final,500,500,100,3.6068334855504975,4.08538138670897,1.8034167427752488,3.745426633922269,0.7455315629276686,5.064188689228897,2.875777117025651,0.0,0
A,LRoff0_1216,0.0,-0.0,7,initial,0,0,100,0.6784986527169264,1.4020331151523138,0.3392493263584632,0.9713000352272748,0.1006962298499074,1.0,1.0,0.0,0
A,LRoff0_1216,0.0,-0.0,7,early,2,20,100,1.3098544333917976,1.8214320813271756,0.6549272166958988,1.4101323023985974,0.6821826953830931,1.930518842073923,1.2991362769126171,0.12,0
A,LRoff0_1216,0.0,-0.0,7,middle,21,100,100,2.6216448767412146,3.031265753098717,1.3108224383706073,2.8343460448420426,0.8515133283202971,3.863891057474185,2.1620500402869633,0.01,0
A,LRoff0_1216,0.0,-0.0,7,late,451,500,100,3.6847096572692903,4.153326105114102,1.8423548286346452,3.833275790427291,0.7495779859985918,5.430680875362877,2.962359490819084,0.0,0
A,LRoff0_1216,0.0,-0.0,7,final,500,500,100,3.733675459841193,4.175776927459671,1.8668377299205965,3.6509214951860365,0.7422240330152645,5.502848745373861,2.9783725379453845,0.0,0
A,LRoff0_1216,0.0,-0.0,8,initial,0,0,100,0.6937528812430814,1.4115880954949276,0.3468764406215407,0.9534892416789081,0.09911488383105639,1.0,1.0,0.0,0
A,LRoff0_1216,0.0,-0.0,8,early,2,20,100,1.3323218234764695,1.8337655888016677,0.6661609117382348,1.3578080695782266,0.6630013365585113,1.9204559137674306,1.2990798056841908,0.12,0
A,LRoff0_1216,0.0,-0.0,8,middle,21,100,100,2.420572966525982,2.831938278896656,1.210286483262991,2.6517610542483756,0.8608851142007868,3.4890996952527926,2.006207255455586,0.01,0
A,LRoff0_1216,0.0,-0.0,8,late,451,500,100,3.690133669047801,4.159866266632405,1.8450668345239005,3.806618881570783,0.7192769003463721,5.319089504083557,2.9469405982585046,0.0,0
