ladder,arm,seed,window,task_start,task_end,Q_task_sum_unit_mean,R_task_sum_unit_mean,G_task_sum_unit_mean,c_effective,c_defined_count,c_undefined_count
A,LRoff0_1216,0,early,2,20,1.1331393313064522,1.6246120862971165,2.7577514176035693,-0.19735947496235468,1900,0
A,LRoff0_1216,0,middle,21,100,4.82849540498224,0.6376525217353571,5.466147926717598,-0.010581267876733351,8000,0
A,LRoff0_1216,0,late,451,500,1.3983564097872665,-1.6049087696576738,-0.2065523598704071,0.04673815992838398,5000,0
A,LRoff0_1216,1,early,2,20,1.259776653916779,1.379164607171916,2.638941261088695,-0.16279209275014075,1900,0
A,LRoff0_1216,1,middle,21,100,6.00444495443034,0.9464065021116286,6.950851456541969,-0.013598614172636506,8000,0
A,LRoff0_1216,1,late,451,500,1.8772564875235862,-1.7860892809082796,0.09116720661530708,0.04186202905073457,5000,0
A,LRoff0_1216,2,early,2,20,0.5967526265463527,0.5939962307592129,1.1907488573055656,-0.12326331937531354,1900,0
A,LRoff0_1216,2,middle,21,100,4.884146791390737,1.30012750923636,6.184274300627098,-0.02484951308152358,8000,0
A,LRoff0_1216,2,late,451,500,1.2579898032735424,-0.8061343707572745,0.4518554325162677,0.025501541531610286,5000,0
A,LRoff0_1216,3,early,2,20,1.4448389707870737,1.8192255929792,3.264064563766274,-0.20846995003680624,1900,0
A,LRoff0_1216,3,middle,21,100,4.740147371507711,0.32516228334665526,5.0653096548543655,-0.00541621651287076,8000,0
A,LRoff0_1216,3,late,451,500,1.7680060177709773,-1.5151346000339387,0.2528714177370388,0.03911672260261054,5000,0
A,LRoff0_1216,4,early,2,20,1.4545953556062248,1.269597802134344,2.7241931577405687,-0.1381811536621722,1900,0
A,LRoff0_1216,4,middle,21,100,6.683758336492602,0.6660770766786188,7.3498354131712205,-0.008687946553564092,8000,0
A,LRoff0_1216,4,late,451,500,1.8627572670799266,-1.5107276388017565,0.35202962827817,0.03475229455783808,5000,0
A,LRoff0_1216,5,early,2,20,0.7321614842050929,0.8267791919167374,1.5589406761218305,-0.1267385300710565,1900,0
A,LRoff0_1216,5,middle,21,100,4.668302010257866,0.17120884891113816,4.839510859169004,-0.0032558377300574244,8000,0
A,LRoff0_1216,5,late,451,500,1.4300079466768247,-1.6770693906347565,-0.2470614439579316,0.04853769728870295,5000,0
