geometry,optimizer,seed,task,R_prev,R_end,raw_W_prev_F,raw_W_end_F,D_eff,c,Rstar_local,R_over_Rstar_local,end_acc,V,Q,X,identity_residual,source_prev,source_end
rgb32,adam,300,26,165.18529593831988,165.88308989502525,329.8416748806888,336.01433033380675,94.56645869343342,-0.2788491141383968,169.56564302818393,0.9741672486735065,0.9950000047683716,27286.181994230323,8942.81510981685,-4355.898795463071,1.8189894035458565e-12,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t025.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t026.npz
rgb32,adam,300,27,165.88308989502525,174.06581564774314,336.01433033380675,341.62380738955693,95.16293794918954,-0.19873010963224086,239.42757875314643,0.6928320069011485,0.8500000238418579,27517.19951312103,9055.984759121298,-3137.138047564112,-6.366462912410498e-12,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t026.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t027.npz
rgb32,adam,300,28,174.06581564774314,171.74495604087411,341.62380738955693,346.63630819330075,98.3046650768742,-0.30582931407564934,160.71818585146772,1.0830499033171703,0.9950000047683716,30298.9081771141,9663.80717587641,-5233.192713754363,-1.8189894035458565e-12,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t027.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t028.npz
rgb32,adam,300,29,171.74495604087411,168.97495340664244,346.63630819330075,351.5446474738362,98.88792841112323,-0.3156774395705142,156.6281210112169,1.0965141823323963,0.9958333373069764,29496.329925481783,9778.822385443433,-5361.308716074119,1.8189894035458565e-12,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t028.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t029.npz
rgb32,adam,300,30,168.97495340664244,173.56162204407744,351.5446474738362,357.979287207196,97.41344641484173,-0.2405245956134176,202.50204800553783,0.8344357751977969,0.98416668176651,28552.53487877698,9489.37954241724,-3959.138887311523,1.6370904631912708e-11,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t029.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t030.npz
rgb32,sgd,300,26,39.88632114696065,40.10403320721058,45.0219325535906,45.6376118721341,16.184019625811615,-0.18938781603900293,42.727193238446354,0.9335113805479396,0.7833333611488342,1590.9186146384802,261.92249124865555,-122.25381320104405,1.2221335055073723e-12,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t025.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t026.npz
rgb32,sgd,300,27,40.10403320721058,40.375421837062525,45.6376118721341,46.183182650620054,15.079447343732804,-0.16994597718801735,44.36541421351171,0.9039481298248916,0.7658333778381348,1608.3334794850489,227.38973219241032,-102.77426157835615,-1.3358203432289883e-12,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t026.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t027.npz
rgb32,sgd,300,28,40.375421837062525,40.88416272029259,46.183182650620054,46.55162971557522,15.372259234666934,-0.15706330785156,48.93650670211022,0.8250572948093468,0.7441666722297668,1630.1746885207456,236.30635397780287,-97.48314057959297,3.410605131648481e-13,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t027.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t028.npz
rgb32,sgd,300,29,40.88416272029259,40.18407473296512,46.55162971557522,46.68325919425678,15.27099446220668,-0.2322110746173675,32.88171007211844,1.2433709387566103,0.7266666889190674,1671.5147613393628,233.2032718647471,-144.9790855297918,-4.547473508864641e-13,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t028.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t029.npz
rgb32,sgd,300,30,40.18407473296512,40.43645472229024,46.68325919425678,47.25277216116209,15.179844077146202,-0.1722006512340031,44.07603562578385,0.9116989348619641,0.73416668176651,1614.7598621445259,230.42766620647063,-105.04032892158375,-2.8421709430404007e-13,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t029.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t030.npz
