geometry,optimizer,seed,task,R,raw_W_F,snapshot
rgb32,adam,300,10,148.88396163579446,226.33239913043047,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t010.npz
rgb32,adam,300,20,160.7080033046396,300.33279584058187,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t020.npz
rgb32,adam,300,30,173.56162204407744,357.979287207196,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t030.npz
rgb32,sgd,300,10,38.96612500698763,36.05237326457086,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t010.npz
rgb32,sgd,300,20,40.0345687022096,42.52702797581033,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t020.npz
rgb32,sgd,300,30,40.43645472229024,47.25277216116209,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t030.npz
dup64,adam,300,10,530.5469557045549,442.0461763711725,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed300/t010.npz
dup64,adam,300,20,569.1612690619426,589.9221740625393,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed300/t020.npz
dup64,adam,300,30,639.2432540187868,697.6469476464455,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed300/t030.npz
dup64,sgd,300,10,66.6041724066144,36.30583799011531,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed300/t010.npz
dup64,sgd,300,20,69.03063531358792,44.70420162837096,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed300/t020.npz
dup64,sgd,300,30,71.0597881977144,51.52831777731723,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed300/t030.npz
dup64_half,adam,300,10,280.5918102461006,448.4027739585346,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed300/t010.npz
dup64_half,adam,300,20,294.57727999328785,600.8457431577059,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed300/t020.npz
dup64_half,adam,300,30,328.0194500639476,716.1455726547684,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed300/t030.npz
dup64_half,sgd,300,10,39.83936853046792,37.068159387757056,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed300/t010.npz
dup64_half,sgd,300,20,41.58035215331447,43.730221524593176,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed300/t020.npz
dup64_half,sgd,300,30,41.13657566975955,48.28297953932976,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed300/t030.npz
rgb32,adam,301,10,145.964724817093,225.57352214715917,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed301/t010.npz
rgb32,adam,301,20,162.25038356070067,301.11304744537324,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed301/t020.npz
rgb32,adam,301,30,162.65924290945773,358.8302221680581,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed301/t030.npz
rgb32,sgd,301,10,40.22669160365961,36.58366880163234,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed301/t010.npz
rgb32,sgd,301,20,40.452015479128676,42.810481817953196,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed301/t020.npz
rgb32,sgd,301,30,41.39463521995318,47.19314677586849,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed301/t030.npz
dup64,adam,301,10,530.3945555197382,437.9431114279763,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed301/t010.npz
dup64,adam,301,20,570.6754176104057,586.4011753473081,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed301/t020.npz
dup64,adam,301,30,618.204975429585,695.4426728665004,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed301/t030.npz
dup64,sgd,301,10,65.83649070081,35.42314636706693,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed301/t010.npz
dup64,sgd,301,20,66.81654714033792,43.9577038347573,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed301/t020.npz
dup64,sgd,301,30,70.85119973927645,50.61143000746187,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed301/t030.npz
dup64_half,adam,301,10,273.9300599173328,441.70042751149174,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed301/t010.npz
dup64_half,adam,301,20,302.9688536787072,598.4293808022916,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed301/t020.npz
dup64_half,adam,301,30,331.4960317085073,710.5656868138655,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed301/t030.npz
dup64_half,sgd,301,10,40.16023214816846,37.34821476392178,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed301/t010.npz
dup64_half,sgd,301,20,40.443201663268816,43.5286355069853,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed301/t020.npz
dup64_half,sgd,301,30,39.94077285962264,47.910273922015946,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed301/t030.npz
rgb32,adam,302,10,144.252235281935,226.42022849582395,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed302/t010.npz
rgb32,adam,302,20,158.40854431494287,301.2905755729863,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed302/t020.npz
rgb32,adam,302,30,168.62774823484386,359.30116832246614,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed302/t030.npz
rgb32,sgd,302,10,39.05595553174513,36.291863796872974,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed302/t010.npz
rgb32,sgd,302,20,39.00685862634424,42.83796114054371,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed302/t020.npz
rgb32,sgd,302,30,39.22616577016758,47.09935619879609,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed302/t030.npz
dup64,adam,302,10,537.5088047312765,439.0879796530509,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed302/t010.npz
dup64,adam,302,20,588.113277198841,588.475717541951,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed302/t020.npz
dup64,adam,302,30,630.4421940750241,696.0977457416851,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed302/t030.npz
dup64,sgd,302,10,67.41634328033864,36.15229844526682,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed302/t010.npz
dup64,sgd,302,20,69.29424567721159,44.677049482626096,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed302/t020.npz
