geometry,optimizer,seed,window,n_negative_c,R_prev,raw_W_prev_F,D_eff,c,Rstar_local,R_over_Rstar_local,end_acc,R_t10,raw_W_F_t10,R_t20,raw_W_F_t20,R_t30,raw_W_F_t30
dup64,adam,300,task26-30,5,605.9629089576465,667.7426574076393,356.1668212313737,-0.2759557388233653,640.5133760485505,0.935639604967673,0.990833342075348,530.5469557045549,442.0461763711725,569.1612690619426,589.9221740625393,639.2432540187868,697.6469476464455
dup64,adam,301,task26-30,5,616.4700185095529,666.8798920846251,356.36316317289544,-0.28415991657032336,627.0468535359091,0.9831323050794154,0.996666669845581,530.3945555197382,437.9431114279763,570.6754176104057,586.4011753473081,618.204975429585,695.4426728665004
dup64,adam,302,task26-30,5,597.4164264288793,666.2705664344614,357.8511773853099,-0.25493508307617785,684.9619362951197,0.8700216075532128,0.9983333349227904,537.5088047312765,439.0879796530509,588.113277198841,588.475717541951,630.4421940750241,696.0977457416851
dup64,adam,303,task26-30,5,620.3105710824117,669.4957949124472,357.44181061477644,-0.2764773297104475,653.8451861737934,0.9487116892492221,0.996666669845581,527.6224899474892,440.8873015819328,588.4631765505649,590.2679129130993,616.1447245214365,697.6682964975038
dup64,adam,304,task26-30,5,611.8343640445762,666.2200880915293,350.7505331159115,-0.2764326846002212,634.4230488213962,0.9602190320502682,0.9975000023841858,533.9158474350431,440.2182765144375,585.5299707362653,587.3437756364474,629.9227761863705,698.5916142155232
dup64,sgd,300,task26-30,5,70.34159998048759,49.71496739693913,31.999557628054802,-0.22629912315747583,72.37488791020557,0.9719061681692598,0.9016667008399964,66.6041724066144,36.30583799011531,69.03063531358792,44.70420162837096,71.0597881977144,51.52831777731723
dup64,sgd,301,task26-30,5,69.77767938876147,48.9040769314458,31.856614245595818,-0.22129953026815494,71.5273100755971,0.9755389838512528,0.8850000500679016,65.83649070081,35.42314636706693,66.81654714033792,43.9577038347573,70.85119973927645,50.61143000746187
dup64,sgd,302,task26-30,5,68.50613832272134,49.17926872898521,32.49597428970828,-0.22813811267430137,72.1477279934763,0.9495259272601871,0.8808333277702332,67.41634328033864,36.15229844526682,69.29424567721159,44.677049482626096,69.35866481419009,50.89528953097962
dup64,sgd,303,task26-30,5,70.06820042775479,49.414088688734225,32.24090846457267,-0.22696892890173118,72.38564991678182,0.9763822283672925,0.878333330154419,65.85828007852035,35.93790423332562,67.99598254956341,44.75916015001711,69.20371445465165,51.116391188769754
dup64,sgd,304,task26-30,5,68.24042154026779,49.64010479381522,31.34857364652675,-0.22918748360757388,72.95562837035574,0.9403307518181089,0.9016667008399964,65.0399910887754,36.33302025600049,67.88663123837338,44.980025140212064,69.69492964804454,51.67820878916643
dup64_half,adam,300,task26-30,5,320.83612388207126,684.5218337273709,188.04921585508393,-0.26125717886503513,351.51602842014677,0.8746083027219576,0.9958333373069764,280.5918102461006,448.4027739585346,294.57727999328785,600.8457431577059,328.0194500639476,716.1455726547684
dup64_half,adam,301,task26-30,5,315.1961998098306,680.654774399077,181.41769902718224,-0.2685283713611415,337.7998721468339,0.9189630198568141,0.9983333349227904,273.9300599173328,441.70042751149174,302.9688536787072,598.4293808022916,331.4960317085073,710.5656868138655
