geometry,optimizer,metric,n_seed,n_valid_ratio,paired_ratio_median,paired_difference_median
dup64,adam,D_eff,5,5,3.7129067169403687,261.17173493958484
dup64,adam,R_over_Rstar_local,5,5,0.9720092613579348,-0.02731984354073813
dup64,adam,R_prev,5,5,3.6620874897869995,444.76179525672273
dup64,adam,R_t10,5,5,3.6337173668800493,384.4298307026452
dup64,adam,R_t20,5,5,3.712636081230396,428.41559039611263
dup64,adam,R_t30,5,5,3.683091034125307,458.73373978173834
dup64,adam,Rstar_local,5,5,3.777377094852223,470.9477330203666
dup64,adam,c,5,0,,-0.002318225730348511
dup64,adam,end_acc,5,5,1.0025125604058627,0.002499997615814209
dup64,adam,raw_W_F_t10,5,5,1.953083951168789,215.71377724074205
dup64,adam,raw_W_F_t20,5,5,1.9642282901920338,289.5893782219574
dup64,adam,raw_W_F_t30,5,5,1.9488472450157488,339.66766043924946
dup64,adam,raw_W_prev_F,5,5,1.9546139436535401,326.11885001808236
dup64,sgd,D_eff,5,5,2.038693373319559,16.235060136913802
dup64,sgd,R_over_Rstar_local,5,5,1.0574656796663136,0.05301355100780858
dup64,sgd,R_prev,5,5,1.7297453405209497,29.126592310528707
dup64,sgd,R_t10,5,5,1.6471856545060144,25.875974563438
dup64,sgd,R_t20,5,5,1.7151409994837798,28.30584385191024
dup64,sgd,R_t30,5,5,1.7116034327347935,29.456564519323273
dup64,sgd,Rstar_local,5,5,1.6426720440423752,28.29885228442172
dup64,sgd,c,5,0,,-0.03964475193027922
dup64,sgd,end_acc,5,5,1.201136330016389,0.14749997854232788
dup64,sgd,raw_W_F_t10,5,5,0.9946572476942527,-0.1930386785512539
dup64,sgd,raw_W_F_t20,5,5,1.0429312762119716,1.839088342082384
dup64,sgd,raw_W_F_t30,5,5,1.0819956491454474,3.8736955003525964
dup64,sgd,raw_W_prev_F,5,5,1.071222904757513,3.285417924436267
dup64_half,adam,D_eff,5,5,1.9408393039709844,90.6357694402422
dup64_half,adam,R_over_Rstar_local,5,5,0.9273554008143405,-0.07198718008793548
dup64_half,adam,R_prev,5,5,1.9184315724480527,153.44472206476374
dup64_half,adam,R_t10,5,5,1.884634228987638,128.40355109385183
dup64_half,adam,R_t20,5,5,1.9312921492592754,146.3193889465201
dup64_half,adam,R_t30,5,5,1.9406712671211297,158.6232776038534
dup64_half,adam,Rstar_local,5,5,1.9936676438265588,168.36347025064043
dup64_half,adam,c,5,0,,0.013313319478833352
dup64_half,adam,end_acc,5,5,1.0008354210893362,0.0008333325386046253
dup64_half,adam,raw_W_F_t10,5,5,1.981169181616503,222.07037482810415
dup64_half,adam,raw_W_F_t20,5,5,2.000599839508163,300.51294731712403
dup64_half,adam,raw_W_F_t30,5,5,1.9955378883973713,355.9892611292763
dup64_half,adam,raw_W_prev_F,5,5,2.002566391970229,342.24794536630156
dup64_half,sgd,D_eff,5,5,1.014641650653464,0.22872533792350502
dup64_half,sgd,R_over_Rstar_local,5,5,1.055777002590984,0.04938896384689562
dup64_half,sgd,R_prev,5,5,1.0088861546044592,0.3584662045120339
dup64_half,sgd,R_t10,5,5,0.9988588006241393,-0.04562778209928098
dup64_half,sgd,R_t20,5,5,0.9989795429176522,-0.0403904948134155
dup64_half,sgd,R_t30,5,5,0.981326626058443,-0.7668780416142695
dup64_half,sgd,Rstar_local,5,5,0.9476838939726763,-2.388242299660817
dup64_half,sgd,c,5,0,,-0.0011118107761164953
dup64_half,sgd,end_acc,5,5,1.0183275879373312,0.013333320617675781
dup64_half,sgd,raw_W_F_t10,5,5,1.0208985590383248,0.7645459622894393
dup64_half,sgd,raw_W_F_t20,5,5,1.0167751835189796,0.718153689032107
dup64_half,sgd,raw_W_F_t30,5,5,1.015195578068851,0.7171271461474547
dup64_half,sgd,raw_W_prev_F,5,5,1.0188143441285409,0.8651339304883621
