geometry,optimizer,seed,input_dimension_ratio,weight_count_ratio,raw_norm_ratio,coordinate_rms_ratio,effective_width_ratio,window
dup64,adam,300,4,4,1.9546139436535401,0.9773069718267701,3.5861108214031083,task26-30 medians within seed
dup64,adam,301,4,4,1.9389055259271775,0.9694527629635887,3.6782416189512523,task26-30 medians within seed
dup64,adam,302,4,4,1.9450184028368704,0.9725092014184352,3.654927725247376,task26-30 medians within seed
dup64,adam,303,4,4,1.9611921492362054,0.9805960746181027,3.6787993730949085,task26-30 medians within seed
dup64,adam,304,4,4,1.9615157099040532,0.9807578549520266,3.6620874897869995,task26-30 medians within seed
dup64_half,adam,300,4,4,2.0037298891959368,1.0018649445979684,1.898720002070195,task26-30 medians within seed
dup64_half,adam,301,4,4,1.9789550097330233,0.9894775048665116,1.8806555801023566,task26-30 medians within seed
dup64_half,adam,302,4,4,1.9852542940060893,0.9926271470030447,1.942225237190518,task26-30 medians within seed
dup64_half,adam,303,4,4,2.0025663919702286,1.0012831959851143,1.9554148103320597,task26-30 medians within seed
dup64_half,adam,304,4,4,2.0109072633291123,1.0054536316645561,1.9184315724480527,task26-30 medians within seed
dup64,sgd,300,4,4,1.0764733945046048,0.5382366972523024,1.7504845003382061,task26-30 medians within seed
dup64,sgd,301,4,4,1.0635325933378543,0.5317662966689272,1.7297453405209497,task26-30 medians within seed
dup64,sgd,302,4,4,1.0679126000372916,0.5339563000186458,1.7396375849917256,task26-30 medians within seed
dup64,sgd,303,4,4,1.071222904757513,0.5356114523787565,1.6814425047340764,task26-30 medians within seed
dup64,sgd,304,4,4,1.0738364365343782,0.5369182182671891,1.6882003384646656,task26-30 medians within seed
dup64_half,sgd,300,4,4,1.0197126026807874,0.5098563013403937,1.01855944980288,task26-30 medians within seed
dup64_half,sgd,301,4,4,1.0188143441285409,0.5094071720642704,1.0088861546044592,task26-30 medians within seed
dup64_half,sgd,302,4,4,1.0216524706843535,0.5108262353421767,1.035673516997774,task26-30 medians within seed
dup64_half,sgd,303,4,4,1.0105852462592397,0.5052926231296199,0.9661776932246472,task26-30 medians within seed
dup64_half,sgd,304,4,4,0.99106735878448,0.49553367939224,0.9967445173788254,task26-30 medians within seed
