geometry,reference_geometry,optimizer,seed,metric,ratio,difference,value,reference_value
dup64,rgb32,adam,300,R_prev,3.5861108214031083,436.98795555100406,605.9629089576465,168.97495340664244
dup64,rgb32,adam,300,raw_W_prev_F,1.9546139436535401,326.11885001808236,667.7426574076393,341.62380738955693
dup64,rgb32,adam,300,D_eff,3.6562387877605036,258.75337481653196,356.1668212313737,97.41344641484173
dup64,rgb32,adam,300,Rstar_local,3.777377094852223,470.9477330203666,640.5133760485505,169.56564302818393
dup64,rgb32,adam,300,R_over_Rstar_local,0.9604506887720816,-0.0385276437058335,0.935639604967673,0.9741672486735065
dup64,rgb32,adam,300,end_acc,0.9958123993235622,-0.004166662693023571,0.990833342075348,0.9950000047683716
dup64,rgb32,adam,300,R_t10,3.5634930040510255,381.66299406876044,530.5469557045549,148.88396163579446
dup64,rgb32,adam,300,R_t20,3.541586338939419,408.453265757303,569.1612690619426,160.7080033046396
dup64,rgb32,adam,300,R_t30,3.683091034125307,465.6816319747094,639.2432540187868,173.56162204407744
dup64,rgb32,adam,300,raw_W_F_t10,1.953083951168789,215.71377724074205,442.0461763711725,226.33239913043047
dup64,rgb32,adam,300,raw_W_F_t20,1.9642282901920338,289.5893782219574,589.9221740625393,300.33279584058187
dup64,rgb32,adam,300,raw_W_F_t30,1.9488472450157488,339.66766043924946,697.6469476464455,357.979287207196
dup64,rgb32,adam,300,c,,0.0028933753150314767,-0.2759557388233653,-0.2788491141383968
dup64_half,rgb32,adam,300,R_prev,1.898720002070195,151.86117047542882,320.83612388207126,168.97495340664244
dup64_half,rgb32,adam,300,raw_W_prev_F,2.0037298891959368,342.898026337814,684.5218337273709,341.62380738955693
dup64_half,rgb32,adam,300,D_eff,1.930423599369061,90.6357694402422,188.04921585508393,97.41344641484173
dup64_half,rgb32,adam,300,Rstar_local,2.0730380408590223,181.95038539196284,351.51602842014677,169.56564302818393
dup64_half,rgb32,adam,300,R_over_Rstar_local,0.8978009719715837,-0.0995589459515489,0.8746083027219576,0.9741672486735065
dup64_half,rgb32,adam,300,end_acc,1.0008375201352877,0.0008333325386048474,0.9958333373069764,0.9950000047683716
dup64_half,rgb32,adam,300,R_t10,1.884634228987638,131.70784861030612,280.5918102461006,148.88396163579446
dup64_half,rgb32,adam,300,R_t20,1.8329969505929609,133.86927668864826,294.57727999328785,160.7080033046396
dup64_half,rgb32,adam,300,R_t30,1.8899307704133135,154.45782801987016,328.0194500639476,173.56162204407744
dup64_half,rgb32,adam,300,raw_W_F_t10,1.981169181616503,222.07037482810415,448.4027739585346,226.33239913043047
dup64_half,rgb32,adam,300,raw_W_F_t20,2.000599839508163,300.51294731712403,600.8457431577059,300.33279584058187
dup64_half,rgb32,adam,300,raw_W_F_t30,2.000522371676404,358.1662854475724,716.1455726547684,357.979287207196
dup64_half,rgb32,adam,300,c,,0.01759193527336167,-0.26125717886503513,-0.2788491141383968
dup64,rgb32,adam,301,R_prev,3.6782416189512523,448.87090937726,616.4700185095529,167.59910913229297
dup64,rgb32,adam,301,raw_W_prev_F,1.9389055259271775,322.93332884724117,666.8798920846251,343.94656323738394
dup64,rgb32,adam,301,D_eff,3.8124374704463104,262.8893249957733,356.36316317289544,93.47383817712218
dup64,rgb32,adam,301,Rstar_local,3.700780036158194,457.6104516397157,627.0468535359091,169.43640189619344
dup64,rgb32,adam,301,R_over_Rstar_local,0.9921107086251458,-0.00781789486533413,0.9831323050794154,0.9909501999447495
dup64,rgb32,adam,301,end_acc,1.0445414401976578,0.04249995946884144,0.996666669845581,0.9541667103767396
dup64,rgb32,adam,301,R_t10,3.6337173668800493,384.4298307026452,530.3945555197382,145.964724817093
dup64,rgb32,adam,301,R_t20,3.5172515780026257,408.425034049705,570.6754176104057,162.25038356070067
dup64,rgb32,adam,301,R_t30,3.800613874575214,455.54573252012733,618.204975429585,162.65924290945773
dup64,rgb32,adam,301,raw_W_F_t10,1.9414650587504323,212.36958928081714,437.9431114279763,225.57352214715917
dup64,rgb32,adam,301,raw_W_F_t20,1.9474452546055507,285.2881279019349,586.4011753473081,301.11304744537324
dup64,rgb32,adam,301,raw_W_F_t30,1.9380827753711052,336.6124506984423,695.4426728665004,358.8302221680581
dup64,rgb32,adam,301,c,,-0.002318225730348511,-0.28415991657032336,-0.28184169083997485
dup64_half,rgb32,adam,301,R_prev,1.8806555801023566,147.59709067753764,315.1961998098306,167.59910913229297
dup64_half,rgb32,adam,301,raw_W_prev_F,1.9789550097330233,336.7082111616931,680.654774399077,343.94656323738394
dup64_half,rgb32,adam,301,D_eff,1.9408393039709844,87.94386085006006,181.41769902718224,93.47383817712218
dup64_half,rgb32,adam,301,Rstar_local,1.9936676438265588,168.36347025064043,337.7998721468339,169.43640189619344
dup64_half,rgb32,adam,301,R_over_Rstar_local,0.9273554008143405,-0.07198718008793548,0.9189630198568141,0.9909501999447495
dup64_half,rgb32,adam,301,end_acc,1.046288163342664,0.0441666245460508,0.9983333349227904,0.9541667103767396
dup64_half,rgb32,adam,301,R_t10,1.8766867149620698,127.9653351002398,273.9300599173328,145.964724817093
dup64_half,rgb32,adam,301,R_t20,1.8672920644613535,140.71847011800654,302.9688536787072,162.25038356070067
dup64_half,rgb32,adam,301,R_t30,2.037978449789235,168.83678879904957,331.4960317085073,162.65924290945773
dup64_half,rgb32,adam,301,raw_W_F_t10,1.9581217835634812,216.12690536433257,441.70042751149174,225.57352214715917
dup64_half,rgb32,adam,301,raw_W_F_t20,1.98739106750549,297.31633335691834,598.4293808022916,301.11304744537324
dup64_half,rgb32,adam,301,raw_W_F_t30,1.9802280937224737,351.7354646458073,710.5656868138655,358.8302221680581
dup64_half,rgb32,adam,301,c,,0.013313319478833352,-0.2685283713611415,-0.28184169083997485
dup64,rgb32,adam,302,R_prev,3.654927725247376,433.96136757721774,597.4164264288793,163.45505885166153
dup64,rgb32,adam,302,raw_W_prev_F,1.9450184028368704,323.71824638304963,666.2705664344614,342.5523200514118
dup64,rgb32,adam,302,D_eff,3.7715255182630574,262.9688345103994,357.8511773853099,94.88234287491049
dup64,rgb32,adam,302,Rstar_local,3.9897984094799073,513.2836042100637,684.9619362951197,171.67833208505598
dup64,rgb32,adam,302,R_over_Rstar_local,0.9177149219921685,-0.078008752097665,0.8700216075532128,0.9480303596508778
dup64,rgb32,adam,302,end_acc,1.0008354210893362,0.0008333325386046253,0.9983333349227904,0.9975000023841858
dup64,rgb32,adam,302,R_t10,3.726173141655226,393.25656944934155,537.5088047312765,144.252235281935
dup64,rgb32,adam,302,R_t20,3.712636081230396,429.70473288389815,588.113277198841,158.40854431494287
dup64,rgb32,adam,302,R_t30,3.7386622348596044,461.8144458401802,630.4421940750241,168.62774823484386
dup64,rgb32,adam,302,raw_W_F_t10,1.9392612690572804,212.66775115722697,439.0879796530509,226.42022849582395
dup64,rgb32,adam,302,raw_W_F_t20,1.9531832896624917,287.1851419689647,588.475717541951,301.2905755729863
dup64,rgb32,adam,302,raw_W_F_t30,1.9373656617697115,336.796577419219,696.0977457416851,359.30116832246614
dup64,rgb32,adam,302,c,,0.0267376599356256,-0.25493508307617785,-0.28167274301180345
dup64_half,rgb32,adam,302,R_prev,1.9422252371905178,154.01148159649682,317.46654044815836,163.45505885166153
dup64_half,rgb32,adam,302,raw_W_prev_F,1.9852542940060893,337.5011442524017,680.0534643038135,342.5523200514118
dup64_half,rgb32,adam,302,D_eff,1.9733169880301829,92.35059618425497,187.23293905916546,94.88234287491049
dup64_half,rgb32,adam,302,Rstar_local,1.9755439077934809,167.47975096572245,339.15808305077843,171.67833208505598
dup64_half,rgb32,adam,302,R_over_Rstar_local,0.9873554825374597,-0.01198738643762387,0.9360429732132539,0.9480303596508778
dup64_half,rgb32,adam,302,end_acc,1.0008354210893362,0.0008333325386046253,0.9983333349227904,0.9975000023841858
dup64_half,rgb32,adam,302,R_t10,1.8901321414042038,128.40355109385183,272.6557863757868,144.252235281935
dup64_half,rgb32,adam,302,R_t20,1.9355449798608246,148.19831840090578,306.60686271584865,158.40854431494287
dup64_half,rgb32,adam,302,R_t30,1.9406712671211297,158.6232776038534,327.2510258386973,168.62774823484386
dup64_half,rgb32,adam,302,raw_W_F_t10,1.9789399444671496,221.65180590994123,448.0720344057652,226.42022849582395
dup64_half,rgb32,adam,302,raw_W_F_t20,1.9864411587922013,297.2054245013859,598.4960000743722,301.2905755729863
dup64_half,rgb32,adam,302,raw_W_F_t30,1.9817820116874996,352.7554238372997,712.0565921597658,359.30116832246614
dup64_half,rgb32,adam,302,c,,-0.0019117464848490973,-0.28358448949665255,-0.28167274301180345
dup64,rgb32,adam,303,R_prev,3.6787993730949085,451.692903150019,620.3105710824117,168.6176679323927
dup64,rgb32,adam,303,raw_W_prev_F,1.9611921492362057,328.12394352441004,669.4957949124472,341.37185138803716
dup64,rgb32,adam,303,D_eff,3.7129067169403687,261.17173493958484,357.44181061477644,96.27007567519159
dup64,rgb32,adam,303,Rstar_local,3.830394771009312,483.1460219198947,653.8451861737934,170.69916425389874
dup64,rgb32,adam,303,R_over_Rstar_local,0.9720092613579348,-0.02731984354073813,0.9487116892492221,0.9760315327899602
dup64,rgb32,adam,303,end_acc,1.0144189851558656,0.014166653156280629,0.996666669845581,0.9825000166893004
dup64,rgb32,adam,303,R_t10,3.557388298431483,379.3051161651198,527.6224899474892,148.31737378236934
dup64,rgb32,adam,303,R_t20,3.893629682331736,437.3283166482851,588.4631765505649,151.13485990227974
dup64,rgb32,adam,303,R_t30,3.622381458193621,446.0508976750805,616.1447245214365,170.09382684635605
dup64,rgb32,adam,303,raw_W_F_t10,1.9704082765885818,217.13301328526958,440.8873015819328,223.7542882966632
dup64,rgb32,adam,303,raw_W_F_t20,1.9728632843796683,291.0743917063328,590.2679129130993,299.1935212067665
dup64,rgb32,adam,303,raw_W_F_t30,1.9510566709052797,340.0834518841541,697.6682964975038,357.5848446133497
dup64,rgb32,adam,303,c,,-0.004592766090920408,-0.2764773297104475,-0.27188456361952706
dup64_half,rgb32,adam,303,R_prev,1.9554148103320597,161.09981722626117,329.71748515865386,168.6176679323927
dup64_half,rgb32,adam,303,raw_W_prev_F,2.002566391970229,342.24794536630156,683.6197967543387,341.37185138803716
dup64_half,rgb32,adam,303,D_eff,1.944870926300215,90.96279557821008,187.23287125340167,96.27007567519159
dup64_half,rgb32,adam,303,Rstar_local,2.1974333295970507,204.40086861197983,375.1000328658786,170.69916425389874
dup64_half,rgb32,adam,303,R_over_Rstar_local,0.9034520652298144,-0.09423382876144937,0.8817977040285109,0.9760315327899602
dup64_half,rgb32,adam,303,end_acc,0.939779471918023,-0.05916666984558083,0.9233333468437196,0.9825000166893004
dup64_half,rgb32,adam,303,R_t10,1.9049436127877937,134.2188600698149,282.53623385218424,148.31737378236934
dup64_half,rgb32,adam,303,R_t20,2.031256758184662,155.85884567151805,306.9937055737978,151.13485990227974
dup64_half,rgb32,adam,303,R_t30,1.9810714374699236,166.8741952089148,336.96802205527086,170.09382684635605
dup64_half,rgb32,adam,303,raw_W_F_t10,2.0019525000145775,224.19116854782422,447.9454568444874,223.7542882966632
dup64_half,rgb32,adam,303,raw_W_F_t20,2.0088861411108234,301.85219705565396,601.0457182624205,299.1935212067665
dup64_half,rgb32,adam,303,raw_W_F_t30,1.9955378883973713,355.9892611292763,713.574105742626,357.5848446133497
dup64_half,rgb32,adam,303,c,,0.022307311089201393,-0.24957725253032567,-0.27188456361952706
dup64,rgb32,adam,304,R_prev,3.6620874897869995,444.76179525672273,611.8343640445762,167.0725687878535
dup64,rgb32,adam,304,raw_W_prev_F,1.9615157099040532,326.5745350492255,666.2200880915293,339.6455530423038
dup64,rgb32,adam,304,D_eff,3.669555109215463,255.166593734524,350.7505331159115,95.58393938138747
dup64,rgb32,adam,304,Rstar_local,3.4306253023115083,449.49377415128555,634.4230488213962,184.9292746701106
dup64,rgb32,adam,304,R_over_Rstar_local,1.0499678029917014,0.04569667306526859,0.9602190320502682,0.9145223589849996
dup64,rgb32,adam,304,end_acc,1.0025125604058627,0.002499997615814209,0.9975000023841858,0.9950000047683716
dup64,rgb32,adam,304,R_t10,3.6898629797749907,389.2178328037244,533.9158474350431,144.69801463131878
dup64,rgb32,adam,304,R_t20,3.726775165128695,428.41559039611263,585.5299707362653,157.11438034015274
