seed,env,act,window,step,layer,group,n,n_active,occupancy,active_fraction,p_old,C,S,cert_mass,cert_force_mass,C_expected,F,F_switch,F_residual,zmean,f_support,f_suppress,f_cert,f_new_support,f_amplify,f_support_neutral,f_suppress_neutral
0,RL,LR,t2,-1,1,P,48292,48292,0.4538721804511278,1.0,0.10019041369572858,0.0027151262866631936,0.004799876016171934,0.14880270964578113,0.14833813079296387,0.010405322741526076,1.0958499048764003e-05,1.622187696098247e-06,9.336311352665741e-06,0.1414339720104365,0.5004348546343079,0.49687318810569037,0.0750434854634308,0.499565145365692,0.5031268118943096,0.0,0.0
0,RL,LR,t2,-1,1,B,58108,58108,0.5461278195488721,1.0,0.1002071647515784,-0.0052886959959508205,-0.010048245965408391,0.146769533887793,0.15034855495992375,-0.0012217917517200712,-6.077847955418753e-06,-2.355917256215039e-06,-3.7219306992037105e-06,-0.15264758952963084,0.49867488125559306,0.4999655813313141,0.07580711778068425,0.501325118744407,0.5000344186686859,0.0,0.0
0,RL,LR,t2,-1,1,V,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
0,RL,LR,t2,-1,1,ALL,106400,106400,1.0,1.0,0.10019956191333498,0.001814462866988526,0.0031429165011827116,0.14857581967801126,0.14854803965454325,0.009095108773078205,4.88065109334525e-06,-7.337295601167919e-07,5.61438065346203e-06,-0.01917214996296793,0.4994736842105263,0.49856203007518796,0.07546052631578948,0.5005263157894737,0.501437969924812,0.0,0.0
0,RL,LR,t2,-1,2,P,52282,52282,0.4913721804511278,1.0,0.10017675864038741,-0.008330212175898393,-0.0015441939082397958,0.14161193583747012,0.14844374045523512,-0.0026555167602284337,-1.3824515164704919e-05,0.00010049391507980313,-0.00011431843024450795,0.06991963003330234,0.499732221414636,0.5054894609999617,0.09058567002027466,0.500267778585364,0.4945105390000383,0.0,0.0
0,RL,LR,t2,-1,2,B,54118,54118,0.5086278195488722,1.0,0.10022159156550693,0.009837081832005115,0.0022511481776418423,0.15656338482816315,0.15798301339685428,0.01052399218822745,6.694828228280377e-06,2.341268091380274e-05,-1.6717852685522365e-05,-0.0696305074273539,0.5030673712997524,0.48773051480099044,0.08730921320078347,0.4969326287002476,0.5122694851990096,0.0,0.0
0,RL,LR,t2,-1,2,V,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
0,RL,LR,t2,-1,2,ALL,106400,106400,1.0,1.0,0.10019956191333496,-0.006713537220041256,-0.0012166819403658957,0.14290214324715889,0.14929058178855548,-0.001520840502324846,-7.12968693642454e-06,0.00012390659599360586,-0.0001310362829300303,-0.0010594521010566247,0.5014285714285714,0.49645676691729324,0.08891917293233083,0.49857142857142855,0.5035432330827068,0.0,0.0
0,RL,ELU1,t2,-1,1,P,48292,48292,0.4538721804511278,1.0,0.10035876195260085,0.009598168770307107,0.008344495525303655,0.15817757238017371,0.15547856695347084,0.017412285128072396,-6.023729634266351e-05,-0.00011903902592118588,5.880172957852246e-05,0.1414339720104365,0.5020293216267705,0.5097738755901599,0.0772177586349706,0.4979706783732295,0.49022612440984015,0.0,0.0
0,RL,ELU1,t2,-1,1,B,58108,58108,0.5461278195488721,1.0,0.10037123170086155,-0.0031037273933686113,-0.00542834628969656,0.16015426519703943,0.1598803485824213,0.001777849819265042,-1.4253602749136929e-05,5.668894542060369e-05,-7.094254816974061e-05,-0.15264758952963084,0.5001376746747436,0.49304742892544917,0.07682246850691815,0.49986232532525643,0.5069525710745508,0.0,0.0
0,RL,ELU1,t2,-1,1,V,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
0,RL,ELU1,t2,-1,1,ALL,106400,106400,1.0,1.0,0.1003655720290288,0.0028167249535946764,0.0009736942834506393,0.1592354375662421,0.15771471453110536,0.009047609264366645,-7.449089909180044e-05,-6.235008050058219e-05,-1.2140818591218143e-05,-0.01917214996296793,0.5009962406015037,0.5006390977443609,0.07700187969924813,0.4990037593984962,0.4993609022556391,0.0,0.0
