seed,env,act,window,step,layer,unit,n,n_active,occupancy,active_fraction,p_old,C,S,cert_mass,cert_force_mass,C_expected,F,F_switch,F_residual,zmean,f_support,f_suppress,f_cert,f_new_support,f_amplify,f_support_neutral,f_suppress_neutral,occupancy_P,occupancy_B,occupancy_V
0,RL,LR,t2-10,0,1,0,9684,9684,1.0,1.0,0.8848328230879818,0.24134496641003123,0.24549776708980411,0.6011959314128426,0.5606039098357655,0.3095620489730216,-0.036387534219724425,-0.03819339446230741,0.0018058602425829904,-3.803951899624736,0.5263320941759604,0.5232342007434945,0.4652003304419661,0.47366790582403967,0.4767657992565056,0.0,0.0,0.09231722428748451,0.10625774473358117,0.8014250309789344
0,RL,LR,t2-10,0,1,1,9684,9684,1.0,1.0,0.8848328230879818,-0.012293809086448898,-0.021782738383155434,0.4652425565376051,0.5241421235253536,-0.010046960820132775,-0.06527829661820594,-0.06637043236135999,0.00109213574315406,-4.8669895189229395,0.46323833126807107,0.4650970673275506,0.40220983064849236,0.536761668731929,0.5349029326724494,0.0,0.0,0.08705080545229243,0.0986162742668319,0.8143329202808757
0,RL,LR,t2-10,0,1,2,9684,9684,1.0,1.0,0.8848328230879821,0.23188548852837124,0.23176574650506115,0.5963688518151261,0.5657676670365528,0.29297338921489424,-0.039351130630782834,-0.038736924793331934,-0.0006142058374509008,-3.603875063449508,0.5277777777777778,0.5332507228418009,0.4646840148698885,0.4722222222222222,0.4667492771581991,0.0,0.0,0.10419248244527055,0.11462205700123916,0.7811854605534903
0,RL,LR,t2-10,0,1,3,9684,9684,1.0,1.0,0.8848328230879818,0.15364017650623668,0.15559839011091114,0.5571303966935414,0.5642150989210815,0.18907619398002465,-0.04811696419743907,-0.048288964882770985,0.00017200068533190373,-3.834639614119459,0.5119785212722016,0.5109458901280463,0.4454770755885997,0.48802147872779844,0.48905410987195375,0.0,0.0,0.07321354812061132,0.0848822800495663,0.8419041718298224
0,RL,LR,t2-10,0,1,4,9684,9684,1.0,1.0,0.8848328230879818,0.35096593365787876,0.3603430052728098,0.6496927941978334,0.5625126502133909,0.47700614015552234,0.002002350611798302,0.0017137803861966147,0.00028857022560168223,-3.088124542045037,0.5807517554729451,0.5888062783973564,0.5123915737298637,0.41924824452705495,0.41119372160264356,0.0,0.0,0.22335811648079307,0.14374225526641884,0.6328996282527881
0,RL,LR,t2-10,0,1,5,9684,9684,1.0,1.0,0.8848328230879821,0.2771274898281181,0.2879851274425531,0.6232148284970128,0.5960745200764113,0.34835146643605586,-0.023529761815635417,-0.025517981966254707,0.0019882201506192993,-4.123397288178474,0.5389301941346551,0.5391367203634861,0.4777984304006609,0.4610698058653449,0.46086327963651386,0.0,0.0,0.06464270962412226,0.06071871127633209,0.8746385790995457
0,RL,LR,t2-10,0,1,6,9684,9684,1.0,1.0,0.8848328230879818,0.03872885781530722,0.0366383693803763,0.49656009226019315,0.5421712290284113,0.055901781049085136,-0.0761554638764885,-0.07487596052548587,-0.0012795033510026401,-4.269555815885808,0.4722222222222222,0.4691243287897563,0.41325898389095417,0.5277777777777778,0.5308756712102437,0.0,0.0,0.0821974390747625,0.11369268897149938,0.8041098719537382
0,RL,LR,t2-10,0,1,7,9684,9684,1.0,1.0,0.8848328230879818,0.07700398164562293,0.07411427864961592,0.5178854234966842,0.541898294476,0.08646225419895989,-0.05787214287069142,-0.054622577135362324,-0.003249565735329102,-4.167142452613412,0.4947335811648079,0.48843453118546054,0.43071045022717885,0.5052664188351921,0.5115654688145395,0.0,0.0,0.0979966955803387,0.09242048740190004,0.8095828170177612
0,RL,LR,t2-10,0,1,8,9684,9684,1.0,1.0,0.8848328230879818,0.2147418416258944,0.22297675270020922,0.5891991050236896,0.5679547561675932,0.31658204669624407,-0.03345257212129963,-0.03318146288432957,-0.00027110923697007205,-3.6270538560144825,0.5273647253201157,0.536761668731929,0.46396117306897977,0.47263527467988437,0.46323833126807107,0.0,0.0,0.11555142503097894,0.10987195373812474,0.7745766212308963
0,RL,LR,t2-10,0,1,9,9684,9684,1.0,1.0,0.8848328230879818,0.040596131184255736,0.04538526068666448,0.5049753385216691,0.5349545412562193,0.06483012057677232,-0.0676635459814487,-0.06815343858984714,0.0004898926083984292,-4.365067128045914,0.468091697645601,0.46437422552664187,0.4096447748864106,0.531908302354399,0.5356257744733581,0.0,0.0,0.1355844692275919,0.10078479966955803,0.7636307311028501
