act,layer,group,window,step,trajectory,Q1,Q2,Q3,occupancy_median,occupancy_min,occupancy_max,active_fraction_median,active_fraction_min,active_fraction_max,p_old_median,p_old_min,p_old_max,C_median,C_min,C_max,S_median,S_min,S_max,f_support_median,f_support_min,f_support_max,f_suppress_median,f_suppress_min,f_suppress_max,f_cert_median,f_cert_min,f_cert_max,cert_mass_median,cert_mass_min,cert_mass_max,cert_force_mass_median,cert_force_mass_min,cert_force_mass_max,F_median,F_min,F_max,F_switch_median,F_switch_min,F_switch_max,F_residual_median,F_residual_min,F_residual_max,C_expected_median,C_expected_min,C_expected_max
GELU,1,P,t2-10,0,BIT_IDENTICAL,OLD_SUPPORT_DOMINANT,SUPPRESSION_DOMINANT,MIXED,0.06392692661958858,0.045437551355792936,0.0685026848409748,1.0,1.0,1.0,0.9968997516500299,0.7910904970623789,0.9972670848278922,0.44560623097998775,0.4446450233365875,0.5494229786210566,0.4467714614496918,0.4464714405753834,0.5688223267946997,0.5614043513760146,0.5609756097560976,0.6114652561146525,0.5615004082416791,0.5610660556543761,0.6165513811655138,0.5596641442310591,0.4955694199556942,0.5597393657044971,0.7227324376341087,0.7219453898821968,0.7465468809411331,0.6374597418636974,0.6292774150213357,0.6512971794688684,-0.028411265184407924,-0.030903474638922106,-0.025942545519209225,-0.028159698190805486,-0.030495793001713328,-0.025760585725567126,-0.00025156699360242126,-0.00040768163720879036,-0.00018195979364210056,0.5691928674951825,0.5609171493952793,0.6812117226344617
GELU,1,B,t2-10,0,BIT_IDENTICAL,OLD_SUPPORT_DOMINANT,SUPPRESSION_DOMINANT,MIXED,0.040323405997339065,0.03801115241635688,0.041552999178307314,1.0,1.0,1.0,0.9892661193451394,0.8317415207162622,0.9922383722165904,0.6403702644633875,0.6144202672320509,0.6510458995176949,0.6366229710317646,0.6144518797142338,0.6474534349697462,0.6029068187992394,0.5589776547360095,0.6124111675126903,0.6027166530834013,0.5582361083646431,0.6123350253807106,0.5971203477315947,0.47449080482499506,0.6084010152284264,0.8126607751732602,0.7975263336203823,0.8197801077793868,0.7330356477964948,0.7063335018639016,0.7407146101879388,0.016048290011296772,0.014872613423071479,0.016420633339850686,0.016339334685252605,0.015098441527382605,0.016621543603202046,-0.00022582810431112755,-0.0002910446739558305,-0.00020091026335137196,0.7555221014974526,0.7369692437376718,0.7677148337481129
GELU,1,V,t2-10,0,BIT_IDENTICAL,OLD_SUPPORT_DOMINANT,SUPPRESSION_DOMINANT,CERT_NOT_MAJORITY,0.8957496673830724,0.8934861627426683,0.9130094494658998,0.5657635001132618,0.5633993992484322,0.578787858333727,0.7461513784442093,0.7297157527613048,0.7492750777474798,0.42214674353647275,0.41425588172570477,0.4259312536730807,0.41954193235048964,0.412056184810296,0.42309317503566185,0.5050224689399947,0.5045717507476589,0.5064874226335813,0.5123773537963956,0.5120054419767612,0.5158180358055436,0.44667312186432645,0.43554174247018396,0.4515582793221769,0.6973764183631309,0.6945744468311692,0.7022841894906532,0.6107512040116693,0.6077571419034576,0.6128359809518699,-0.02723650001555579,-0.027705949735481437,-0.027107604782562474,-0.027839140699964883,-0.02825822991754471,-0.027621771605826476,0.0005522801820632932,0.000514166823264009,0.000602640684409098,0.5227109057296565,0.5070897556381703,0.5300517518103495
GELU,2,P,t2-10,0,BIT_IDENTICAL,OLD_SUPPORT_DOMINANT,SUPPRESSION_DOMINANT,CERT_NOT_MAJORITY,0.9486265479480094,0.9281522185702548,0.9562195373812474,1.0,1.0,1.0,0.760017599864964,0.7291621044063823,0.7656866767749909,0.271421658371837,0.26640877572035776,0.27306662524301795,0.28931714089594707,0.2858808958916825,0.2897440965003045,0.5123394788882979,0.5098298817606423,0.5147596024562634,0.5104331305433255,0.5047283864091153,0.5132479535748947,0.3948633244255332,0.38138812746984724,0.39577733549459343,0.5910937660076055,0.5856098649951959,0.5973317063048239,0.46786993159115575,0.46552307219327316,0.4706637473066331,-0.05201899361497096,-0.05460093744805248,-0.050981530789492746,-0.052700396455341185,-0.05505569103861761,-0.05157195204293466,0.0005904212534419408,0.00045475359056513256,0.0006814028403702024,0.34944874673193166,0.3475399566847012,0.35352996008026366
GELU,2,B,t2-10,0,BIT_IDENTICAL,OLD_SUPPORT_DOMINANT,SUPPRESSION_DOMINANT,CERT_COVERS_MAJORITY,0.03543956606283901,0.029555968608013218,0.04946487263763352,1.0,1.0,1.0,0.9859920054006648,0.8245036774178804,0.9944203503649708,0.5569070251780629,0.5292988399326244,0.5995596897422731,0.55842714700243,0.5504496788802515,0.6027160022063076,0.7143456082733561,0.6749517224194854,0.7240672288321589,0.7144853609111872,0.6829876035631969,0.7243271341111239,0.7058905736845783,0.5777320957661081,0.7214104193138501,0.7742519514821881,0.7308949350864604,0.7999460593295978,0.7957610595562801,0.7448518865032144,0.8065782003191523,0.003856302608554965,0.0034221893831291126,0.0039913255226861595,0.003850190837032213,0.003432449895357337,0.003967242783834149,6.111771522750001e-06,-1.0260512228226603e-05,2.408273885201013e-05,0.7149494770790865,0.6873050122213673,0.741508301213473
GELU,2,V,t2-10,0,BIT_IDENTICAL,OLD_SUPPORT_DOMINANT,SUPPRESSION_DOMINANT,CERT_COVERS_MAJORITY,0.01593388598915157,0.014224494010739363,0.02238290879211175,0.9992198972099853,0.9989110707803993,0.9992934677885542,0.9897732388616847,0.8571965955255424,0.9972030193301094,0.5856544193502854,0.5643419630226236,0.5891401405194527,0.5914299420633372,0.5676085513480817,0.6035537189695515,0.7216991963260619,0.7088662790697674,0.7247075459570639,0.7251574752538886,0.709375,0.7307462686567164,0.7023255813953488,0.6343513203214696,0.7232934824527574,0.7775156977092067,0.7566517865624489,0.7948485120856675,0.7754366264026766,0.7648741410507441,0.7967203380476007,-0.00043952253301183256,-0.000514557495716144,-0.0004043376312107593,-0.0004388184237837629,-0.0005098702159759168,-0.00040292408960542104,-1.4135416053384123e-06,-4.6872797402275365e-06,-7.041092280695978e-07,0.730578590140706,0.724121708774157,0.7452160285105658
SILU,1,P,t2-10,0,BIT_IDENTICAL,OLD_SUPPORT_DOMINANT,SUPPRESSION_DOMINANT,MIXED,0.24282011565468814,0.07282059154641285,0.2438886606409203,1.0,1.0,1.0,0.9322494740344749,0.9056475765474278,0.9961605450523687,0.10579313148674122,0.09152877317422044,0.45268665506406874,0.11011204599107767,0.09419008468974316,0.4531150664511895,0.5165534750602815,0.5149210360075805,0.5682543251865698,0.5162217676602295,0.5142429985260055,0.5682121625230138,0.4796504527268899,0.4678137505475298,0.5656542942672832,0.545102816613324,0.5409745960028246,0.7262739653837513,0.5488023000655803,0.5428006095931686,0.6420769228913331,-0.023285263732770522,-0.03243616989810367,-0.020223572907740423,-0.02331888168968428,-0.03239697448022842,-0.020281661676547793,3.361795691375795e-05,-3.919541787524465e-05,5.808876880735706e-05,0.13577719236700345,0.1182873413044841,0.5780089796001299
SILU,1,B,t2-10,0,BIT_IDENTICAL,OLD_SUPPORT_DOMINANT,SUPPRESSION_DOMINANT,CERT_COVERS_MAJORITY,0.11782559572719803,0.06694708832258725,0.11893329202808757,1.0,1.0,1.0,0.9567624223964151,0.9367308338787353,0.9952685963242727,0.21276044493321114,0.19147868531158313,0.5106370243985874,0.2123395397465271,0.19094482868385185,0.5094895435373901,0.557065335359236,0.5488209911519853,0.5904240682422723,0.5553548947254179,0.5480800244083163,0.5903170575106247,0.5251972279126531,0.5213544606034296,0.5877640871984591,0.6018394163654205,0.5932525565996322,0.7541129863983996,0.5923037299695677,0.5841215371473131,0.6793025767809235,0.006677066873930108,0.006096852907168666,0.018533153403155356,0.006750373934028657,0.006157564772392694,0.018642979159185023,-7.330706009854934e-05,-0.00010982575602966497,-6.0711865224027856e-05,0.28265412485147434,0.25411258703016837,0.6257008561195079
SILU,1,V,t2-10,0,BIT_IDENTICAL,OLD_SUPPORT_DOMINANT,SUPPRESSION_DOMINANT,CERT_NOT_MAJORITY,0.6382857436318817,0.6382465923172242,0.8602323201309999,0.9992967888837931,0.998861436731217,0.9997621659402212,0.9096922772822306,0.8750882651658902,0.9419089725394776,0.08386154233948476,0.08385677905038826,0.2001091460244201,0.08440968102959458,0.08400909079931485,0.20006373126180862,0.5026904298376356,0.5007181987703664,0.5123943514345336,0.5028506419001474,0.501260873626002,0.5161938883436401,0.4551480036972744,0.43913964504127484,0.4819504130656427,0.5395052691974032,0.5371583762253419,0.5973410227005713,0.5212736841389649,0.5187647712443885,0.5555796244494159,-0.0016414184618341711,-0.02345469804271022,-0.001593877407837685,-0.0016292196098585683,-0.023594997222659047,-0.0015960747757062413,2.197367868556469e-06,-1.2198851975602305e-05,0.00014029917994882757,0.11060011483064225,0.1105598588576213,0.26165254007886984
SILU,2,P,t2-10,0,BIT_IDENTICAL,OLD_SUPPORT_DOMINANT,SUPPRESSION_DOMINANT,MIXED,0.22175237505163156,0.21497740345110927,0.9550220038890594,1.0,1.0,1.0,0.9970366376453373,0.9473101479442704,0.9975304285702721,0.4463254483602995,0.2701771086548901,0.44654389005588485,0.4467093769984437,0.27217683038717805,0.44675226578538374,0.5363350565211991,0.510355226158225,0.538662134159119,0.5363207231655693,0.5097508230170433,0.5386528207874456,0.5348348319652941,0.48321388155413053,0.5367901464527696,0.7227589852896131,0.6307787500723865,0.7232231376198759,0.5928364469963806,0.5303326020848038,0.5957908576037223,-0.017061827960912723,-0.05256506718338924,-0.015570962385593941,-0.016996833707038937,-0.05286416243820175,-0.015520766318718784,-5.019606687516156e-05,-6.49942538737948e-05,0.000299095254812501,0.5689003045386958,0.3524055391769126,0.5735858524737307
