arm,seed,median_unit_growth,shrink_fraction,grown_units_final_energy_fraction,near_root_fraction
SN_normal_q0,0,1.3664137324202934,0.28,0.9531044498829505,0.07
SN_normal_q0,1,1.4455108543963413,0.27,0.9708416909992736,0.08
SN_normal_q0,2,1.3904734773184915,0.31,0.9567611633829106,0.05
SN_normal_q0,3,1.427745761300326,0.27,0.9664395429903561,0.09
SN_normal_q0,4,1.542383547014889,0.18,0.9812995512632063,0.04
SN_normal_q0,5,1.415055894419316,0.31,0.9495899064830425,0.05
SN_normal_q0,6,1.4246688524358646,0.35,0.9483988486241036,0.1
SN_normal_q0,7,1.4372473500367349,0.24,0.9757900674512582,0.04
SN_normal_q0,8,1.3887440323025113,0.25,0.9660553838184646,0.06
SN_normal_q0,9,1.2902140212507862,0.25,0.9476239517796475,0.07
SN_peak_q0,0,0.04098692566736059,0.71,0.9997065694909886,0.76
SN_peak_q0,1,0.03573898642765941,0.74,0.9997056133467547,0.74
SN_peak_q0,2,0.054450050236257826,0.68,0.9996308210689369,0.61
SN_peak_q0,3,0.038722270053777944,0.71,0.9997701861096483,0.7
SN_peak_q0,4,0.04096001588211773,0.7,0.9997260082259797,0.72
SN_peak_q0,5,0.046841776886609815,0.72,0.9995326609749423,0.63
SN_peak_q0,6,0.04587847207541318,0.68,0.9996743659968966,0.69
SN_peak_q0,7,0.031363280547172856,0.7,0.9998590749685439,0.69
SN_peak_q0,8,0.04149789290705952,0.7,0.9997687966138024,0.73
SN_peak_q0,9,0.03994548206896302,0.74,0.9996564206942589,0.63
SN_valley_q0,0,1.3022256935875531,0.33,0.9471844109208288,0.15
SN_valley_q0,1,1.2740652452713865,0.32,0.9487240993411571,0.23
SN_valley_q0,2,1.3781936145757585,0.32,0.9599609338668738,0.21
SN_valley_q0,3,1.3600407133217196,0.35,0.9547003529622202,0.21
SN_valley_q0,4,1.4388852569995296,0.26,0.9701203000298624,0.19
SN_valley_q0,5,1.259830009996277,0.33,0.9457239728064957,0.2
SN_valley_q0,6,1.3064519092956437,0.28,0.9630916657814795,0.16
SN_valley_q0,7,1.330354160520913,0.29,0.9598835070993573,0.14
SN_valley_q0,8,1.410393654179003,0.25,0.9699192838719213,0.12
SN_valley_q0,9,1.3447090977561458,0.29,0.9516679367101701,0.11
