arm,task,kind,eps,kappa_total_mean,kappa_self_mean,kappa_rest_mean,kappa_total_positive_fraction,tangent_force_mean,self_tangent_force_mean,rest_tangent_force_mean,effective_v2_gate2_mean
LR_a0p1_q0,500,mean,0.05,1.0582295965387671,1.0217114537748622,0.03651814276390558,0.991,0.00013553154205110088,-0.0916861673040274,0.09182169884607852,0.04934157548104201
LR_a0p1_q0,500,width,0.05,0.05224050829008138,0.05161691956632682,0.0006235887237545545,0.991,0.00013553154205110088,-0.0916861673040274,0.09182169884607852,0.04934157548104201
LR_a0p1_qm05,500,mean,0.05,0.9442991184169198,0.30566664525936604,0.6386324731575537,0.9970000000000001,6.745588870286971e-06,-0.04833784931559457,0.04834459490446484,0.04519537544885061
LR_a0p1_qm05,500,width,0.05,0.0483265226512002,0.022613319611020755,0.025713203040179444,0.999,6.745588870286971e-06,-0.04833784931559457,0.04834459490446484,0.04519537544885061
LR_a0p1_qp05,500,mean,0.05,0.10271479767719441,0.10149160663091646,0.0012231910462777878,1.0,3.963791317371148e-05,-0.009327855820967382,0.009367493734141093,0.004040802850703419
LR_a0p1_qp05,500,width,0.05,0.0038990910200175843,0.004458491743302528,-0.0005594007232849434,0.998,3.963791317371148e-05,-0.009327855820967382,0.009367493734141093,0.004040802850703419
SN_normal_q0,500,mean,0.05,0.8853850770280257,0.7965740187961539,0.08881105823187167,1.0,4.3185488698778604e-09,-0.034205025543183734,0.0342050298617326,0.04317730580163521
SN_normal_q0,500,width,0.05,0.029390202654764348,0.024770448826609007,0.004619753828155338,1.0,4.3185488698778604e-09,-0.034205025543183734,0.0342050298617326,0.04317730580163521
SN_normal_qm05,500,mean,0.05,0.8161452263538456,0.6199354109373607,0.19620981541648486,1.0,-5.924950304982048e-08,-0.028599414244555244,0.028599354995052194,0.0398149294757931
SN_normal_qm05,500,width,0.05,0.024689019512701825,0.01925478849494268,0.005434231017759145,1.0,-5.924950304982048e-08,-0.028599414244555244,0.028599354995052194,0.0398149294757931
SN_normal_qp05,500,mean,0.05,0.8729862441798021,0.7641495559840669,0.1088366881957354,0.999,2.101648895122338e-08,-0.03233616493803402,0.03233618595452297,0.04251388086545639
SN_normal_qp05,500,width,0.05,0.028854722942748056,0.02610024476109013,0.002754478181657936,1.0,2.101648895122338e-08,-0.03233616493803402,0.03233618595452297,0.04251388086545639
SN_peak_q0,500,mean,0.05,1.0124758862116539,0.6161426509604442,0.39633323525120984,1.0,7.475705113862182e-10,-0.03492619917963954,0.034926199927210036,0.04940263090221807
SN_peak_q0,500,width,0.05,0.023805773786978145,0.01889356099619701,0.004912212790781132,1.0,7.475705113862182e-10,-0.03492619917963954,0.034926199927210036,0.04940263090221807
SN_peak_qp05,500,mean,0.05,0.8727824746927813,0.5842799311239988,0.28850254356878235,1.0,1.3799609200851354e-11,-0.02774611689591288,0.027746116909712487,0.04265738447907633
SN_peak_qp05,500,width,0.05,0.02284115071956388,0.01873657158184167,0.004104579137722219,1.0,1.3799609200851354e-11,-0.02774611689591288,0.027746116909712487,0.04265738447907633
SN_valley_q0,500,mean,0.05,0.8486636152296713,0.7666842963686211,0.08197931886105031,1.0,8.671537147549703e-09,-0.03183106496102367,0.03183107363256081,0.04131544761479095
SN_valley_q0,500,width,0.05,0.02833630309551563,0.02599970345718452,0.002336599638331106,1.0,8.671537147549703e-09,-0.03183106496102367,0.03183107363256081,0.04131544761479095
SN_valley_qm05,500,mean,0.05,0.82120809547765,0.6756834796619423,0.14552461581570755,1.0,3.9372615380194764e-09,-0.02987839782422914,0.029878401761490682,0.040038512522734916
SN_valley_qm05,500,width,0.05,0.02582997607536171,0.021270242479428766,0.004559733595932945,1.0,3.9372615380194764e-09,-0.02987839782422914,0.029878401761490682,0.040038512522734916
SN_valley_qp05,500,mean,0.05,0.8786668941740325,0.6938956122247179,0.184771281949315,1.0,2.031343968550305e-09,-0.030806785020125772,0.03080678705146973,0.04281456439801651
SN_valley_qp05,500,width,0.05,0.0266101111478179,0.02249638966016717,0.004113721487650733,1.0,2.031343968550305e-09,-0.030806785020125772,0.03080678705146973,0.04281456439801651
