environment,reference_arm,comparison_arm,window,reference_window,comparison_window,design,metric,field,contrast,n_seed,seed_median,ci95_low,ci95_high
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_sum_AE_cross,difference,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_sum_AE_cross,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_sum_total_energy,difference,5,59.85182621281648,50.00921729554737,111.32570451479397
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_sum_total_energy,ratio,5,4.073705926086307,3.281546891039109,4.871996394176825
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_sum_mean_A_sq,difference,5,53.082094127871244,41.23450930441817,101.65708015424846
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_sum_mean_A_sq,ratio,5,4.067535054306912,3.2179611819603173,4.964576172710835
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_sum_mean_E_sq,difference,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_sum_mean_E_sq,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_target_change_fraction,difference,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_target_change_fraction,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_target_change_energy,difference,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_target_change_energy,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_learner_input_mean_shift_sq,difference,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_learner_input_mean_shift_sq,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_original_context_mean_shift_sq,difference,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_original_context_mean_shift_sq,ratio,5,1.0,1.0,1.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_task_start_mse,difference,5,-8.261895757186725e-05,-0.0004016073528646302,0.00013451458934241598
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_task_start_mse,ratio,5,0.7976093787460538,0.6480487085852944,1.5632483138433166
