task,seed,intervention,n_removed,baseline_mse,removed_mse,mean_preserved_mse,constant_optimal_mse
20,0,remove_grown,69,0.18901036842780816,3.4900792647973615,3.0402276237128767,2.9990234375
20,1,remove_grown,66,0.23453883045490556,13.269903597640369,2.092241680847692,2.05859375
20,2,remove_grown,67,0.06252901928733537,3.3727355694823657,0.9877451405137812,1.15234375
20,3,remove_grown,68,0.03720196992543827,1.559212735556224,1.5278342821015707,1.5537109375
20,4,remove_grown,56,0.12631238190917016,5.216929470032994,1.936842981550297,2.1083984375
20,5,remove_grown,73,0.0016112971531321617,6.680521895898315,1.5610368542591906,1.40234375
20,6,remove_grown,70,0.07254848814533334,5.113874048436408,2.019282979506781,2.171875
20,7,remove_grown,62,0.03182355593309864,0.7666477884220972,0.4954034806101649,0.4677734375
20,8,remove_grown,72,0.0027368952301040227,2.7059287566635155,0.9988347427925925,1.12109375
20,9,remove_grown,68,0.0049949409910049515,2.1404517237839613,1.5776013919138236,1.6396484375
20,0,remove_shrunk,31,0.18901036842780816,0.1700149063989904,0.2932712223198767,2.9990234375
20,1,remove_shrunk,34,0.23453883045490556,0.23824040103454064,0.24015583169361454,2.05859375
20,2,remove_shrunk,33,0.06252901928733537,0.17091382154058296,0.19864946638448472,1.15234375
20,3,remove_shrunk,32,0.03720196992543827,0.08099255634612487,0.05073685347228565,1.5537109375
20,4,remove_shrunk,44,0.12631238190917016,0.1811422004192519,0.17089076036594283,2.1083984375
20,5,remove_shrunk,27,0.0016112971531321617,0.14451966849017372,0.06962420900907193,1.40234375
20,6,remove_shrunk,30,0.07254848814533334,0.08649853005968891,0.0878035733036142,2.171875
20,7,remove_shrunk,38,0.03182355593309864,0.022715932524959816,0.03728529218522499,0.4677734375
20,8,remove_shrunk,28,0.0027368952301040227,0.2333485121438078,0.027775116296023583,1.12109375
20,9,remove_shrunk,32,0.0049949409910049515,0.012957076989395504,0.012949639270548013,1.6396484375
100,0,remove_grown,69,2.7147536496092793e-05,6.499936823079246,2.170057179070536,2.2724609375
100,1,remove_grown,66,0.033244741248155046,1.9540535261745005,1.950746346516135,1.93359375
100,2,remove_grown,67,0.03296883812889741,2.242851662379087,1.3596036851803681,1.3037109375
100,3,remove_grown,68,0.004846099669108945,5.728059825726763,2.173980546453807,2.24609375
100,4,remove_grown,56,0.000296695094270385,10.133946492475786,0.9910090882922756,0.99609375
100,5,remove_grown,73,0.013166524705047415,1.6488235572472396,1.3889044737864389,1.4365234375
100,6,remove_grown,70,0.009047867870909141,3.908494878197555,1.108192454227492,1.08984375
100,7,remove_grown,62,0.009891032910198213,2.784320837776468,2.46714681379614,2.6318359375
100,8,remove_grown,72,0.020229362559013107,1.4029573217000253,1.4024831953297245,1.46484375
100,9,remove_grown,68,6.867185195533177e-05,5.949510730482004,5.734289773314471,5.546875
