seed,group,task,count,mean_abs_z,mean_z,mean_norm,mean_sigma,mean_abs_v,center_count,below_minus1,above_plus1,energy_share
0,grown,0,29,0.912045673081844,-0.01730955440294126,0.818962282065081,0.4094811410325405,0.08997888194652001,2,7,4,0.3791881835465127
0,grown,1,29,0.6268032767392439,0.07093248914541869,0.966008873127536,0.483004436563768,0.22979516258206348,9,3,5,0.5377166544788754
0,grown,20,29,0.7036621849341639,-0.27917565675131206,1.5144463528837995,0.7572231764418997,0.33969657148780497,1,6,1,0.7980477832114407
0,grown,100,29,0.9436629974636538,0.1475072169098361,1.9836328228894318,0.9918164114447159,0.3069351767992665,1,4,5,0.971295234016651
0,grown,500,29,0.8849946240541237,-0.12537717491645237,2.1427089482683397,1.0713544741341698,0.29396482961701936,5,5,4,0.9997065694909886
0,at_least_2x,0,23,0.9985496699810028,0.06639177255008531,0.7963610613413187,0.39818053067065934,0.09719164569295295,0,5,4,0.284302013845839
0,at_least_2x,1,23,0.6980797826595928,0.14549567161694818,0.9757093728748731,0.48785468643743657,0.2574080290353816,7,3,5,0.44816186913290845
0,at_least_2x,20,23,0.6963566632374473,-0.18038042084030484,1.4601233652818095,0.7300616826409048,0.33297966323468997,0,4,1,0.5695772486480152
0,at_least_2x,100,23,0.8832018420748089,0.23332837159218994,2.0217448171422405,1.0108724085711203,0.3179369970508244,1,3,4,0.8028170305177988
0,at_least_2x,500,23,0.8274390996312317,-0.1578463313534208,2.256546885959794,1.128273442979897,0.3143542492357285,5,4,2,0.8739885105296172
0,top10_final_norm,0,10,0.7692218348383904,-0.1604498729109764,0.8343500005964429,0.41717500029822147,0.08720010065007955,0,1,0,0.13438330686229502
0,top10_final_norm,1,10,0.45252797808498146,-0.1349781321361661,0.8998159400161476,0.4499079700080738,0.2148379974067211,4,1,1,0.14050652960767385
0,top10_final_norm,20,10,0.597269880771637,-0.2330968976020813,1.4674251550368191,0.7337125775184096,0.32859139181673525,0,2,0,0.24026913938989056
0,top10_final_norm,100,10,0.8774091511964798,0.3850828379392624,2.0986930726032464,1.0493465363016232,0.25708114355802536,0,1,2,0.3920164451976148
0,top10_final_norm,500,10,1.3136405708268284,-0.04654841516166926,2.714150522986189,1.3570752614930945,0.3836630657315254,3,3,2,0.5335896294290582
1,grown,0,26,0.9933013546979055,0.07483989022707996,0.8249648464450666,0.4124824232225333,0.07581029348567916,2,5,7,0.3599386375980844
1,grown,1,26,0.6831435869770268,0.05041941805169559,1.1715592575225988,0.5857796287612994,0.35321562894834924,4,4,4,0.6086835405694728
1,grown,20,26,0.8946398692205548,0.18710772299136108,1.721298824498081,0.8606494122490405,0.3794257593914293,3,3,6,0.855226882558607
1,grown,100,26,0.830781381433973,-0.00022493030589360458,2.122273844282167,1.0611369221410836,0.32096750697550863,3,5,3,0.9888106362184608
1,grown,500,26,1.0321904678757374,-0.06531420407386926,2.201305712245018,1.100652856122509,0.3159434133424209,0,5,6,0.9997056133467547
