arm,iv,seed,window,neg_localup_actualdown,neg_localup_currentdown,local_actual_opposed,n_negative,n_neg_local_up,n_up_actualdown,n_up_currentdown,n_boundaries
SNA,none,0,1-5,0.3807317973087566,0.35482754129347854,0.37722436920750313,104980,55693,21118,19686,19
SNA,none,0,6-10,0.452669919454996,0.3793614032082846,0.4223925776980832,106455,54370,24594,20627,19
SNA,none,0,11-15,0.49876474717436636,0.408842665410504,0.41990456463446096,107638,53594,26691,21802,19
SNA,none,0,16-20,0.5198151184300892,0.41063221058980964,0.4294039927291444,109171,53691,27911,22005,19
SNA,none,0,1-20,0.46176237205476917,0.3871601725602981,0.4122288092202544,428244,217348,100314,84120,19
SNA,none,1,1-5,0.3782438106977871,0.3566599500331297,0.38249611655395477,108128,57117,21558,20353,19
SNA,none,1,6-10,0.4475036980473116,0.3881739392670476,0.4181318328512551,109840,55787,24939,21604,19
SNA,none,1,11-15,0.4662943784773958,0.3923375116906097,0.41962773415294563,111025,55371,25799,21691,19
SNA,none,1,16-20,0.48539700576846306,0.4034232213784153,0.4274219076366432,111568,54371,26406,21903,19
SNA,none,1,1-20,0.4434427977290145,0.3843571824782695,0.4119179511276201,440561,222646,98702,85551,19
SNA,none,2,1-5,0.38197581377405027,0.35870943519846626,0.37627473103290904,109167,57956,22086,20743,19
SNA,none,2,6-10,0.4481704113738024,0.3767715227424456,0.4189867498304847,111045,56556,25375,21268,19
SNA,none,2,11-15,0.4938736909493552,0.4104964703829954,0.4214022244180789,112029,55487,27374,22726,19
SNA,none,2,16-20,0.5199610319340771,0.40366258643846725,0.4312067963735402,113117,55869,29060,22527,19
SNA,none,2,1-20,0.4599298816630732,0.3863076385275185,0.4119632681738528,445358,225868,103895,87264,19
SNA,l2,0,1-5,0.4296332152718261,0.33556125425641636,0.3613845792729044,93448,47634,20468,15996,19
SNA,l2,0,6-10,0.5980077949791093,0.33519221843262753,0.3929643879581441,99111,47933,28659,16040,19
SNA,l2,0,11-15,0.6117249914862332,0.3239825939311646,0.3958122810461942,102883,48481,29693,15679,19
SNA,l2,0,16-20,0.5425655535681289,0.3265970651814228,0.4037795768058974,104927,49011,26607,15964,19
SNA,l2,0,1-20,0.5456915805930156,0.32963786156394365,0.38848261979808346,400369,193059,105427,63679,19
SNA,l2,1,1-5,0.4200565841037044,0.33201324615090294,0.36362156222412295,91319,47717,20085,15850,19
SNA,l2,1,6-10,0.5578727090528746,0.3142761056506967,0.39084909513505695,95923,46873,26192,14622,19
SNA,l2,1,11-15,0.601080004630002,0.3249311681520536,0.39288932527316967,98067,46200,27822,14998,19
SNA,l2,1,16-20,0.5564962560514927,0.3268528180096546,0.40421011042722726,100675,47049,26104,15309,19
SNA,l2,1,1-20,0.5326354381969773,0.3234457343470304,0.3878902676877246,385984,187839,100203,60779,19
SNA,l2,2,1-5,0.4244657345845086,0.33666881738548343,0.3641964921184617,94295,49551,21068,16692,19
SNA,l2,2,6-10,0.5640080793600253,0.30796464633878173,0.3887594045764298,99947,48377,27274,14848,19
SNA,l2,2,11-15,0.5916035680574024,0.3178838886787356,0.3916251311872919,100143,47216,27885,15003,19
SNA,l2,2,16-20,0.5585354832395633,0.330686698560453,0.4020381697590598,101837,47746,26686,15779,19
SNA,l2,2,1-20,0.5337159547227812,0.3229661220991079,0.3866525616389784,396222,192890,102913,62322,19
LR,none,0,1-5,0.3465525368314252,0.31395523009524556,0.3651907894736843,130633,69610,24023,21779,19
LR,none,0,6-10,0.3872854934424234,0.3135930767767218,0.4080526315789474,131972,69551,26890,21761,19
LR,none,0,11-15,0.38413649219328033,0.32444858173118224,0.40177895427717936,131920,68919,26437,22326,19
LR,none,0,16-20,0.42800479774063804,0.3782668027925923,0.39737500000000003,132216,66786,28554,25200,19
LR,none,0,1-20,0.38572269534523995,0.3315514927907857,0.39309930583768243,526741,274866,105904,91066,19
LR,none,1,1-5,0.35213981955565454,0.3154486510404037,0.36646052631578946,131498,69632,24425,21885,19
LR,none,1,6-10,0.39053644609213745,0.31657948145891435,0.40311184210526313,132152,69677,27148,22005,19
LR,none,1,11-15,0.37469405131325,0.31597951953680975,0.3930065789473684,132501,69224,25906,21794,19
LR,none,1,16-20,0.4023180351921358,0.3670087853362112,0.4007763157894737,132431,67163,27031,24580,19
LR,none,1,1-20,0.3792865173290936,0.3274743166403592,0.3908388157894737,528582,275696,104510,90264,19
LR,none,2,1-5,0.33525572973078155,0.3047353396040526,0.3678289473684211,135518,72411,24229,22035,19
LR,none,2,6-10,0.37007545615384085,0.30485229210970977,0.4055723684210526,136704,72076,26648,21933,19
LR,none,2,11-15,0.3628806578883846,0.3341642958599801,0.39300910146663076,136947,70745,25658,23610,19
LR,none,2,16-20,0.390256820240136,0.34208503154133735,0.3884038473559195,136950,70143,27318,23953,19
LR,none,2,1-20,0.3642621807437047,0.32093703699252263,0.3887035912717667,546119,285375,103853,91531,19
LR,l2,0,1-5,0.4807703293351113,0.3702721052280406,0.3699407894736842,96507,46810,22476,17327,19
LR,l2,0,6-10,0.6141995742742722,0.3362445900365922,0.3986052631578947,102065,48349,29726,16160,19
LR,l2,0,11-15,0.6461228384884015,0.31058797921632647,0.4004473684210526,104839,49381,31845,15216,19
LR,l2,0,16-20,0.6025888204095619,0.315250840903839,0.4027763157894737,105987,50273,30284,15771,19
LR,l2,0,1-20,0.5868068237914794,0.33116199422427034,0.3929424342105263,409398,194813,114331,64474,19
LR,l2,1,1-5,0.49884504452237105,0.39237590237185,0.3705065789473685,90657,44046,21915,17214,19
LR,l2,1,6-10,0.6045676972513383,0.3265994307139036,0.39466447368421054,98149,46046,27883,14916,19
LR,l2,1,11-15,0.5989327342175668,0.3130755524671291,0.39453289473684205,100080,47003,28219,14661,19
LR,l2,1,16-20,0.5759440604993267,0.31699311654934814,0.40065131578947366,99337,46331,26739,14572,19
LR,l2,1,1-20,0.569760328268099,0.3349099901929613,0.3900888157894737,388223,183426,104756,61363,19
LR,l2,2,1-5,0.500536473376016,0.3924534138907153,0.36788815789473683,100327,49155,24547,19259,19
LR,l2,2,6-10,0.6133822353240446,0.32198669823101184,0.3960486146294602,105746,50255,30862,16140,19
LR,l2,2,11-15,0.6380185018727967,0.31517070395805086,0.39936842105263165,107053,50666,32352,15914,19
LR,l2,2,16-20,0.5748649220110889,0.3117268497697451,0.3926842105263158,108636,51549,29611,15977,19
LR,l2,2,1-20,0.5814690600271564,0.3336929398067867,0.3889973347234535,421762,201625,117372,67290,19
