arm,iv,seed,step,mean_before,mean,mean_delta,within_before,within,within_delta,within_ratio,between_before,between,between_delta,between_ratio,total_before,total,total_delta,total_ratio,within_unit_ratio,within_flow,between_flow
SNA,none,0,0,-0.9780319798954562,-0.9780319798954562,0.0,2.628081937627654,2.628081937627654,0.0,1.0,2.2195652233256675,2.2195652233256675,0.0,1.0,4.847647160953332,4.847647160953332,0.0,1.0,1.0,0.0,0.0
SNA,none,0,1,-0.9780319798954562,-0.9817466750896922,-0.003714695194235653,2.628081937627654,2.6242809529753153,-0.003800984652339339,0.998554286763225,2.2195652233256675,2.183736306625876,-0.035828916699791685,0.9839433683539056,4.847647160953332,4.808017259601186,-0.039629901352145225,0.9918763049926593,0.9986671830183323,-0.0038009846523392836,-0.035828916699791734
SNA,none,0,2,-0.9780319798954562,-0.9892536606677944,-0.011221680772338158,2.628081937627654,2.619208411137766,-0.008873526489888203,0.9966279642976074,2.2195652233256675,2.1353008699611506,-0.08426435336451714,0.9622094272045238,4.847647160953332,4.754509281098926,-0.09313787985440547,0.9809109954506742,0.9970367893002285,-0.005072541837548802,-0.04843543666472525
SNA,none,0,3,-0.9780319798954562,-0.9970620042686551,-0.019030024373198794,2.628081937627654,2.613603897815685,-0.014478039811969058,0.994508575095597,2.2195652233256675,2.084013801764613,-0.13555142156105437,0.9390126307459203,4.847647160953332,4.697617699580299,-0.15002946137303316,0.9692114761724523,0.9953983000700656,-0.005604513322080805,-0.05128706819653736
SNA,none,0,4,-0.9780319798954562,-1.002637337582855,-0.024605357687398532,2.628081937627654,2.608607028011268,-0.0194749096163861,0.992630285794994,2.2195652233256675,2.041668860746209,-0.17789636257945843,0.9198677818259667,4.847647160953332,4.650275888757478,-0.1973712721958543,0.9594788198428719,0.9942282588580291,-0.004996869804416942,-0.04234494101840416
SNA,none,0,5,-0.9780319798954562,-1.006554241144926,-0.028522261249469626,2.628081937627654,2.605853065610231,-0.02222887201742327,0.9916178737400202,2.2195652233256675,2.013595498797116,-0.20596972452855106,0.9072129282296278,4.847647160953332,4.619448564407354,-0.22819859654597757,0.9531804485762951,0.9940197367619564,-0.002753962401037171,-0.028073361949092338
SNA,none,0,6,-0.9780319798954562,-1.011100582676161,-0.03306860278070447,2.628081937627654,2.6053158886806567,-0.022766048946997408,0.9914373709639029,2.2195652233256675,1.9952284053561797,-0.22433681796948718,0.8991332196415853,4.847647160953332,4.600544294036844,-0.24710286691648745,0.9493622863551432,0.9946686516085548,-0.0005371769295740736,-0.018367093440936167
SNA,none,0,7,-0.9780319798954562,-1.0158500089090394,-0.037818029013583096,2.628081937627654,2.6062341297441343,-0.02184780788351995,0.9918098867224946,2.2195652233256675,1.981004856263195,-0.2385603670624722,0.8929919510714427,4.847647160953332,4.587238986007333,-0.2604081749459987,0.9467027007833217,0.9959100604854355,0.000918241063477363,-0.014223549092985207
SNA,none,0,8,-0.9780319798954562,-1.021013843278326,-0.04298186338286961,2.628081937627654,2.60961704204588,-0.018464895581773513,0.9931169403927704,2.2195652233256675,1.9759607511638213,-0.2436044721618458,0.8912637139128762,4.847647160953332,4.585577793209697,-0.2620693677436364,0.946524603136648,0.9980572269399461,0.003382912301746484,-0.005044105099373479
SNA,none,0,9,-0.9780319798954562,-1.0258920249874666,-0.04786004509201031,2.628081937627654,2.613990208741888,-0.014091728885765832,0.9948063777393725,2.2195652233256675,1.969481800871712,-0.25008342245395554,0.8889227930893872,4.847647160953332,4.583472009613611,-0.2641751513397218,0.9462666962404825,1.0005841466497867,0.004373166696007511,-0.006478950292109396
