arm,iv,window,neg_localup_actualdown,neg_localup_currentdown,local_actual_opposed,n_negative,n_neg_local_up,n_up_actualdown,n_up_currentdown,n_boundaries
LR,l2,1-20,0.5814690600271564,0.3336929398067867,0.3900888157894737,409398.0,194813.0,114331.0,64474.0,19.0
LR,l2,1-5,0.49884504452237105,0.39237590237185,0.3699407894736842,96507.0,46810.0,22476.0,17327.0,19.0
LR,l2,11-15,0.6380185018727967,0.3130755524671291,0.39936842105263165,104839.0,49381.0,31845.0,15216.0,19.0
LR,l2,16-20,0.5759440604993267,0.315250840903839,0.40065131578947366,105987.0,50273.0,29611.0,15771.0,19.0
LR,l2,6-10,0.6133822353240446,0.3265994307139036,0.3960486146294602,102065.0,48349.0,29726.0,16140.0,19.0
LR,none,1-20,0.3792865173290936,0.3274743166403592,0.3908388157894737,528582.0,275696.0,104510.0,91066.0,19.0
LR,none,1-5,0.3465525368314252,0.31395523009524556,0.36646052631578946,131498.0,69632.0,24229.0,21885.0,19.0
LR,none,11-15,0.37469405131325,0.32444858173118224,0.39300910146663076,132501.0,69224.0,25906.0,22326.0,19.0
LR,none,16-20,0.4023180351921358,0.3670087853362112,0.39737500000000003,132431.0,67163.0,27318.0,24580.0,19.0
LR,none,6-10,0.3872854934424234,0.3135930767767218,0.4055723684210526,132152.0,69677.0,26890.0,21933.0,19.0
SNA,l2,1-20,0.5337159547227812,0.3234457343470304,0.3878902676877246,396222.0,192890.0,102913.0,62322.0,19.0
SNA,l2,1-5,0.4244657345845086,0.33556125425641636,0.36362156222412295,93448.0,47717.0,20468.0,15996.0,19.0
SNA,l2,11-15,0.601080004630002,0.3239825939311646,0.39288932527316967,100143.0,47216.0,27885.0,15003.0,19.0
SNA,l2,16-20,0.5564962560514927,0.3268528180096546,0.4037795768058974,101837.0,47746.0,26607.0,15779.0,19.0
SNA,l2,6-10,0.5640080793600253,0.3142761056506967,0.39084909513505695,99111.0,47933.0,27274.0,14848.0,19.0
SNA,none,1-20,0.4599298816630732,0.3863076385275185,0.4119632681738528,440561.0,222646.0,100314.0,85551.0,19.0
SNA,none,1-5,0.3807317973087566,0.3566599500331297,0.37722436920750313,108128.0,57117.0,21558.0,20353.0,19.0
SNA,none,11-15,0.4938736909493552,0.408842665410504,0.41990456463446096,111025.0,55371.0,26691.0,21802.0,19.0
SNA,none,16-20,0.5198151184300892,0.40366258643846725,0.4294039927291444,111568.0,54371.0,27911.0,22005.0,19.0
SNA,none,6-10,0.4481704113738024,0.3793614032082846,0.4189867498304847,109840.0,55787.0,24939.0,21268.0,19.0
