arm,iv,seed,receiver,step,n_per_boundary,pos,pos_equalunit,neg,neg_equalunit,l2,l2_equalunit,pre,pre_equalunit,actual,actual_equalunit,rounding,rounding_equalunit,fraction_down_at20
SNA,none,0,positive,1,16010.0,-0.017520418135675855,-0.009563100411852633,0.0018101609387923493,0.004099046252992451,0.0,0.0,0.0001702975999439743,0.00021483507201148735,-0.015539961309276432,-0.005249220281077533,-1.7123369007613996e-09,-1.1942288397454278e-09,0.6537892438994362
SNA,none,0,positive,2,16010.0,-0.046729453019968566,-0.025849145136607955,0.004682325001701569,0.010271014997837303,0.0,0.0,0.00031831791168595094,0.0004049385087858139,-0.04172881188293952,-0.015173192249404987,-1.7763584629955494e-09,-6.194201433371556e-10,0.6537892438994362
SNA,none,0,positive,3,16010.0,-0.08225577373288095,-0.04553227353563055,0.008959209965217173,0.01883203738811524,0.0,0.0,0.000444620941549922,0.0005706624051153868,-0.07285194448870888,-0.026129573467927734,-1.6625950234987113e-09,2.74472180817326e-10,0.6537892438994362
SNA,none,0,positive,4,16010.0,-0.11835626808934233,-0.06546133925188678,0.014461532158735186,0.029290539818913795,0.0,0.0,0.000555966660874685,0.0007182549099221967,-0.10333877128530053,-0.035452543969925115,-2.015568058857195e-09,5.531256554412524e-10,0.6537892438994362
SNA,none,0,positive,5,16010.0,-0.15310892401549192,-0.0846845318007083,0.02097741001297534,0.040613563203466964,0.0,0.0,0.0006560132447335918,0.000850541847994436,-0.1314755022680195,-0.04322042565071188,-1.5102364771150823e-09,1.0985350249459569e-09,0.6537892438994362
SNA,none,0,positive,6,16010.0,-0.1883265279420621,-0.10430797373639879,0.027510542885309117,0.0518509705097757,0.0,0.0,0.0007469487951789116,0.0009698817026968987,-0.16006903720637158,-0.051487119624100706,-9.447975091241915e-10,1.8998254722027604e-09,0.6537892438994362
SNA,none,0,positive,7,16010.0,-0.22393680141419273,-0.12436849790381684,0.034603071142214566,0.06344120754261928,0.0,0.0,0.0008265669395670404,0.001075461334098515,-0.18850716322673486,-0.05985182617812304,1.0567627426327586e-10,2.8489759616571455e-09,0.6537892438994362
SNA,none,0,positive,8,16010.0,-0.2578503721433342,-0.14378737637909964,0.041991908976460136,0.07432584359824489,0.0,0.0,0.0008974694514212092,0.0011698936953491365,-0.2149609908019693,-0.06829163517630593,2.9134835510998202e-09,3.909199680192088e-09,0.6537892438994362
SNA,none,0,positive,9,16010.0,-0.2917858133406486,-0.16335955001889593,0.049845129178448425,0.08569440502991477,0.0,0.0,0.0009592068656904363,0.0012535644566126294,-0.24098147058468164,-0.07641157514591419,6.711828155131351e-09,5.386454320090685e-09,0.6537892438994362
SNA,none,0,positive,10,16010.0,-0.3232886786900327,-0.18198502764014862,0.058095415674860436,0.0970945535628367,0.0,0.0,0.0010139243968084843,0.0013282902108930216,-0.2641793297344293,-0.08356217784457479,8.883934433334291e-09,6.021844111563181e-09,0.6537892438994362
SNA,none,0,positive,11,16010.0,-0.354992885572931,-0.2014464049986118,0.06626461914254096,0.10795665162437,0.0,0.0,0.001062991176393799,0.001395356747807593,-0.28766526179836527,-0.09209438796742513,1.3455630946666676e-08,8.65900908396269e-09,0.6537892438994362
SNA,none,0,positive,12,16010.0,-0.3877878988982019,-0.22229969279888082,0.07426142383793713,0.11839990572847323,0.0,0.0,0.0011067578910141224,0.0014555776010441088,-0.31241970223764054,-0.10244420043022973,1.4931610093599446e-08,9.039133693771911e-09,0.6537892438994362
SNA,none,0,positive,13,16010.0,-0.41731967640597273,-0.24131171995789505,0.08212072876341871,0.12825474362586195,0.0,0.0,0.0011456877458000492,0.0015094876390065533,-0.33405324275976117,-0.11154747958907305,1.7136992773287417e-08,9.103953519870415e-09,0.6537892438994362
SNA,none,0,positive,14,16010.0,-0.4470539836895657,-0.26069176610068306,0.08941527723538685,0.1375596105021811,0.0,0.0,0.0011806724417258877,0.0015579094171451228,-0.3564580153465439,-0.12157423723948506,1.8665908995814414e-08,8.941871790378452e-09,0.6537892438994362
SNA,none,0,positive,15,16010.0,-0.4762260338773808,-0.2798042897141927,0.09647294166914162,0.14655287270088066,0.0,0.0,0.0012117917712043947,0.0016011467989991088,-0.37854127898820916,-0.13165026052025033,2.144882562532026e-08,9.69406246970441e-09,0.6537892438994362
