arm,iv,step,pos,neg,l2,pre,actual,rounding
LR,l2,1,-0.010966838148133987,0.0002828543676785481,2.262219822845401e-05,-1.0892046074118431e-05,-0.011013610118941863,-4.6432200545867144e-10
LR,l2,5,-0.08659562274314658,0.004665639775773386,0.00031394272358679486,-5.487487680161715e-05,-0.08173576298328473,-2.0360827903962796e-09
LR,l2,10,-0.16674330882427627,0.005464876193378823,0.0010693600037653846,-0.00010552870215191468,-0.16265210836913943,2.8724646502826423e-09
LR,l2,20,-0.24692516890277322,-0.0006565709359123067,0.003616954918890497,-0.00017453690398475224,-0.2486065191078245,2.3416671195102245e-08
LR,none,1,-0.004664843205538536,0.0035748463918421334,0.0,1.9268409975647205e-06,-0.0013906359492248735,1.063783750525285e-09
LR,none,5,-0.05409626446261215,0.03844654207072927,0.0,7.205459245020444e-06,-0.016895826461639795,-6.616991605548236e-12
LR,none,10,-0.12585670391263123,0.11455003379277992,0.0,7.704112725374488e-06,-0.010207279230130437,6.751072220628424e-10
LR,none,20,-0.23470615504529255,0.24434585600544473,0.0,6.842965658233964e-07,0.011105917630966475,3.734937763477132e-09
SNA,l2,1,-0.009276750964545024,0.003250515667606486,1.4001888028496485e-05,7.284809724913278e-05,-0.007048865951970557,-1.8165290425238716e-10
SNA,l2,5,-0.06888830702109755,0.030582850218505646,0.000191084837257016,0.0002660651376295288,-0.04614723997122597,-6.759742788468444e-10
SNA,l2,10,-0.15475302450933057,0.059365698821584226,0.0006417120803389958,0.00039437946804733644,-0.09363088740896747,1.7376719503845059e-09
SNA,l2,20,-0.251562862814761,0.06510012157416452,0.0021637964003488213,0.0004982576537091838,-0.16972530721083043,1.4637328573432925e-08
SNA,none,1,-0.009364585751097545,0.005416679466638101,0.0,-4.4134033979281975e-05,-0.003714695194235673,4.73337082239843e-11
SNA,none,5,-0.08323771810780556,0.05794764027136554,0.0,-0.00019240962573676556,-0.02852226124946966,1.296309988629624e-09
SNA,none,10,-0.1801838712996742,0.13646764897374605,0.0,-0.00031566401372147654,-0.052021401393635085,3.6870856471932705e-09
SNA,none,20,-0.3745830563419182,0.23851344667661997,0.0,-0.00042869500549017915,-0.1353040092168643,9.84863393372667e-09
