model,direction,condition,n_total,n_valid_all3,n_failed,target_self_residual_q25,target_self_residual_median,target_self_residual_q75,total_self_residual_q25,total_self_residual_median,total_self_residual_q75,target_z_residual_q25,target_z_residual_median,target_z_residual_q75,prediction_residual_q25,prediction_residual_median,prediction_residual_q75,target_v_norm_ratio_q25,target_v_norm_ratio_median,target_v_norm_ratio_q75
leaky100,plus,pulse,10,10,0,0.012576211776539923,0.09775333307718309,0.18152575741201052,0.012417892061649321,0.12382095853608792,0.20093410665265363,0.48376520640051734,0.7506510507315891,0.9271335592793919,0.002294088330885347,0.003885283336774081,0.008021314230270684,0.33424374670101376,0.4276947036743375,0.4641409619351675
leaky100,plus,alonec,10,10,0,0.026014881215119072,0.03900398673605218,0.0567472423383062,0.026014881215119072,0.039003986736052175,0.056747242338306206,0.8489440426466887,0.9508250368174905,0.9876283589298543,0.014761834651861552,0.028963535744391426,0.04468950042136027,0.17163420232839882,0.22267646027624732,0.2685005662565822
leaky100,plus,alone,10,10,0,0.025613396336662365,0.044814485628882475,0.06893316756897923,0.02561339633666237,0.044814485628882475,0.06893316756897924,0.8515831727944523,0.9593791569647161,0.9869799302914799,0.015198496068019023,0.024282031372440414,0.04515817421674889,0.18435141398361976,0.24349225104512467,0.3186978881551621
leaky100,minus,pulse,10,10,0,0.9216314000823456,0.9731126159712187,0.9968210221481524,0.7103175312404726,0.823119490090501,1.1586953028186335,0.9969820004165956,0.998960207211589,0.999833401813526,0.0063183798998211705,0.014301257571411999,0.029066077221247592,0.971173759372585,0.9841750107078129,0.996225624741303
leaky100,minus,alonec,10,10,0,0.9589026184864651,1.1783867368267589,1.323934555199543,0.9589026184864656,1.1783867368267589,1.3239345551995427,0.9793001111168581,0.9976683153907207,0.9995978149524197,0.0752438028018599,0.235547172127329,0.3860873895460891,1.0142810933053177,1.1091741787268847,1.155575202096162
leaky100,minus,alone,10,10,0,1.011722000548208,1.198900868008331,1.3565213283139654,1.0117220005482084,1.1989008680083306,1.3565213283139657,0.9862675295785815,0.9976273175660995,0.9995363267531032,0.08537313359086156,0.2403885736016712,0.3971407633268791,1.0421419155583767,1.110782170650857,1.1744802980452878
elu100,plus,pulse,10,10,0,0.007858355316479639,0.015376592128567585,0.06170903567833683,0.031048062079219157,0.05736356320450518,0.1624992495410307,0.7312602373297961,0.8951018184937523,1.4057956299766463,0.0036986372531774016,0.007041155868016147,0.011142188579570056,4.946736619831993,14.443233094351761,16.19897657340648
elu100,plus,alonec,10,10,0,0.0024948759078243475,0.0038326620594928496,0.015595980987316344,0.002494875907824337,0.0038326620594928535,0.015595980987316339,0.7269354941448399,0.8088048368455812,0.93509265424807,0.01708881657043,0.034625182867709575,0.042070931005019095,0.272198335293038,1.4634299802433075,2.6127422605222828
elu100,plus,alone,10,10,0,0.0034336004370723355,0.007948401213591447,0.012133314907923421,0.0034336004370723403,0.007948401213591437,0.012133314907923418,0.7758069290858581,0.8520147228247003,0.9534358748698046,0.025273353332588133,0.03653725674965982,0.04463073022570057,0.23153270696548767,0.6552684403167169,2.31836505548826
elu100,minus,pulse,10,10,0,0.9344754157240188,0.9990596470519852,1.0011933004725977,1.1994329267874544,3.268990031393825,9.371458821695757,0.9996572917133941,0.9999991761881077,1.0000565158515107,0.05105807762776581,0.0802374724301851,0.11141776254380915,0.997322879873367,0.9991417955639554,1.000225375674324
elu100,minus,alonec,10,10,0,0.9948329194905051,1.0017474779791269,1.026552291499421,0.994832919490507,1.001747477979129,1.0265522914994225,0.9994664346533175,0.9999700733279349,1.000008960506828,0.8865599346119089,0.9449143292322437,0.994346211339605,0.9518414797485546,0.9984818315896498,0.9997074585820945
