model,direction,condition,n_total,n_valid_all3,n_failed,target_self_residual_q25,target_self_residual_median,target_self_residual_q75,total_self_residual_q25,total_self_residual_median,total_self_residual_q75,target_z_residual_q25,target_z_residual_median,target_z_residual_q75,prediction_residual_q25,prediction_residual_median,prediction_residual_q75,target_v_norm_ratio_q25,target_v_norm_ratio_median,target_v_norm_ratio_q75
elu100,minus,alone,10,10,0,0.9949875074800903,1.001718137924291,1.0320772762071295,0.9949875074800902,1.0017181379242923,1.0320772762071349,0.9993664727843503,0.9999781019190488,0.9999945808125119,0.8877149699917342,0.9448852099124776,0.9943479945322901,0.9428008869911808,0.9983788564702625,0.9996483519116103
snake075,plus,pulse,20,19,1,0.11290514796675724,0.3782869537820263,0.942999916754717,0.2901372454882788,0.8115909301124485,1.4209870876692348,0.8094481210728808,0.8961942997972314,0.9338646358881629,0.025088812459105624,0.034712752486426135,0.04315492800360113,0.47016754140239503,0.7363522117373457,0.9537369810726972
snake075,plus,alonec,20,19,1,0.1955497128479945,0.3251089204460264,0.49914284486690297,0.19554971284799427,0.3251089204460264,0.49914284486690297,0.4303796196355343,0.5381123852272519,0.7427585837139854,0.02311560764740561,0.03786597096433674,0.04440682893692106,0.7087783786845159,0.8319801737752648,0.9115020982766342
snake075,plus,alone,20,19,1,0.02407862358768731,0.11789054181483381,0.27084653934364833,0.024078623587687416,0.11789054181483363,0.27084653934364833,0.13167391840545442,0.7562988457934456,1.2139591446475788,0.09346873924510514,0.2355093518966178,0.2754400962124217,0.1693682939926745,0.25359415115571354,0.7961272435136932
snake075,minus,pulse,20,20,0,0.09578165950253262,0.31813658821219043,0.7925989470603525,0.29605222022636857,0.7402612654558467,1.1712564264352348,0.6844382282399982,0.8638619315527049,0.967861180557209,0.02282723360191086,0.03213060924808135,0.03577985870560888,0.4635505984916838,0.5579228980762385,0.851875296770643
snake075,minus,alonec,20,20,0,0.1418803622361418,0.3367391851229794,0.44883913021876987,0.14188036223614178,0.3367391851229795,0.44883913021876964,0.4126137597795362,0.5793312613417826,0.8624646593573386,0.029838381239909437,0.03855626275731846,0.0699717523438368,0.667730306452488,0.7568911234059867,0.8529351507810171
snake075,minus,alone,20,20,0,0.018647027270184083,0.05946998460576099,0.1833224145610466,0.01864702727018407,0.05946998460576107,0.18332241456104642,0.01550522279127981,0.2757376672179165,1.0264331175746177,0.04256877500105456,0.10418094914096959,0.2516637969661225,0.24948692799469183,0.5394517416843623,0.8540346902909699
snake1,plus,pulse,20,20,0,0.0973921205368891,0.27653189656179644,0.6727443480453495,0.15284512647376425,0.7616057125615543,2.010840649051535,0.7856029327886714,0.8464814897490731,0.9373096347026887,0.020167908392839815,0.02347053337279421,0.028002858551650727,0.47853427178819696,0.5655848363589202,0.7019056300800541
snake1,plus,alonec,20,20,0,0.18571801225503728,0.24553813091921298,0.3964931520147353,0.1857180122550373,0.245538130919213,0.39649315201473523,0.4301191838906576,0.6135192437372281,0.7795341603180224,0.022664753085995352,0.03399718817491068,0.05807138426657428,0.5891804730004537,0.8043670272492185,0.8934421038676474
snake1,plus,alone,20,20,0,0.02467389614328768,0.08492895468341347,0.2709199920473702,0.024673896143287626,0.08492895468341345,0.2709199920473702,0.037912147187859534,0.6788588448649377,1.1676677411785437,0.04652014554056466,0.11080576976188564,0.2008104438010469,0.20618972686326173,0.33723040763678586,0.848121969514381
snake1,minus,pulse,20,20,0,0.3302832258031567,0.46519937439655656,0.7018532029490868,0.2534275972412341,0.819766696149184,1.9373969438796768,0.8004507193312494,0.8549063174989386,0.9514085060671107,0.014984951667890389,0.01895934591022415,0.028640602844304367,0.534830004359105,0.6370940756704062,0.9126313467170439
snake1,minus,alonec,20,20,0,0.20986495246720974,0.32496886465475305,0.4015188942923307,0.20986495246720965,0.32496886465475305,0.40151889429233045,0.3718471899333452,0.5559274723768481,0.788692642489515,0.02247351409063724,0.031407603308343926,0.056600876887109,0.6584357758561674,0.761742802456181,0.8683793897423879
snake1,minus,alone,20,20,0,0.051012803726947324,0.16739171348267495,0.291623921595614,0.051012803726947345,0.16739171348267495,0.291623921595614,0.1787398081370587,1.0814579014600083,1.4224853874668475,0.044399232635696305,0.18189975158509725,0.24598647928531286,0.15759845057953686,0.28353537887291613,0.6651204268424371
