model,direction,comparison,seed,valid,target_self_residual_difference
leaky100,plus,alonec-pulse,0,True,-0.0004379826616808351
leaky100,plus,alonec-pulse,1,True,-0.2236319455038962
leaky100,plus,alonec-pulse,2,True,-0.005359979643270224
leaky100,plus,alonec-pulse,3,True,-0.19663637837607356
leaky100,plus,alonec-pulse,4,True,-0.028664698872352484
leaky100,plus,alonec-pulse,5,True,-0.1226340120534829
leaky100,plus,alonec-pulse,6,True,-0.14192897338988708
leaky100,plus,alonec-pulse,7,True,0.00788654836480705
leaky100,plus,alonec-pulse,8,True,-0.009542493012343278
leaky100,plus,alonec-pulse,9,True,0.05683799041605706
leaky100,plus,alone-pulse,0,True,0.0005270331532416612
leaky100,plus,alone-pulse,1,True,-0.18341306115578893
leaky100,plus,alone-pulse,2,True,-0.009232790042341215
leaky100,plus,alone-pulse,3,True,-0.17524558812771956
leaky100,plus,alone-pulse,4,True,0.019288875307770514
leaky100,plus,alone-pulse,5,True,-0.12308665651811551
leaky100,plus,alone-pulse,6,True,-0.14145048029851934
leaky100,plus,alone-pulse,7,True,0.0075021166817423116
leaky100,plus,alone-pulse,8,True,0.0016000116819495785
leaky100,plus,alone-pulse,9,True,0.057091010463056646
leaky100,minus,alonec-pulse,0,True,0.2165234802397058
leaky100,minus,alonec-pulse,1,True,0.24894685996908195
leaky100,minus,alonec-pulse,2,True,0.11707842339521979
leaky100,minus,alonec-pulse,3,True,-0.027484718243052875
leaky100,minus,alonec-pulse,4,True,0.11497331947114164
leaky100,minus,alonec-pulse,5,True,-0.04000968577214992
leaky100,minus,alonec-pulse,6,True,0.16270896555287573
leaky100,minus,alonec-pulse,7,True,0.3553848946182716
leaky100,minus,alonec-pulse,8,True,0.4976110235963318
leaky100,minus,alonec-pulse,9,True,0.849847766598218
leaky100,minus,alone-pulse,0,True,0.29089483878810274
leaky100,minus,alone-pulse,1,True,0.22457613967794365
leaky100,minus,alone-pulse,2,True,0.12207399060060697
leaky100,minus,alone-pulse,3,True,-0.07173007303805112
leaky100,minus,alone-pulse,4,True,0.20061694518049233
leaky100,minus,alone-pulse,5,True,-0.04081584756604717
leaky100,minus,alone-pulse,6,True,0.19392250159968194
leaky100,minus,alone-pulse,7,True,0.38543862145719476
leaky100,minus,alone-pulse,8,True,0.4797463917701681
leaky100,minus,alone-pulse,9,True,0.8704876140575706
elu100,plus,alonec-pulse,0,True,-0.07526744831231275
elu100,plus,alonec-pulse,1,True,-0.005309910296142355
elu100,plus,alonec-pulse,2,True,0.06948441159978655
elu100,plus,alonec-pulse,3,True,-0.15029358770217022
elu100,plus,alonec-pulse,4,True,-0.05846587299581283
elu100,plus,alonec-pulse,5,True,-0.007205527315021229
elu100,plus,alonec-pulse,6,True,0.014084123595467079
elu100,plus,alonec-pulse,7,True,1.511685369915233
elu100,plus,alonec-pulse,8,True,-0.05493965086710075
elu100,plus,alonec-pulse,9,True,9.029704655525795e-05
elu100,plus,alone-pulse,0,True,-0.07928691217879244
elu100,plus,alone-pulse,1,True,0.004253102724551943
elu100,plus,alone-pulse,2,True,0.07298410881542904
elu100,plus,alone-pulse,3,True,-0.151850573923764
elu100,plus,alone-pulse,4,True,-0.057156083957424865
elu100,plus,alone-pulse,5,True,-0.010267531412843464
elu100,plus,alone-pulse,6,True,0.010444040188977039
elu100,plus,alone-pulse,7,True,2.089122384158423
elu100,plus,alone-pulse,8,True,-0.05522622771233168
elu100,plus,alone-pulse,9,True,0.0029827359021859213
elu100,minus,alonec-pulse,0,True,-0.005058880803649468
elu100,minus,alonec-pulse,1,True,0.16023752120797397
elu100,minus,alonec-pulse,2,True,0.003842563791081055
elu100,minus,alonec-pulse,3,True,5.342769626617633
elu100,minus,alonec-pulse,4,True,0.0204801964701522
elu100,minus,alonec-pulse,5,True,-0.08609568755183605
elu100,minus,alonec-pulse,6,True,-1.1729741889565659e-05
elu100,minus,alonec-pulse,7,True,0.0720077795587738
elu100,minus,alonec-pulse,8,True,0.00017027816306081078
elu100,minus,alonec-pulse,9,True,-0.000511170266348504
elu100,minus,alone-pulse,0,True,-0.004854532525994104
elu100,minus,alone-pulse,1,True,0.16416903160692675
elu100,minus,alone-pulse,2,True,0.003608958672930429
elu100,minus,alone-pulse,3,True,5.46360708800552
elu100,minus,alone-pulse,4,True,0.02792471111981376
elu100,minus,alone-pulse,5,True,-0.0853609376860851
elu100,minus,alone-pulse,6,True,-6.422616514845103e-06
elu100,minus,alone-pulse,7,True,0.07031364771133997
elu100,minus,alone-pulse,8,True,9.655883294357182e-05
elu100,minus,alone-pulse,9,True,-0.0004961310459030699
snake075,plus,alonec-pulse,0,True,-0.9674578085711659
snake075,plus,alonec-pulse,1,False,0.01949733732820813
snake075,plus,alonec-pulse,2,True,-1.19838270651887
snake075,plus,alonec-pulse,3,True,-0.3355100357962796
snake075,plus,alonec-pulse,4,True,-0.3013887090042243
snake075,plus,alonec-pulse,5,True,-0.2596754950465957
snake075,plus,alonec-pulse,6,True,0.07759771606087365
snake075,plus,alonec-pulse,7,True,-0.20464671172449944
snake075,plus,alonec-pulse,8,True,-1.1348454666007517
snake075,plus,alonec-pulse,9,True,-0.5067112967774225
snake075,plus,alonec-pulse,10,True,0.15094747131083402
snake075,plus,alonec-pulse,11,True,0.252216857809752
snake075,plus,alonec-pulse,12,True,0.1299946298594458
snake075,plus,alonec-pulse,13,True,0.09256247096958295
snake075,plus,alonec-pulse,14,True,0.05836920605411475
snake075,plus,alonec-pulse,15,True,0.16007887496190526
snake075,plus,alonec-pulse,16,True,-0.6317890711220326
snake075,plus,alonec-pulse,17,True,-0.18417293239225313
snake075,plus,alonec-pulse,18,True,0.14830651868213818
snake075,plus,alonec-pulse,19,True,0.10302027689801788
snake075,plus,alone-pulse,0,True,-1.4605640826960093
snake075,plus,alone-pulse,1,False,0.01898999206860852
snake075,plus,alone-pulse,2,True,-0.7822770267648167
snake075,plus,alone-pulse,3,True,-0.5727643974347758
snake075,plus,alone-pulse,4,True,-0.5605461360357387
snake075,plus,alone-pulse,5,True,-0.4862650602339682
snake075,plus,alone-pulse,6,True,0.018800042335017367
snake075,plus,alone-pulse,7,True,-0.010418158449646886
snake075,plus,alone-pulse,8,True,-1.1481955759258173
snake075,plus,alone-pulse,9,True,-0.8385252687180105
snake075,plus,alone-pulse,10,True,-0.008403812015431493
snake075,plus,alone-pulse,11,True,-0.03159190618163004
snake075,plus,alone-pulse,12,True,-0.11320887291628114
snake075,plus,alone-pulse,13,True,0.10187402642345358
snake075,plus,alone-pulse,14,True,0.027762978116453937
snake075,plus,alone-pulse,15,True,-0.1351075727831615
snake075,plus,alone-pulse,16,True,-1.0177605654281516
snake075,plus,alone-pulse,17,True,-0.36686285554775444
snake075,plus,alone-pulse,18,True,-0.14652450298446723
snake075,plus,alone-pulse,19,True,-0.021591428981998714
