seed,eps,start,end,n,end_inside,end_below_minus1,end_below_minus5,never_left,mean_full_W_growth,mean_abs_v_start,mean_abs_v_end
0,0.05,20,500,42,12,27,18,0,3.9802908873227434,0.022723169554886964,0.2991011877034214
0,0.05,20,1500,42,10,32,19,0,4.515687655237846,0.022723169554886964,0.2900248465560069
0,0.05,100,500,29,16,11,9,0,2.979761914165069,0.016054221920685136,0.2100326821593375
0,0.05,100,1500,29,14,15,12,0,3.9032754768431976,0.016054221920685136,0.2438868859125768
0,0.1,20,500,55,20,33,23,2,3.733441467576771,0.0297332482928389,0.2710898997008123
0,0.1,20,1500,55,17,38,24,1,4.155746650463399,0.0297332482928389,0.2486894807832827
0,0.1,100,500,37,19,17,11,5,3.3259909476591063,0.020305742221771162,0.24046320685915448
0,0.1,100,1500,37,16,21,13,4,4.051844306684015,0.020305742221771162,0.24056093951223892
0,0.2,20,500,64,21,41,29,6,3.933125727144048,0.03725641142295899,0.261579199534026
0,0.2,20,1500,64,17,47,30,5,4.302483680101478,0.03725641142295899,0.264807410986716
0,0.2,100,500,41,20,20,13,9,3.4128035802203804,0.01988913850978062,0.24657673403484429
0,0.2,100,1500,41,17,24,14,7,4.0311558155130935,0.01988913850978062,0.2204328158250674
1,0.05,20,500,47,12,35,20,0,4.097222505964448,0.022787240237410012,0.28068483934622873
1,0.05,20,1500,47,13,31,24,0,4.220853318510589,0.022787240237410012,0.21908997734367694
1,0.05,100,500,33,16,17,6,0,3.1357523115758066,0.04476782496115475,0.1841679968344
1,0.05,100,1500,33,18,14,10,0,3.1981946886189063,0.04476782496115475,0.14147702600673778
1,0.1,20,500,60,14,46,29,4,4.302753414943109,0.02217239399627336,0.28224073249663584
1,0.1,20,1500,60,16,40,32,3,4.366424373420244,0.02217239399627336,0.22884106071008622
1,0.1,100,500,33,16,17,6,7,3.1357523115758066,0.04476782496115475,0.1841679968344
1,0.1,100,1500,33,18,14,10,5,3.1981946886189063,0.04476782496115475,0.14147702600673778
1,0.2,20,500,69,16,53,36,11,4.360553361690739,0.028598432386217242,0.2731742322881157
1,0.2,20,1500,69,18,47,37,8,4.4086930778797635,0.028598432386217242,0.23211866843463952
1,0.2,100,500,36,16,20,9,11,3.481735103117496,0.053060835822381906,0.21577085254072395
1,0.2,100,1500,36,18,17,12,8,3.6098539469541433,0.053060835822381906,0.14569575211842473
2,0.05,20,500,38,9,27,15,0,3.518458541997299,0.06170894214454548,0.3675991275694718
2,0.05,20,1500,38,11,27,17,0,3.6066629355277446,0.06170894214454548,0.18527598313946664
2,0.05,100,500,30,17,11,2,0,2.093096278813693,0.03134949522597405,0.17362981635475686
2,0.05,100,1500,30,17,13,4,0,2.541250116834024,0.03134949522597405,0.13433082012549372
2,0.1,20,500,53,14,37,22,1,3.383813127384991,0.07073949815107966,0.33698261107229144
2,0.1,20,1500,53,16,37,23,1,3.441320166053238,0.07073949815107966,0.1824378122841634
2,0.1,100,500,37,18,17,5,6,2.508205544481288,0.045921157883492776,0.23561800725253085
2,0.1,100,1500,37,18,19,7,6,2.892512143834601,0.045921157883492776,0.14315761526823562
2,0.2,20,500,68,18,49,28,13,3.5227600357591107,0.06493359723005115,0.29991488686487977
2,0.2,20,1500,68,19,49,31,13,3.5889047136470476,0.06493359723005115,0.20846579023744946
2,0.2,100,500,38,19,18,6,15,2.6149375700301043,0.04859075042278212,0.24935413731260556
2,0.2,100,1500,38,18,20,7,15,2.984223434035612,0.04859075042278212,0.14693435263602864
3,0.05,20,500,57,16,40,27,0,3.9495014526695345,0.03947701901626332,0.26162327256200735
3,0.05,20,1500,57,17,38,28,0,4.248064418553531,0.03947701901626332,0.19595654360362683
3,0.05,100,500,37,16,20,13,2,3.870427001303399,0.00972712691480017,0.18681459640454803
3,0.05,100,1500,37,16,20,12,1,4.292916844788491,0.00972712691480017,0.14685630346674944
3,0.1,20,500,60,16,43,29,1,4.0356797216762805,0.04685819479733861,0.27380689909138406
3,0.1,20,1500,60,17,41,30,1,4.312256187418801,0.04685819479733861,0.20333390309724564
3,0.1,100,500,38,16,21,14,4,3.941326029421775,0.01060573175460664,0.1902043912375934
3,0.1,100,1500,38,16,21,13,4,4.3879008503269405,0.01060573175460664,0.14756583335565665
3,0.2,20,500,64,17,47,33,7,4.086825855455242,0.06733902597716224,0.2686916295097035
3,0.2,20,1500,64,18,45,34,6,4.330679283461105,0.06733902597716224,0.20233146804909552
3,0.2,100,500,38,17,21,14,10,3.941326029421775,0.01060573175460664,0.1902043912375934
3,0.2,100,1500,38,16,21,13,9,4.3879008503269405,0.01060573175460664,0.14756583335565665
4,0.05,20,500,59,19,39,29,0,4.047032979207446,0.029571705908954568,0.29443546170881807
4,0.05,20,1500,59,16,41,30,0,4.481300109758027,0.029571705908954568,0.231719691771906
4,0.05,100,500,25,16,8,4,2,2.2595073615693253,0.018909260239452122,0.16221188236493617
4,0.05,100,1500,25,14,10,6,0,2.7840253705313076,0.018909260239452122,0.115844725952702
4,0.1,20,500,65,19,45,34,2,4.196247930819225,0.044141698829928196,0.3081898173550144
4,0.1,20,1500,65,16,47,35,0,4.570700530199554,0.044141698829928196,0.22273712180759994
4,0.1,100,500,32,18,13,8,5,2.715396302928051,0.025434009337914176,0.22290831042846548
4,0.1,100,1500,32,15,16,11,0,3.4763471598236606,0.025434009337914176,0.16627869242873317
4,0.2,20,500,68,19,48,37,11,4.211097678972888,0.05468234647239168,0.29942477396723594
4,0.2,20,1500,68,16,50,38,6,4.54774158417319,0.05468234647239168,0.22525221459654055
4,0.2,100,500,36,19,16,11,13,2.8235571118713514,0.0604461608066534,0.2493400616319074
4,0.2,100,1500,36,16,19,14,6,3.598556542271104,0.0604461608066534,0.1718987121775323
5,0.05,20,500,25,8,15,9,0,3.19514145917912,0.019880972234532238,0.2683676986116916
5,0.05,20,1500,25,6,18,12,0,4.175652984059087,0.019880972234532238,0.27592643809686707
5,0.05,100,500,39,17,18,14,0,3.1926310109218274,0.039692406226188325,0.22274185502894212
5,0.05,100,1500,39,18,19,9,0,3.448329713523781,0.039692406226188325,0.16693151007952203
5,0.1,20,500,49,19,28,22,0,3.224709551601815,0.02622016375570805,0.21737629655191476
5,0.1,20,1500,49,17,31,22,0,3.673475153819148,0.02622016375570805,0.22844443472398296
5,0.1,100,500,47,20,25,18,3,3.65435748339428,0.0384987160276146,0.24129329103217312
5,0.1,100,1500,47,18,27,15,3,4.123268123662455,0.0384987160276146,0.23201340216030772
5,0.2,20,500,64,20,43,32,9,3.721104682304281,0.03361307146224135,0.23294816376505878
5,0.2,20,1500,64,17,45,29,9,3.9447704969197943,0.03361307146224135,0.25319797154422474
5,0.2,100,500,48,21,26,19,14,3.7005118967423907,0.039853159372190326,0.23663040212310685
5,0.2,100,1500,48,18,28,15,14,4.126105653381145,0.039853159372190326,0.23517471459769013
6,0.05,20,500,45,20,25,15,0,3.174693247417692,0.009514530258214412,0.15437831592506782
6,0.05,20,1500,45,19,26,15,0,3.2066184875835746,0.009514530258214412,0.20090034469063134
6,0.05,100,500,28,17,11,5,0,2.5261019751360867,0.03529704775844168,0.13159128165560624
6,0.05,100,1500,28,16,12,3,0,2.6074715650799734,0.03529704775844168,0.17357005246049084
