seed,eps,task,center_n,below_minus1,below_minus5
0,0.05,0,1,21,0
0,0.05,1,17,4,0
0,0.05,5,21,9,1
0,0.05,20,42,26,13
0,0.05,100,29,58,44
0,0.05,500,19,77,62
0,0.05,1500,19,80,56
0,0.1,0,6,21,0
0,0.1,1,34,4,0
0,0.1,5,40,9,1
0,0.1,20,55,26,13
0,0.1,100,37,58,44
0,0.1,500,20,77,62
0,0.1,1500,19,80,56
0,0.2,0,17,21,0
0,0.2,1,55,4,0
0,0.2,5,64,9,1
0,0.2,20,64,26,13
0,0.2,100,41,58,44
0,0.2,500,21,77,62
0,0.2,1500,19,80,56
1,0.05,0,3,12,0
1,0.05,1,23,8,0
1,0.05,5,22,9,1
1,0.05,20,47,26,12
1,0.05,100,33,57,43
1,0.05,500,16,84,62
1,0.05,1500,18,78,64
1,0.1,0,7,12,0
1,0.1,1,43,8,0
1,0.1,5,43,9,1
1,0.1,20,60,26,12
1,0.1,100,33,57,43
1,0.1,500,16,84,62
1,0.1,1500,18,78,64
1,0.2,0,17,12,0
1,0.2,1,69,8,0
1,0.2,5,70,9,1
1,0.2,20,69,26,12
1,0.2,100,36,57,43
1,0.2,500,16,84,62
1,0.2,1500,18,78,64
2,0.05,0,7,14,0
2,0.05,1,24,5,0
2,0.05,5,24,6,0
2,0.05,20,38,23,3
2,0.05,100,30,55,39
2,0.05,500,18,80,55
2,0.05,1500,19,81,52
2,0.1,0,14,14,0
2,0.1,1,38,5,0
2,0.1,5,42,6,0
2,0.1,20,53,23,3
2,0.1,100,37,55,39
2,0.1,500,18,80,55
2,0.1,1500,19,81,52
2,0.2,0,25,14,0
2,0.2,1,57,5,0
2,0.2,5,66,6,0
2,0.2,20,68,23,3
2,0.2,100,38,55,39
2,0.2,500,19,80,55
2,0.2,1500,19,81,52
3,0.05,0,3,17,0
3,0.05,1,27,4,0
3,0.05,5,33,13,0
3,0.05,20,57,32,17
3,0.05,100,37,60,39
3,0.05,500,16,83,66
3,0.05,1500,17,81,61
3,0.1,0,5,17,0
3,0.1,1,44,4,0
3,0.1,5,53,13,0
3,0.1,20,60,32,17
3,0.1,100,38,60,39
3,0.1,500,16,83,66
3,0.1,1500,17,81,61
3,0.2,0,11,17,0
3,0.2,1,65,4,0
3,0.2,5,66,13,0
3,0.2,20,64,32,17
3,0.2,100,38,60,39
3,0.2,500,17,83,66
3,0.2,1500,18,81,61
4,0.05,0,3,17,0
4,0.05,1,25,6,0
4,0.05,5,33,12,1
4,0.05,20,59,28,15
4,0.05,100,25,60,55
4,0.05,500,19,80,68
4,0.05,1500,16,81,64
4,0.1,0,4,17,0
4,0.1,1,43,6,0
4,0.1,5,50,12,1
4,0.1,20,65,28,15
4,0.1,100,32,60,55
4,0.1,500,19,80,68
4,0.1,1500,16,81,64
4,0.2,0,12,17,0
4,0.2,1,69,6,0
4,0.2,5,65,12,1
4,0.2,20,68,28,15
4,0.2,100,36,60,55
4,0.2,500,19,80,68
4,0.2,1500,16,81,64
5,0.05,0,4,11,0
5,0.05,1,31,2,0
5,0.05,5,31,10,0
5,0.05,20,25,21,4
5,0.05,100,39,48,28
5,0.05,500,17,78,66
5,0.05,1500,18,78,54
5,0.1,0,6,11,0
5,0.1,1,49,2,0
5,0.1,5,54,10,0
5,0.1,20,49,21,4
5,0.1,100,47,48,28
5,0.1,500,20,78,66
5,0.1,1500,18,78,54
5,0.2,0,12,11,0
5,0.2,1,70,2,0
5,0.2,5,71,10,0
5,0.2,20,64,21,4
5,0.2,100,48,48,28
5,0.2,500,21,78,66
5,0.2,1500,18,78,54
6,0.05,0,8,11,0
6,0.05,1,23,6,0
6,0.05,5,38,13,4
6,0.05,20,45,33,15
6,0.05,100,28,57,40
6,0.05,500,20,80,59
6,0.05,1500,19,79,56
6,0.1,0,12,11,0
6,0.1,1,42,6,0
6,0.1,5,60,13,4
6,0.1,20,53,33,15
6,0.1,100,37,57,40
6,0.1,500,20,80,59
6,0.1,1500,20,79,56
6,0.2,0,21,11,0
6,0.2,1,60,6,0
6,0.2,5,69,13,4
6,0.2,20,57,33,15
6,0.2,100,38,57,40
6,0.2,500,20,80,59
6,0.2,1500,20,79,56
7,0.05,0,6,21,0
7,0.05,1,38,3,0
7,0.05,5,16,12,2
7,0.05,20,38,24,9
7,0.05,100,31,53,34
7,0.05,500,13,85,68
7,0.05,1500,18,79,61
7,0.1,0,7,21,0
7,0.1,1,61,3,0
7,0.1,5,32,12,2
7,0.1,20,59,24,9
7,0.1,100,38,53,34
7,0.1,500,13,85,68
7,0.1,1500,18,79,61
7,0.2,0,17,21,0
7,0.2,1,80,3,0
7,0.2,5,58,12,2
7,0.2,20,65,24,9
7,0.2,100,43,53,34
7,0.2,500,14,85,68
7,0.2,1500,18,79,61
8,0.05,0,4,11,0
8,0.05,1,27,6,0
8,0.05,5,13,9,0
8,0.05,20,41,25,10
8,0.05,100,35,50,34
8,0.05,500,17,81,59
8,0.05,1500,18,79,58
8,0.1,0,10,11,0
8,0.1,1,51,6,0
8,0.1,5,30,9,0
8,0.1,20,56,25,10
8,0.1,100,40,50,34
8,0.1,500,17,81,59
8,0.1,1500,18,79,58
8,0.2,0,14,11,0
8,0.2,1,71,6,0
8,0.2,5,61,9,0
8,0.2,20,66,25,10
8,0.2,100,40,50,34
8,0.2,500,17,81,59
8,0.2,1500,19,79,58
9,0.05,0,6,16,0
9,0.05,1,46,1,0
9,0.05,5,43,11,5
9,0.05,20,42,22,13
9,0.05,100,39,56,42
9,0.05,500,14,80,63
9,0.05,1500,19,78,57
9,0.1,0,10,16,0
9,0.1,1,63,1,0
9,0.1,5,72,11,5
9,0.1,20,64,22,13
9,0.1,100,39,56,42
9,0.1,500,14,80,63
9,0.1,1500,19,78,57
9,0.2,0,23,16,0
9,0.2,1,83,1,0
9,0.2,5,84,11,5
9,0.2,20,71,22,13
9,0.2,100,41,56,42
9,0.2,500,16,80,63
9,0.2,1500,19,78,57
