arm,seed,window,Q,R,G,c_effective,undefined_count
SN_normal_qm05,0,early,0.16783943220099296,0.20679800663578027,0.3746374388367732,-0.07434272147234301,0
SN_normal_qm05,0,middle,0.48565231071815984,0.005816480764106888,0.4914687914822667,-0.0004957656098924205,0
SN_normal_qm05,0,late,0.20823942802906506,-0.24920217784795454,-0.04096274981888946,0.03687994745363054,0
SN_normal_qm05,1,early,0.24167956660169201,0.22160654384762374,0.4632861104493158,-0.06450926058292178,0
SN_normal_qm05,1,middle,0.5839788609451768,-0.19519965343555737,0.3887792075096195,0.014763025077635095,0
SN_normal_qm05,1,late,0.24586715399009684,-0.16530500132675802,0.08056215266333883,0.023263001712535147,0
SN_normal_qm05,2,early,0.1916939540867745,0.21168729745356682,0.4033812515403413,-0.08074983850877697,0
SN_normal_qm05,2,middle,0.5226742801631031,0.005343855214148811,0.528018135377252,-0.0004444844302764114,0
SN_normal_qm05,2,late,0.14476039361655957,-0.1595558630519169,-0.014795469435357355,0.029248386508585494,0
SN_normal_qm05,3,early,0.26017390479211117,0.33334018703316715,0.5935140918252784,-0.09976696696902715,0
SN_normal_qm05,3,middle,0.47625241936823537,-0.14281949747479028,0.3334329218934451,0.01181709580856462,0
SN_normal_qm05,3,late,0.20742413499983017,-0.20373979232447784,0.0036843426753523437,0.030014507324291097,0
SN_normal_qm05,4,early,0.3247149223387641,0.2679648550411596,0.5926797773799236,-0.06563883534346564,0
SN_normal_qm05,4,middle,0.5575661297460728,-0.19072383174903568,0.3668422979970371,0.013755594766311588,0
SN_normal_qm05,4,late,0.2675982048427537,-0.31397246942877277,-0.04637426458601914,0.03938503453166181,0
SN_normal_qm05,5,early,0.21471589042899764,0.21778966732497682,0.4325055577539745,-0.07260355428301155,0
SN_normal_qm05,5,middle,0.504440013384819,-0.1744380608542635,0.33000195253055553,0.014389882519733891,0
SN_normal_qm05,5,late,0.2020770696760726,-0.18584272767923896,0.016234341996833632,0.02881802679009709,0
SN_normal_qm05,6,early,0.29375900867832383,0.23012429790540878,0.5238833065837326,-0.06017895745511818,0
SN_normal_qm05,6,middle,0.4569801568217491,-0.21150979410181686,0.24547036271993233,0.01870481123849212,0
