arm,seed,eps,group,n,shrink_count,free_growth,median_unit_growth,v_rms,effective_v2_gate2,output_variance
SN_normal_qm05,0,0.05,ALL,100,38,1.753190623535084,1.4593138013750355,0.18900894416493194,0.04791493655623781,0.03878416210696977
SN_normal_qm05,0,0.05,near_FINAL_SELECTED,17,14,1.4900865355600554,0.07654795845086523,0.12307232583146024,0.02281772870393582,0.029391139137747768
SN_normal_qm05,0,0.05,far_FINAL_SELECTED,83,24,1.791402929047489,1.500714624050353,0.19984760886644123,0.053055328525986406,0.040708034281388736
SN_normal_qm05,0,0.1,ALL,100,38,1.753190623535084,1.4593138013750355,0.18900894416493194,0.04791493655623781,0.03878416210696977
SN_normal_qm05,0,0.1,near_FINAL_SELECTED,31,26,1.3194671529906792,0.09508289298910799,0.09818963259354281,0.01469391472818998,0.017702462321579383
SN_normal_qm05,0,0.1,far_FINAL_SELECTED,69,12,1.8634989594589226,1.6373568075050335,0.21781393385845335,0.06284032317463609,0.048255650416348064
SN_normal_qm05,0,0.2,ALL,100,38,1.753190623535084,1.4593138013750355,0.18900894416493194,0.04791493655623781,0.03878416210696977
SN_normal_qm05,0,0.2,near_FINAL_SELECTED,41,34,1.2527910566102156,0.10027372235391972,0.09623104907877204,0.014495607318782508,0.015816470526558307
SN_normal_qm05,0,0.2,far_FINAL_SELECTED,59,4,1.9406051681161511,1.7254592757211842,0.23262543874603728,0.07113853822972369,0.054744761340815025
SN_normal_qm05,1,0.05,ALL,100,45,1.7605402722227126,1.368266391556451,0.17012929446641756,0.03844132984783453,0.024600520127191817
SN_normal_qm05,1,0.05,near_FINAL_SELECTED,26,25,0.6281508828594927,0.06892128788202696,0.06871536898246904,0.008074988578240601,0.005139731422290144
SN_normal_qm05,1,0.05,far_FINAL_SELECTED,74,20,1.9206800688730237,1.6455277046815961,0.1935315755112378,0.04911058488850267,0.031438094537022135
SN_normal_qm05,1,0.1,ALL,100,45,1.7605402722227126,1.368266391556451,0.17012929446641756,0.03844132984783453,0.024600520127191817
SN_normal_qm05,1,0.1,near_FINAL_SELECTED,43,41,0.6840394433258762,0.07988790475027042,0.07710343986199215,0.010012865934550634,0.006434516695731688
SN_normal_qm05,1,0.1,far_FINAL_SELECTED,57,4,2.052191884353073,1.94114035776969,0.2151607006405022,0.059887364028031166,0.03830469815443367
SN_normal_qm05,1,0.2,ALL,100,45,1.7605402722227126,1.368266391556451,0.17012929446641756,0.03844132984783453,0.024600520127191817
SN_normal_qm05,1,0.2,near_FINAL_SELECTED,44,42,0.6763045458807638,0.07451014459448231,0.07622222899385202,0.009785300878071064,0.00628827767993849
SN_normal_qm05,1,0.2,far_FINAL_SELECTED,56,3,2.0622944840028667,1.9585232652166185,0.21707327774778237,0.060956781181220124,0.038988710621462294
SN_normal_qm05,2,0.05,ALL,100,42,1.8127130786021006,1.4291346078652887,0.15971005220382123,0.029654825089512137,0.020755635882794835
SN_normal_qm05,2,0.05,near_FINAL_SELECTED,15,14,0.7153205009200355,0.12242982370926156,0.07066512799458351,0.00911932702105387,0.0049820019013420685
SN_normal_qm05,2,0.05,far_FINAL_SELECTED,85,28,1.9073361353347775,1.6153155091857243,0.17066743280693655,0.03327873651335771,0.023539218350110032
SN_normal_qm05,2,0.1,ALL,100,42,1.8127130786021006,1.4291346078652887,0.15971005220382123,0.029654825089512137,0.020755635882794835
SN_normal_qm05,2,0.1,near_FINAL_SELECTED,27,26,0.5699244113559657,0.14188575434434927,0.05281495743233297,0.005106914038382286,0.002768377112293923
SN_normal_qm05,2,0.1,far_FINAL_SELECTED,73,16,2.0023338962965203,1.7800231110309095,0.18414615044470525,0.03873418945088892,0.02740845761982942
