arm,reference,log_growth_difference,ci_low,ci_high,negative_seeds,tier
SN_peak_q0,SN_normal_q0,-0.09877247078718292,-0.11185858695357263,-0.08658424842767834,10,PRIMARY
SN_valley_q0,SN_normal_q0,-0.0008831960069004107,-0.011688581549580962,0.010511240350679324,6,EXPLORATORY
LR_a0p1_qm05,LR_a0p1_q0,-0.14892955829644364,-0.1640361027380137,-0.13401875498695287,10,EXPLORATORY
LR_a0p1_qp05,LR_a0p1_q0,-0.5797416973021642,-0.6282435475490238,-0.5318865685996496,10,EXPLORATORY
LR_a0p3_qm05,LR_a0p3_q0,-0.1654091558717058,-0.17062912155069182,-0.16052199038362877,10,EXPLORATORY
LR_a0p3_qp05,LR_a0p3_q0,0.1305749767684639,0.1246545254261075,0.13684414074804707,0,EXPLORATORY
LR_a0p7_qm05,LR_a0p7_q0,-0.12643559605174923,-0.13694023116566334,-0.11645305162201418,10,EXPLORATORY
LR_a0p7_qp05,LR_a0p7_q0,-0.029877850957103113,-0.053731757379161374,-0.007219263185993579,8,EXPLORATORY
