environment,arm,seed,first_task,last_task,n_negative_c,n_transitions,ratio_taskmedian,ratio_qweighted,above_fraction_negative_c,ratio_min,ratio_max,R_taskmedian,Rstar_taskmedian,R_latehalf_over_earlyhalf,Rstar_latehalf_over_earlyhalf
mnist,LR_X0Y1,200,41,50,10,10,0.970440985839594,0.9390779100010617,0.2,0.7548229575575427,1.0569877405939236,70.14034630051572,70.883936963584,1.0483669284035897,0.9515731259375801
mnist,LR_X0Y1,201,41,50,10,10,0.9127462184090678,0.9099805225021836,0.3,0.7682523680696964,1.0451930451150175,73.54701410103274,82.42042529009957,1.0639738262276472,0.9722156314679331
mnist,LR_X0Y1,202,41,50,10,10,0.960116021806719,0.9420335982231614,0.3,0.7667141980016318,1.0643471807058056,72.31655411498191,76.01850215194753,1.0328153810211267,1.003181454112302
mnist,LR_X0Y1,203,41,50,10,10,0.8853374372397875,0.9165080243051914,0.3,0.7344649565762482,1.1123898439058386,72.5239936349362,79.8068842421637,1.0562341696289723,1.0539442193818696
mnist,LR_X0Y1,204,41,50,10,10,0.9329607336019218,0.9245027292106177,0.2,0.7836608802120555,1.0423254332810132,69.72596167989211,75.30384287408188,1.0435446367828303,1.0301975903623162
mnist,LR_X0Y1,200,121,150,30,30,0.9566851844119718,0.9542010754982418,0.3,0.7734696245740292,1.1343053657647775,118.32602736976773,124.03757611253107,1.0507175428637643,1.0122712200990598
mnist,LR_X0Y1,201,121,150,30,30,0.957075218245193,0.9499750671604811,0.36666666666666664,0.7295997587950378,1.1188869173537752,125.13072398785161,127.88955469577039,1.075250162721045,1.0205064929606606
mnist,LR_X0Y1,202,121,150,30,30,0.9600294527691233,0.9619271178911255,0.3333333333333333,0.7377696141230734,1.1194424529616542,122.71768620411032,127.57673723259934,1.0472871292552144,1.058700194908578
mnist,LR_X0Y1,203,121,150,30,30,0.9592887200580067,0.9410020700167009,0.26666666666666666,0.7369423396361721,1.0920679125877308,119.57193828984632,124.67984918193176,1.069143252451408,1.0782152590077105
mnist,LR_X0Y1,204,121,150,30,30,0.9543285191502744,0.9397533577575906,0.23333333333333334,0.7593587102880323,1.1253245364194826,117.25666629929049,122.80031333999854,1.0705901509727718,1.075570839351671
conda,LR_k1_X0Y1,200,321,400,53,80,1.324646381425561,0.592774408636423,0.660377358490566,0.027491478256844115,5.034436975224277,16.50321646658487,12.625582773131455,1.040517985598509,1.6788586293392096
conda,LR_k1_X0Y1,201,321,400,59,80,1.550219775062961,0.80311860194802,0.711864406779661,0.036104975006231006,6.224598389727694,18.623037670325605,12.046541278480564,1.0144438049873363,2.0150281103930294
conda,LR_k1_X0Y1,202,321,400,57,80,1.6389504561043013,0.6994777140427372,0.7368421052631579,0.0019483528416386878,5.758768184667145,17.730501157592627,10.79217760665547,1.0135355332717924,0.038434443007081084
conda,LR_k1_X0Y1,203,321,400,53,80,1.8553715691624526,0.7139706848947343,0.6792452830188679,0.021168032578871534,6.161013448316051,19.06424017144581,10.188439650303213,1.012264568071504,0.3367444335100536
conda,LR_k1_X0Y1,204,321,400,55,80,1.354298028579216,0.542223160790488,0.5818181818181818,0.000556701826474304,7.287652513821748,17.70302849446788,13.171442922595421,1.0269921476724533,0.012792870919593288
conda,LR_k7_X0Y1,200,321,400,58,80,1.9245573610442386,0.8449003177208393,0.7068965517241379,0.061722296367684705,8.881113504986452,17.692654329143362,9.253597558448913,1.014835903169472,1.348150960849289
conda,LR_k7_X0Y1,201,321,400,57,80,1.4941606076374419,0.7151494680338952,0.631578947368421,0.08757901896443743,7.343464469933368,18.04757199262056,12.111752863934155,1.023291697411355,1.6373595780877555
conda,LR_k7_X0Y1,202,321,400,58,80,1.9292311392364248,1.027161721669628,0.7413793103448276,0.028511450443278474,10.788778589076033,18.088231599810484,9.356413738198878,0.9988261477082466,0.8117698569845908
conda,LR_k7_X0Y1,203,321,400,64,80,1.8640429319351506,0.9370729488715541,0.6875,0.0031591054735035425,8.55805076474292,20.50833531327889,10.990388256023646,1.0034233828776438,0.11202117466436237
conda,LR_k7_X0Y1,204,321,400,54,80,1.584008940697721,0.5236492260173288,0.6111111111111112,0.15963828664384735,5.996134371144772,17.657197477356902,11.128780402617693,1.0536921115289093,0.5777969879632264
