environment,arm,first_task,last_task,n_negative_c,n_transitions,ratio_taskmedian,ratio_qweighted,above_fraction_negative_c,ratio_min,ratio_max,R_taskmedian,Rstar_taskmedian,R_latehalf_over_earlyhalf,Rstar_latehalf_over_earlyhalf
conda,LR_k1_X0Y1,321,400,55.0,80.0,1.550219775062961,0.6994777140427372,0.6792452830188679,0.021168032578871534,6.161013448316051,17.730501157592627,12.046541278480564,1.0144438049873363,0.3367444335100536
conda,LR_k7_X0Y1,321,400,58.0,80.0,1.8640429319351506,0.8449003177208393,0.6875,0.061722296367684705,8.55805076474292,18.04757199262056,10.990388256023646,1.014835903169472,0.8117698569845908
mnist,LR_X0Y1,41,50,10.0,10.0,0.9329607336019218,0.9245027292106177,0.3,0.7667141980016318,1.0569877405939236,72.31655411498191,76.01850215194753,1.0483669284035897,1.003181454112302
mnist,LR_X0Y1,121,150,30.0,30.0,0.957075218245193,0.9499750671604811,0.3,0.7377696141230734,1.1194424529616542,119.57193828984632,124.67984918193176,1.069143252451408,1.058700194908578
