environment,arm,window,metric,question,verdict,n_seed,n_pass,n_uninformative,statistic,seed_median,ci95_low,ci95_high
conda,LR_k1_X0Y1,primary400,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.03608330396822257,-0.04816190425390374,-0.015287829815072373
conda,LR_k1_X0Y1,secondary100,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,0.12023100927921868,-0.3167551295064457,0.21476375365491684
conda,LR_k1_X0Y1,secondary100,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.5433475034019344,0.4258413557952206,0.7656746344984363
conda,LR_k1_X0Y1,secondary100,reference,P1,FAIL,5,0,0,late_nearbalance,0.12023100927921868,-0.3167551295064457,0.21476375365491684
conda,LR_k1_X0Y1,secondary100,reference,P2,FAIL,5,0,0,late_loglog_slope,0.5433475034019344,0.4258413557952206,0.7656746344984363
conda,LR_k1_X0Y1,secondary100,reference,P3,FAIL,5,0,0,heldout_mape,0.07747807390201852,0.03076648243059072,0.1890214817581071
conda,LR_k1_X0Y1,secondary100,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.10538757988935687,-0.1411305833201767,-0.07915900538067394
conda,LR_k1_X1Y0,primary400,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,0.21784791120169647,-0.19938173370085016,0.26353902073300994
conda,LR_k1_X1Y0,primary400,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.3983149903335808,0.16833324049090048,0.49492674153464317
conda,LR_k1_X1Y0,primary400,reference,P1,FAIL,5,0,0,late_nearbalance,0.21784791120169647,-0.19938173370085016,0.26353902073300994
conda,LR_k1_X1Y0,primary400,reference,P2,FAIL,5,0,0,late_loglog_slope,0.3983149903335808,0.16833324049090048,0.49492674153464317
conda,LR_k1_X1Y0,primary400,reference,P3,FAIL,5,0,0,heldout_mape,0.26851037714640613,0.24184116542646364,0.44829904063488535
conda,LR_k1_X1Y0,primary400,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.05775806733671929,-0.08606499993387169,-0.026345148503821636
conda,LR_k1_X1Y0,secondary100,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,-1.3287609886145284,-2.7494481231847,-0.511189092751318
conda,LR_k1_X1Y0,secondary100,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.48805828701189435,0.39658372443621803,0.8933310546010879
conda,LR_k1_X1Y0,secondary100,reference,P1,FAIL,5,0,0,late_nearbalance,-1.3287609886145284,-2.7494481231847,-0.511189092751318
conda,LR_k1_X1Y0,secondary100,reference,P2,FAIL,5,0,0,late_loglog_slope,0.48805828701189435,0.39658372443621803,0.8933310546010879
conda,LR_k1_X1Y0,secondary100,reference,P3,FAIL,5,0,0,heldout_mape,0.18077087821517132,0.01913147521411694,0.22628441117145756
conda,LR_k1_X1Y0,secondary100,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.32551621046872337,-0.5121034165420442,-0.28996914462862106
conda,LR_k1_X1Y1,primary400,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,0.7924914352889341,0.6273816939860863,0.84217855669553
conda,LR_k1_X1Y1,primary400,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.38265279889496084,0.15206578286512645,0.5386848207023159
conda,LR_k1_X1Y1,primary400,reference,P1,FAIL,5,0,0,late_nearbalance,0.7924914352889341,0.6273816939860863,0.84217855669553
conda,LR_k1_X1Y1,primary400,reference,P2,FAIL,5,0,0,late_loglog_slope,0.38265279889496084,0.15206578286512645,0.5386848207023159
conda,LR_k1_X1Y1,primary400,reference,P3,FAIL,5,1,0,heldout_mape,0.21910928507681976,0.04311996823284182,0.26453714771135206
conda,LR_k1_X1Y1,primary400,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.0019019897935859675,-0.012445992702325881,0.08121724406773156
conda,LR_k1_X1Y1,secondary100,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,0.22982406580974546,-0.22745998257659045,0.25909766567576054
conda,LR_k1_X1Y1,secondary100,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.4818063006369464,0.41632856388082323,1.1084160852524367
conda,LR_k1_X1Y1,secondary100,reference,P1,FAIL,5,0,0,late_nearbalance,0.22982406580974546,-0.22745998257659045,0.25909766567576054
conda,LR_k1_X1Y1,secondary100,reference,P2,FAIL,5,0,0,late_loglog_slope,0.4818063006369464,0.41632856388082323,1.1084160852524367
conda,LR_k1_X1Y1,secondary100,reference,P3,FAIL,5,0,0,heldout_mape,0.09957324839222956,0.06122913251629023,0.16725086370615536
conda,LR_k1_X1Y1,secondary100,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.08772183019112617,-0.175078035195937,-0.04499941643244021
conda,LR_k7_X0Y0,primary400,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,0.1337703075615054,-0.7031281917856191,0.782505839429157
conda,LR_k7_X0Y0,primary400,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.40914583396958737,0.134358988842906,0.5605144068745467
conda,LR_k7_X0Y0,primary400,reference,P1,FAIL,5,0,0,late_nearbalance,0.1337703075615054,-0.7031281917856191,0.782505839429157
conda,LR_k7_X0Y0,primary400,reference,P2,FAIL,5,0,0,late_loglog_slope,0.40914583396958737,0.134358988842906,0.5605144068745467
conda,LR_k7_X0Y0,primary400,reference,P3,FAIL,5,0,0,heldout_mape,0.2794685681633924,0.19229364608805288,0.34034428855123006
conda,LR_k7_X0Y0,primary400,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.10106791088709316,-0.14062390991246232,-0.041276034530749336
conda,LR_k7_X0Y0,secondary100,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,-1.4755103080145047,-2.541206103190401,-1.0593136191359405
conda,LR_k7_X0Y0,secondary100,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.5898667708379526,0.46738365764823675,0.6403924990274327
conda,LR_k7_X0Y0,secondary100,reference,P1,FAIL,5,0,0,late_nearbalance,-1.4755103080145047,-2.541206103190401,-1.0593136191359405
conda,LR_k7_X0Y0,secondary100,reference,P2,FAIL,5,0,0,late_loglog_slope,0.5898667708379526,0.46738365764823675,0.6403924990274327
conda,LR_k7_X0Y0,secondary100,reference,P3,FAIL,5,0,0,heldout_mape,0.052754030334743005,0.015206271786256297,0.16792353393174556
conda,LR_k7_X0Y0,secondary100,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.21529630516605047,-0.24487036614682073,-0.20131396564468967
conda,LR_k7_X0Y1,primary400,actual,A_BALANCE,FAIL,5,2,0,late_A_balance,0.8449003177208393,0.5236492260173288,1.027161721669628
conda,LR_k7_X0Y1,primary400,actual,A_PLATEAU,FAIL,5,2,0,late_loglog_slope,0.25581988709348047,-0.0850467109793086,0.8676781868081686
conda,LR_k7_X0Y1,primary400,reference,P1,FAIL,5,1,0,late_nearbalance,0.8449003177208393,0.5236492260173288,1.027161721669628
conda,LR_k7_X0Y1,primary400,reference,P2,FAIL,5,1,0,late_loglog_slope,0.25581988709348047,-0.0850467109793086,0.8676781868081686
conda,LR_k7_X0Y1,primary400,reference,P3,FAIL,5,2,0,heldout_mape,0.147154243376563,0.041376527178099864,0.24797812922889373
conda,LR_k7_X0Y1,primary400,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.012997752698539394,-0.1323463577202515,0.014487932850700838
conda,LR_k7_X0Y1,secondary100,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,-0.082348614457758,-0.1625510736936057,0.3479365455321853
conda,LR_k7_X0Y1,secondary100,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.6706963805039889,0.44082885559335067,0.7661699703658019
conda,LR_k7_X0Y1,secondary100,reference,P1,FAIL,5,0,0,late_nearbalance,-0.082348614457758,-0.1625510736936057,0.3479365455321853
conda,LR_k7_X0Y1,secondary100,reference,P2,FAIL,5,0,0,late_loglog_slope,0.6706963805039889,0.44082885559335067,0.7661699703658019
conda,LR_k7_X0Y1,secondary100,reference,P3,FAIL,5,0,0,heldout_mape,0.13641894970508303,0.04285448888524004,0.21899973980475948
conda,LR_k7_X0Y1,secondary100,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.08640587572586939,-0.1558408005826617,-0.08094359255598937
conda,LR_k7_X1Y0,primary400,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,0.1293988133527,0.0981048813020927,0.2986662152779526
conda,LR_k7_X1Y0,primary400,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.48732397816636364,0.43153725734499293,0.5240060826798699
conda,LR_k7_X1Y0,primary400,reference,P1,FAIL,5,0,0,late_nearbalance,0.1293988133527,0.0981048813020927,0.2986662152779526
conda,LR_k7_X1Y0,primary400,reference,P2,FAIL,5,0,0,late_loglog_slope,0.48732397816636364,0.43153725734499293,0.5240060826798699
conda,LR_k7_X1Y0,primary400,reference,P3,PASS,5,4,0,heldout_mape,0.06714003394743384,0.03247914960022747,0.10368200469578034
conda,LR_k7_X1Y0,primary400,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,0.07061963780170599,0.0023830964500527463,0.22810351407441587
conda,LR_k7_X1Y0,secondary100,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,0.1935529568083824,-0.6529019685862502,0.5131570367375706
conda,LR_k7_X1Y0,secondary100,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.22901556739485524,0.1395940797494549,0.6159566590109627
conda,LR_k7_X1Y0,secondary100,reference,P1,FAIL,5,0,0,late_nearbalance,0.1935529568083824,-0.6529019685862502,0.5131570367375706
conda,LR_k7_X1Y0,secondary100,reference,P2,FAIL,5,0,0,late_loglog_slope,0.22901556739485524,0.1395940797494549,0.6159566590109627
conda,LR_k7_X1Y0,secondary100,reference,P3,PASS,5,5,0,heldout_mape,0.043042173927558824,0.030612368376136546,0.0941728949359999
conda,LR_k7_X1Y0,secondary100,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.18496661188611316,-0.24385727359790854,-0.12441448974132475
conda,LR_k7_X1Y1,primary400,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,0.8349910537774956,0.7158526666287703,0.8713752674904812
conda,LR_k7_X1Y1,primary400,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.346192245555479,0.07969840937912788,0.4602387925697582
conda,LR_k7_X1Y1,primary400,reference,P1,FAIL,5,0,0,late_nearbalance,0.8349910537774956,0.7158526666287703,0.8713752674904812
conda,LR_k7_X1Y1,primary400,reference,P2,FAIL,5,0,0,late_loglog_slope,0.346192245555479,0.07969840937912788,0.4602387925697582
conda,LR_k7_X1Y1,primary400,reference,P3,FAIL,5,2,0,heldout_mape,0.12251150173073874,0.09654800603322812,0.14058772190901067
conda,LR_k7_X1Y1,primary400,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,0.060748009429539646,-0.005776858045929256,0.07890854097131189
conda,LR_k7_X1Y1,secondary100,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,0.1217486533186488,0.04230026584751357,0.3993931166751025
conda,LR_k7_X1Y1,secondary100,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.5311905544161467,0.3415650322965947,0.8179006800184903
conda,LR_k7_X1Y1,secondary100,reference,P1,FAIL,5,0,0,late_nearbalance,0.1217486533186488,0.04230026584751357,0.3993931166751025
conda,LR_k7_X1Y1,secondary100,reference,P2,FAIL,5,0,0,late_loglog_slope,0.5311905544161467,0.3415650322965947,0.8179006800184903
conda,LR_k7_X1Y1,secondary100,reference,P3,FAIL,5,0,0,heldout_mape,0.06013861036035621,0.02114375608534293,0.1446165177088624
conda,LR_k7_X1Y1,secondary100,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.10364546086404136,-0.13963915642863955,-0.05671937222013296
mnist,LR_X0Y0,primary50,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,-0.329262450804263,-0.7879535064581004,0.19395602435936396
mnist,LR_X0Y0,primary50,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,1.1068985625021612,0.8418736242553658,1.4143262359218913
mnist,LR_X0Y0,primary50,reference,P1,FAIL,5,0,0,late_nearbalance,-0.329262450804263,-0.7879535064581004,0.19395602435936396
mnist,LR_X0Y0,primary50,reference,P2,FAIL,5,0,0,late_loglog_slope,1.1068985625021612,0.8418736242553658,1.4143262359218913
mnist,LR_X0Y0,primary50,reference,P3,FAIL,5,0,0,heldout_mape,0.03209160070935482,0.019889396994186105,0.09270995207856975
mnist,LR_X0Y0,primary50,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.2651395421759719,-0.4337717344573566,-0.005620613257154794
mnist,LR_X0Y1,long150,actual,A_BALANCE,PASS,5,5,0,late_A_balance,0.9499750671604811,0.9397533577575905,0.9619271178911255
mnist,LR_X0Y1,long150,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,1.1922942613719136,0.822585253064592,1.2162722379166115
mnist,LR_X0Y1,long150,reference,P1,PASS,5,5,0,late_nearbalance,0.9499750671604811,0.9397533577575905,0.9619271178911255
mnist,LR_X0Y1,long150,reference,P2,FAIL,5,0,0,late_loglog_slope,1.1922942613719136,0.822585253064592,1.2162722379166115
mnist,LR_X0Y1,long150,reference,P3,FAIL,5,0,0,heldout_mape,0.5468984710069985,0.5214799724522496,0.5539680970434793
mnist,LR_X0Y1,long150,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.0955267478305093,-0.16613616553377009,0.3344641008544299
mnist,LR_X0Y1,primary50,actual,A_BALANCE,PASS,5,5,0,late_A_balance,0.9245027292106177,0.9099805225021836,0.9420335982231614
mnist,LR_X0Y1,primary50,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.7477032353364169,0.5564144060080606,0.974928214467587
mnist,LR_X0Y1,primary50,reference,P1,PASS,5,5,0,late_nearbalance,0.9245027292106177,0.9099805225021836,0.9420335982231614
mnist,LR_X0Y1,primary50,reference,P2,FAIL,5,0,0,late_loglog_slope,0.7477032353364169,0.5564144060080606,0.974928214467587
mnist,LR_X0Y1,primary50,reference,P3,FAIL,5,0,0,heldout_mape,0.3649493775263021,0.35880711928781067,0.3883782838073575
mnist,LR_X0Y1,primary50,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,0.4874668075174514,0.21500172110099558,0.6391855442123503
mnist,LR_X1Y0,primary50,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,0.6517156154166287,0.6277920680442748,0.7094987111400894
mnist,LR_X1Y0,primary50,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,1.6629317254506093,1.621501913261381,1.883877847488684
mnist,LR_X1Y0,primary50,reference,P1,FAIL,5,0,0,late_nearbalance,0.3126718299881243,0.24827678418484608,0.3490425119673097
mnist,LR_X1Y0,primary50,reference,P2,FAIL,5,0,0,late_loglog_slope,1.5398897770359037,1.4020665888661819,1.7503853539435699
mnist,LR_X1Y0,primary50,reference,P3,FAIL,5,0,0,heldout_mape,0.3763888628092098,0.2795225532277625,0.40621889565258
mnist,LR_X1Y0,primary50,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,0.04302355050147333,-0.07288126295774333,0.12623344004022274
mnist,LR_X1Y1,primary50,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,0.6764127805021054,0.6476936852458081,0.6976512680801334
mnist,LR_X1Y1,primary50,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,1.650321218585727,1.5410837321046007,1.6896702724169226
mnist,LR_X1Y1,primary50,reference,P1,FAIL,5,0,0,late_nearbalance,0.3252348245537982,0.2530231105535824,0.4080094643662458
mnist,LR_X1Y1,primary50,reference,P2,FAIL,5,0,0,late_loglog_slope,1.6134729017515055,1.4260570962642245,1.6537363670704834
mnist,LR_X1Y1,primary50,reference,P3,FAIL,5,0,0,heldout_mape,0.35314815274601075,0.3265448606735753,0.45052480693703806
mnist,LR_X1Y1,primary50,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,0.012835094098796906,-0.12265588699793284,0.09539719750472231
