arm,seed,window,R,D,Rstar,S_c,S_rel,sigma_med
A,0,t11_20,562.3386614652185,342.7631150752515,668.1897166515528,-0.262645526806502,0.05326560509734114,56.009145603709655
A,0,t31_40,799.3134582720986,412.0870515461137,857.1550661040689,-0.2421251826295104,0.01670879049805172,77.40887444439367
A,0,t41_50,868.094755198148,426.71293137020467,903.6697161711021,-0.23709806338038178,0.008644988439723209,83.8820346451531
A,1,t11_20,586.5234648360195,348.3389646305792,714.8300385674834,-0.2450945298589881,0.06420112329693653,57.71545622686157
A,1,t31_40,788.8119674491753,400.4618838936212,849.7227984227198,-0.24102462738067496,0.013257234678216382,76.15282783432363
A,1,t41_50,872.8271414611052,425.5643137491846,938.3970609787533,-0.2299480008846543,0.014284080190824852,84.31228891543093
A,2,t11_20,593.9426118333607,343.42668041891426,728.4682845711744,-0.2372468223953626,0.063281039431439,58.47111451616856
A,2,t31_40,803.4258392296616,400.15587195542264,860.096724196544,-0.23364111637411616,0.015230754466422,77.45599071499034
A,2,t41_50,860.0343455864911,421.7402424435094,914.656944755947,-0.23262650457981934,0.0124767092760951,82.86666875152689
A,3,t11_20,590.0066870374369,343.9328625486021,702.5276126938314,-0.2469781873316541,0.054655271648510084,57.99080880273671
A,3,t31_40,774.2939098337522,387.55346833373267,835.7240916363683,-0.23414733009465466,0.016869732924838562,74.74779582662204
A,3,t41_50,836.3632874529545,407.3108644000568,877.9875598677451,-0.23454607849193115,0.00868982995779811,80.56057145957239
A,4,t11_20,544.8149376017977,328.23206059585647,656.6766704782298,-0.25344790760169705,0.05951406568932342,53.44005514788479
A,4,t31_40,751.9919261061135,402.7911441553426,835.5183502802827,-0.24159744513340392,0.02926792111462661,73.25356151799456
A,4,t41_50,836.8551522757922,423.48856969139223,895.7836024904188,-0.2392364895498038,0.014658726551368628,81.23443277477449
A,5,t11_20,569.9089663427244,343.31974682727855,674.4353731847498,-0.2574981357847219,0.054217174851056295,55.63931728342529
A,5,t31_40,748.4911688826821,380.05303433013614,799.7370657102629,-0.24022804067732265,0.0148284745542465,71.51240317856538
A,5,t41_50,792.0852324980984,391.9536312821166,848.4353709506792,-0.23332408708731034,0.014279830506153062,76.01306633605803
A,6,t11_20,565.8020625639872,348.38709856763006,655.0316096327563,-0.26715181552475953,0.053330897375285916,55.445310820491194
A,6,t31_40,762.5729554532944,391.0486683807269,867.1974815485848,-0.23166440800237428,0.026267441353713294,73.67909945631007
A,6,t41_50,834.2121157067013,413.80578085756963,865.8942091877503,-0.24172150976588608,0.00617575919895493,80.04596880146403
A,7,t11_20,568.6630366426693,337.8575124299498,689.2075895407194,-0.2502235216680022,0.058596171796909624,55.55094593817724
A,7,t31_40,757.2347491990365,373.73795012684286,790.0895041398323,-0.23897554279574534,0.008016019122659887,71.87252267346638
A,7,t41_50,791.8615376957762,386.72443528706697,847.0257837967929,-0.23134366488446703,0.012535763390615892,75.15255218299868
A,8,t11_20,569.3923521628232,338.11713713013614,666.9628550543542,-0.2580935113900822,0.047409540158637034,56.26759386195621
A,8,t31_40,760.2429455691234,383.52351605777847,856.4703572448328,-0.2254073630502047,0.027366560762880954,74.25627275473425
A,8,t41_50,837.0742292106245,420.3650027359639,888.6990898930529,-0.23811197615459956,0.013153129880246911,81.39271154556079
