task,seed,intervention,n_removed,baseline_mse,removed_mse,mean_preserved_mse,constant_optimal_mse
20,0,remove_grown,29,2.0396308022057426e-09,2.2812576788223278,2.2792991559349565,2.9990234375
20,1,remove_grown,26,7.069000647019588e-07,11.620102769047255,2.2096943473643775,2.05859375
20,2,remove_grown,32,5.614410699642692e-08,1.4445620115003153,1.4303305484953004,1.15234375
20,3,remove_grown,29,8.636637295039773e-09,1.6571001789269044,1.587501319434132,1.5537109375
20,4,remove_grown,30,4.155256487500546e-11,4.243496479697394,1.9094670768282498,2.1083984375
20,5,remove_grown,28,4.1528680756737535e-07,1.7965234396337737,1.2388629086357752,1.40234375
20,6,remove_grown,32,1.8277899614510357e-09,4.963786392116671,2.8838940104173383,2.171875
20,7,remove_grown,30,4.1996677870076463e-07,1.204433340545671,0.6917725812154385,0.4677734375
20,8,remove_grown,30,6.355274615530567e-09,4.4834446435846536,1.1309509833547828,1.12109375
20,9,remove_grown,26,3.276955487288088e-06,3.5941982399019134,2.507791619625571,1.6396484375
20,0,remove_shrunk,71,2.0396308022057426e-09,0.3944728075293232,0.33787431354162556,2.9990234375
20,1,remove_shrunk,74,7.069000647019588e-07,0.040104062667185,0.039085228334086966,2.05859375
20,2,remove_shrunk,68,5.614410699642692e-08,0.732915997716198,0.09126799561774485,1.15234375
20,3,remove_shrunk,71,8.636637295039773e-09,0.27532103884203674,0.2611617462099822,1.5537109375
20,4,remove_shrunk,70,4.155256487500546e-11,0.33354316177655496,0.2585557360126173,2.1083984375
20,5,remove_shrunk,72,4.1528680756737535e-07,1.4807332024689872,0.5877749891799251,1.40234375
20,6,remove_shrunk,68,1.8277899614510357e-09,0.41722470346712803,0.3161738077947542,2.171875
20,7,remove_shrunk,70,4.1996677870076463e-07,0.22712440727232427,0.15216293555932603,0.4677734375
20,8,remove_shrunk,70,6.355274615530567e-09,0.09960603745278865,0.09404225394399056,1.12109375
20,9,remove_shrunk,74,3.276955487288088e-06,0.3893900332755937,0.34945086296702277,1.6396484375
100,0,remove_grown,29,8.553254411559687e-13,7.874427626021316,2.0739225649561046,2.2724609375
100,1,remove_grown,26,2.575212805377474e-09,2.8110992273326634,1.9276464391650179,1.93359375
100,2,remove_grown,32,9.400749040434668e-10,1.4218564773339346,1.3546551895910226,1.3037109375
100,3,remove_grown,29,1.5678990106882404e-11,6.298990817884484,2.0921190905852742,2.24609375
100,4,remove_grown,30,2.7917351678924923e-10,6.248305551543467,0.9712460365510597,0.99609375
100,5,remove_grown,28,2.2499445579917008e-11,1.5048328199291037,1.3452177773478917,1.4365234375
100,6,remove_grown,32,1.3490657185245897e-09,9.014368454827416,1.0356160585798708,1.08984375
100,7,remove_grown,30,1.9465827827733357e-12,3.665929522312785,2.466344173767428,2.6318359375
100,8,remove_grown,30,1.923184738241576e-12,1.8701668070923023,1.481954197354848,1.46484375
100,9,remove_grown,26,2.0121355848125316e-10,5.635462237866371,5.6351569511434665,5.546875
100,0,remove_shrunk,71,8.553254411559687e-13,0.14878896841302977,0.02342732283767772,2.2724609375
100,1,remove_shrunk,74,2.575212805377474e-09,0.8644625173345623,0.0018277441350568575,1.93359375
100,2,remove_shrunk,68,9.400749040434668e-10,0.05469754355774993,0.0049911966321469076,1.3037109375
100,3,remove_shrunk,71,1.5678990106882404e-11,0.06343233891254496,0.016809559345648203,2.24609375
