geometry,optimizer,metric,n_seed,n_valid,paired_growth_seed_median,paired_growth_seed_min,paired_growth_seed_max
avg16,adam,R50_POSTtask_over_R0,5,5,0.3498706652525399,0.3375741322648566,0.3640781347737863
avg16,adam,R_POSTtask_over_R0_41_50_median,5,5,0.3533670171399333,0.3369530399829509,0.35899313242419306
avg16,adam,R_POSTtask_over_R0_6_15_median,5,5,0.3575330449262224,0.3448679774293845,0.3662042647740836
avg16,sgd,R50_POSTtask_over_R0,5,5,0.6876516381394807,0.6634414465897656,0.7082908445327922
avg16,sgd,R_POSTtask_over_R0_41_50_median,5,5,0.6955586827547061,0.6611673583313656,0.7156599744017279
avg16,sgd,R_POSTtask_over_R0_6_15_median,5,5,0.689523454099764,0.6487557671765453,0.7285635154132014
dup64,adam,R50_POSTtask_over_R0,5,5,3.682216662139043,3.64341359639391,3.74060570204432
dup64,adam,R_POSTtask_over_R0_41_50_median,5,5,3.72877856673805,3.6682978864884994,3.787968665853097
dup64,adam,R_POSTtask_over_R0_6_15_median,5,5,3.6237908300036095,3.5821085146839606,3.679584969318824
dup64,sgd,R50_POSTtask_over_R0,5,5,1.7874442722796402,1.7399817483583704,1.8209339638937507
dup64,sgd,R_POSTtask_over_R0_41_50_median,5,5,1.7696270335334023,1.7429436884404539,1.7923796652809996
dup64,sgd,R_POSTtask_over_R0_6_15_median,5,5,1.649457815197091,1.6170516651920461,1.7643052243469066
dup64_half,adam,R50_POSTtask_over_R0,5,5,1.9219976316120693,1.8938718110674249,1.9550762144187153
dup64_half,adam,R_POSTtask_over_R0_41_50_median,5,5,1.9280558055850494,1.8804766230599763,1.9510131222744702
dup64_half,adam,R_POSTtask_over_R0_6_15_median,5,5,1.8979463996605919,1.8817950885714407,1.930010791328005
dup64_half,sgd,R50_POSTtask_over_R0,5,5,1.0013292619879832,0.9670522247009575,1.055963380492755
dup64_half,sgd,R_POSTtask_over_R0_41_50_median,5,5,1.014417973748212,0.9886968734706214,1.0218330456244376
dup64_half,sgd,R_POSTtask_over_R0_6_15_median,5,5,0.9975718024839759,0.9885828099025326,1.0212579549574192
gray32,adam,R50_POSTtask_over_R0,5,5,0.40215367642268407,0.3737777968750641,0.4257957714312345
gray32,adam,R_POSTtask_over_R0_41_50_median,5,5,0.4087614825765038,0.3685673451356705,0.41645641784028953
gray32,adam,R_POSTtask_over_R0_6_15_median,5,5,0.4240417293802975,0.3824892680558086,0.43054355133257555
gray32,sgd,R50_POSTtask_over_R0,5,5,0.7133687264769177,0.6730219914386413,0.7728305272032774
gray32,sgd,R_POSTtask_over_R0_41_50_median,5,5,0.7371789562657505,0.6829013411447692,0.7648286770164411
gray32,sgd,R_POSTtask_over_R0_6_15_median,5,5,0.7014645412463869,0.6800880916270127,0.7651024666092867
