geometry,optimizer,seed,task,series_status,R0_actual,R_posttask,R_posttask_over_R0
rgb32,adam,300,1,COMPLETE,1.4539855600099385,104.9780534609884,72.2002035978066
rgb32,adam,300,2,COMPLETE,1.4539855600099385,136.36549157068126,93.78737679468368
rgb32,adam,300,3,COMPLETE,1.4539855600099385,145.73739872934345,100.23304408081418
rgb32,adam,300,4,COMPLETE,1.4539855600099385,143.21520328336794,98.49836698680076
rgb32,adam,300,5,COMPLETE,1.4539855600099385,150.99042913709474,103.8458931710867
rgb32,adam,300,6,COMPLETE,1.4539855600099385,143.71888543602762,98.84478181134429
rgb32,adam,300,7,COMPLETE,1.4539855600099385,143.99716033079713,99.03616947187072
rgb32,adam,300,8,COMPLETE,1.4539855600099385,141.27388935122858,97.16319971586438
rgb32,adam,300,9,COMPLETE,1.4539855600099385,143.05596525438077,98.38884868526681
rgb32,adam,300,10,COMPLETE,1.4539855600099385,148.88396163579446,102.39713909866944
rgb32,adam,300,11,COMPLETE,1.4539855600099385,145.24330958213022,99.89322698716309
rgb32,adam,300,12,COMPLETE,1.4539855600099385,145.37252306539247,99.98209546482622
rgb32,adam,300,13,COMPLETE,1.4539855600099385,149.544956745444,102.85174822810608
rgb32,adam,300,14,COMPLETE,1.4539855600099385,149.94029921002578,103.12365083529501
rgb32,adam,300,15,COMPLETE,1.4539855600099385,151.0291763390465,103.87254213034562
rgb32,adam,300,16,COMPLETE,1.4539855600099385,151.96713170440597,104.51763475791824
rgb32,adam,300,17,COMPLETE,1.4539855600099385,152.7611814601163,105.06375418134972
rgb32,adam,300,18,COMPLETE,1.4539855600099385,156.25625886754693,107.46754518420312
rgb32,adam,300,19,COMPLETE,1.4539855600099385,159.54620580974407,109.73025468605995
rgb32,adam,300,20,COMPLETE,1.4539855600099385,160.7080033046396,110.52929803755485
rgb32,adam,300,21,COMPLETE,1.4539855600099385,165.75829523141655,114.00271074926187
rgb32,adam,300,22,COMPLETE,1.4539855600099385,167.84693826225487,115.4392057793941
rgb32,adam,300,23,COMPLETE,1.4539855600099385,166.9486570784778,114.82139965498463
rgb32,adam,300,24,COMPLETE,1.4539855600099385,163.95297275173724,112.76107360420866
rgb32,adam,300,25,COMPLETE,1.4539855600099385,165.1852959383199,113.60862203967886
rgb32,adam,300,26,COMPLETE,1.4539855600099385,165.88308989502525,114.08854011857682
rgb32,adam,300,27,COMPLETE,1.4539855600099385,174.06581564774316,119.71633036476192
rgb32,adam,300,28,COMPLETE,1.4539855600099385,171.74495604087411,118.12012496169507
rgb32,adam,300,29,COMPLETE,1.4539855600099385,168.97495340664244,116.21501482139027
rgb32,adam,300,30,COMPLETE,1.4539855600099385,173.56162204407744,119.36956378225041
rgb32,adam,300,31,COMPLETE,1.4539855600099385,173.3207212287792,119.20388069575773
rgb32,adam,300,32,COMPLETE,1.4539855600099385,170.99011824168122,117.60097413932532
rgb32,adam,300,33,COMPLETE,1.4539855600099385,172.45132558054314,118.60594102417659
rgb32,adam,300,34,COMPLETE,1.4539855600099385,172.8877298789962,118.90608451284375
rgb32,adam,300,35,COMPLETE,1.4539855600099385,174.31788913125533,119.88969761849891
rgb32,adam,300,36,COMPLETE,1.4539855600099385,174.7683263364099,120.19949244558886
rgb32,adam,300,37,COMPLETE,1.4539855600099385,183.01411673810335,125.8706563336519
rgb32,adam,300,38,COMPLETE,1.4539855600099385,175.64887826142564,120.8051050109638
rgb32,adam,300,39,COMPLETE,1.4539855600099385,177.97646181376507,122.40593490663589
rgb32,adam,300,40,COMPLETE,1.4539855600099385,184.34078311933555,126.7830906918192
rgb32,adam,300,41,COMPLETE,1.4539855600099385,181.960111579719,125.14574875040385
rgb32,adam,300,42,COMPLETE,1.4539855600099385,182.642326808824,125.61495232977113
rgb32,adam,300,43,COMPLETE,1.4539855600099385,181.3495402861828,124.72581934372388
rgb32,adam,300,44,COMPLETE,1.4539855600099385,182.2483534449177,125.34399134175169
rgb32,adam,300,45,COMPLETE,1.4539855600099385,183.4894683207202,126.19758639106841
rgb32,adam,300,46,COMPLETE,1.4539855600099385,183.9965465066568,126.54633688755419
rgb32,adam,300,47,COMPLETE,1.4539855600099385,183.44743469681504,126.16867714667063
rgb32,adam,300,48,COMPLETE,1.4539855600099385,185.4128858127117,127.52044512150749
rgb32,adam,300,49,COMPLETE,1.4539855600099385,186.3421899560042,128.1595877435884
rgb32,adam,300,50,COMPLETE,1.4539855600099385,191.33344035031476,131.59239377109557
rgb32,adam,301,1,COMPLETE,1.4595344294411063,96.41355688855607,66.05774755548269
rgb32,adam,301,2,COMPLETE,1.4595344294411063,135.6333647835485,92.92919854962656
rgb32,adam,301,3,COMPLETE,1.4595344294411063,147.3418790575938,100.95128698951955
rgb32,adam,301,4,COMPLETE,1.4595344294411063,146.40560168842862,100.3097965592296
rgb32,adam,301,5,COMPLETE,1.4595344294411063,143.60649848140187,98.39199102442039
rgb32,adam,301,6,COMPLETE,1.4595344294411063,140.19098820221205,96.05185419017133
