geometry,optimizer,window,metric,n_seed,n_valid,paired_ratio_seed_median,paired_ratio_seed_min,paired_ratio_seed_max
avg16,adam,early,A_displacement,5,5,0.5864311929203369,0.5754434959750331,0.5993997456744622
avg16,adam,early,A_width,5,5,0.6444180084189732,0.6300213167145529,0.6677463208703135
avg16,adam,early,D_div_sqrt_d,5,5,0.6232000848170535,0.6182071749003294,0.6289601200791712
avg16,adam,early,D_div_sqrt_trace,5,5,0.6449201476137026,0.6405145000794462,0.6517117636333911
avg16,adam,early,D_eff,5,5,0.3116000424085267,0.3091035874501647,0.3144800600395856
avg16,adam,early,R,5,5,0.34101326692891987,0.33873841922146614,0.3468921275576746
avg16,adam,early,R_div_sqrt_d,5,5,0.6820265338578396,0.6774768384429324,0.6937842551153494
avg16,adam,early,R_div_sqrt_trace,5,5,0.7063047884941448,0.7019834980107174,0.718352624907651
avg16,adam,early,delta_W_RMS,5,5,1.1081849839252484,1.0877581662992568,1.1187772283179591
avg16,adam,early,raw_W_RMS,5,5,1.0712885776110355,1.0651717473837368,1.0900654559535146
avg16,adam,late,A_displacement,5,5,0.57770703917886,0.5650389278585654,0.6172774621698386
avg16,adam,late,A_width,5,5,0.6919422986446279,0.6715745939938346,0.7013009733975343
avg16,adam,late,D_div_sqrt_d,5,5,0.629073041057161,0.6101974515340831,0.6617384621005177
avg16,adam,late,D_div_sqrt_trace,5,5,0.6518287693502364,0.6314643404331216,0.6852945176026958
avg16,adam,late,D_eff,5,5,0.31453652052858055,0.3050987257670416,0.33086923105025884
avg16,adam,late,R,5,5,0.3339334985520434,0.331372065390665,0.33761267654001426
avg16,adam,late,R_div_sqrt_d,5,5,0.667866997104087,0.6627441307813299,0.6752253530800285
avg16,adam,late,R_div_sqrt_trace,5,5,0.691641211469561,0.6866585229723842,0.6996505687043757
avg16,adam,late,delta_W_RMS,5,5,1.1281825715818024,1.0988162133433688,1.140146714645546
avg16,adam,late,raw_W_RMS,5,5,1.008164659996535,1.0024509474386494,1.0145617050433038
avg16,sgd,early,A_displacement,5,5,0.7660838805158047,0.7437670768138323,0.8170605637280839
avg16,sgd,early,A_width,5,5,0.6966523320046301,0.6573253016231236,0.7193351494792044
avg16,sgd,early,D_div_sqrt_d,5,5,1.0402923542446647,1.0103961029517636,1.061047605888993
avg16,sgd,early,D_div_sqrt_trace,5,5,1.077323879293539,1.046855133748181,1.099429334956658
avg16,sgd,early,D_eff,5,5,0.5201461771223324,0.5051980514758818,0.5305238029444964
avg16,sgd,early,R,5,5,0.6581155146738483,0.6079491562067538,0.6783218326482876
avg16,sgd,early,R_div_sqrt_d,5,5,1.3162310293476966,1.2158983124135074,1.3566436652965754
avg16,sgd,early,R_div_sqrt_trace,5,5,1.363843617584536,1.2589558467247235,1.4055966581162376
avg16,sgd,early,delta_W_RMS,5,5,1.38848100491317,1.3454085055075238,1.435583862720317
avg16,sgd,early,raw_W_RMS,5,5,1.9407482079521194,1.8974366785639791,1.9658118981749897
avg16,sgd,late,A_displacement,5,5,0.731303856819279,0.7094661309479336,0.7418366048969431
avg16,sgd,late,A_width,5,5,0.8362585413929767,0.8161842120740685,0.843274788679418
avg16,sgd,late,D_div_sqrt_d,5,5,1.020889448999742,0.9754676692040005,1.034512211311385
avg16,sgd,late,D_div_sqrt_trace,5,5,1.0572302843894388,1.0107536786025002,1.071146479637241
avg16,sgd,late,D_eff,5,5,0.510444724499871,0.48773383460200037,0.5172561056556926
avg16,sgd,late,R,5,5,0.6578238509392166,0.651017410369528,0.6738143585379719
avg16,sgd,late,R_div_sqrt_d,5,5,1.3156477018784332,1.302034820739056,1.3476287170759438
avg16,sgd,late,R_div_sqrt_trace,5,5,1.3624811142637234,1.3491338834473698,1.3953511039991555
avg16,sgd,late,delta_W_RMS,5,5,1.44520669752842,1.4188259207581737,1.4872243293063014
