geometry,optimizer,metric,n_seed,n_valid,seed_median,seed_min,seed_max
avg16,adam,R0_actual,5,5,1.3741934585067237,1.337461133189891,1.4127981735665631
avg16,adam,R50_POSTtask,5,5,62.344375919374414,61.58684320969112,64.38239568020961
avg16,adam,R_POSTtask_6_15_median,5,5,49.39458204179796,49.24992461730397,50.375119232303504
avg16,adam,R_POSTtask_41_50_median,5,5,61.19277729147761,61.05942273208265,61.921420066875555
avg16,adam,R50_POSTtask_over_R0,5,5,45.231092855541256,43.59210279428457,48.13776945177867
avg16,adam,R_POSTtask_over_R0_6_15_median,5,5,35.95612925418713,34.95478672835978,37.66473505824959
avg16,adam,R_POSTtask_over_R0_41_50_median,5,5,44.58895688654057,43.313176953646845,45.6532314972427
avg16,sgd,R0_actual,5,5,1.3741934585067237,1.337461133189891,1.4127981735665631
avg16,sgd,R50_POSTtask,5,5,27.159459124710605,27.12086024696161,27.60349943363491
avg16,sgd,R_POSTtask_6_15_median,5,5,26.080943377667573,24.580281092047667,27.00484449521468
avg16,sgd,R_POSTtask_41_50_median,5,5,27.085685849413625,26.866604474930085,27.67594964176751
avg16,sgd,R50_POSTtask_over_R0,5,5,19.870528359882467,19.223877573501834,20.277867949910007
avg16,sgd,R_POSTtask_over_R0_6_15_median,5,5,18.943508176879604,17.88706018056438,20.151795711696636
avg16,sgd,R_POSTtask_over_R0_41_50_median,5,5,19.85336777276511,19.03716546901642,20.25156857067938
dup64,adam,R0_actual,5,5,1.4539855600099385,1.374406397177089,1.4671841977722782
dup64,adam,R50_POSTtask,5,5,690.6213008703028,682.875246574581,698.8750407534048
dup64,adam,R_POSTtask_6_15_median,5,5,529.9635543620954,525.422785101812,536.2925601593479
dup64,adam,R_POSTtask_41_50_median,5,5,678.5833402739954,677.18702571873,690.9550058115817
dup64,adam,R50_POSTtask_over_R0,5,5,475.49723721382185,470.1042021988798,508.49227869488476
dup64,adam,R_POSTtask_over_R0_6_15_median,5,5,365.43209503496576,361.2113292705672,390.199406275208
