geometry,reference_geometry,optimizer,seed,window,metric,geometry_series_status,reference_series_status,window_pair_available,geometry_value,reference_value,paired_ratio
dup64,rgb32,adam,300,early,R,COMPLETE,COMPLETE,True,527.7786212445139,145.30791632376133,3.6321394910692106
dup64,rgb32,adam,300,early,R_div_sqrt_d,COMPLETE,COMPLETE,True,4.761142641375776,2.621673893903351,1.8160697455346053
dup64,rgb32,adam,300,early,R_div_sqrt_trace,COMPLETE,COMPLETE,True,18.960457370303647,10.440379515667868,1.816069745534605
dup64,rgb32,adam,300,early,raw_W_RMS,COMPLETE,COMPLETE,True,0.3902909879254121,0.3998686605263079,0.9760479538749308
dup64,rgb32,adam,300,early,A_width,COMPLETE,COMPLETE,True,4.874268771743578,2.622918030402325,1.8583382001441815
dup64,rgb32,adam,300,early,D_eff,COMPLETE,COMPLETE,True,330.47557938995953,90.4268498817996,3.654617846601279
dup64,rgb32,adam,300,early,D_div_sqrt_d,COMPLETE,COMPLETE,True,2.9812525737717297,1.6314989412883398,1.8273089233006397
dup64,rgb32,adam,300,early,D_div_sqrt_trace,COMPLETE,COMPLETE,True,11.872341702993637,6.497172728489067,1.8273089233006397
dup64,rgb32,adam,300,early,delta_W_RMS,COMPLETE,COMPLETE,True,0.17125146190713736,0.20475020695664056,0.8363921309413028
dup64,rgb32,adam,300,early,A_displacement,COMPLETE,COMPLETE,True,6.956478470770019,3.1837441055409474,2.184999246221784
dup64,rgb32,adam,300,late,R,COMPLETE,COMPLETE,True,682.4962319310158,183.4684515087676,3.7199650747496533
dup64,rgb32,adam,300,late,R_div_sqrt_d,COMPLETE,COMPLETE,True,6.156865362910582,3.310173745824712,1.8599825373748267
dup64,rgb32,adam,300,late,R_div_sqrt_trace,COMPLETE,COMPLETE,True,24.518690583576582,13.18221547293782,1.8599825373748262
dup64,rgb32,adam,300,late,raw_W_RMS,COMPLETE,COMPLETE,True,0.7374565484088229,0.764962173266385,0.9640431568791
dup64,rgb32,adam,300,late,A_width,COMPLETE,COMPLETE,True,3.323409629183417,1.717623647289669,1.9348881429454028
dup64,rgb32,adam,300,late,D_eff,COMPLETE,COMPLETE,True,386.4018297586631,102.92408057638602,3.754241258165931
dup64,rgb32,adam,300,late,D_div_sqrt_d,COMPLETE,COMPLETE,True,3.485768756664502,1.8569764258397252,1.8771206290829656
dup64,rgb32,adam,300,late,D_div_sqrt_trace,COMPLETE,COMPLETE,True,13.881493349750976,7.395099246515945,1.8771206290829656
dup64,rgb32,adam,300,late,delta_W_RMS,COMPLETE,COMPLETE,True,0.17711655496605655,0.2155017696014351,0.8218798170132384
dup64,rgb32,adam,300,late,A_displacement,COMPLETE,COMPLETE,True,7.911515245452521,3.4098808654781028,2.320173506807617
dup64,rgb32,adam,301,early,R,COMPLETE,COMPLETE,True,528.4953309872274,144.72484724749725,3.6517249182749905
dup64,rgb32,adam,301,early,R_div_sqrt_d,COMPLETE,COMPLETE,True,4.767608150170876,2.611154047399063,1.8258624591374948
dup64,rgb32,adam,301,early,R_div_sqrt_trace,COMPLETE,COMPLETE,True,19.172679307978065,10.500615318546444,1.8258624591374955
dup64,rgb32,adam,301,early,raw_W_RMS,COMPLETE,COMPLETE,True,0.3867013314324099,0.3992116154547023,0.9686625249918063
dup64,rgb32,adam,301,early,A_width,COMPLETE,COMPLETE,True,4.898262473764792,2.6415155127164764,1.8543379549293377
dup64,rgb32,adam,301,early,D_eff,COMPLETE,COMPLETE,True,336.418565302484,89.02318759704329,3.7789993189780753
dup64,rgb32,adam,301,early,D_div_sqrt_d,COMPLETE,COMPLETE,True,3.0348648318402636,1.6061737913522345,1.8894996594890376
dup64,rgb32,adam,301,early,D_div_sqrt_trace,COMPLETE,COMPLETE,True,12.204545409598873,6.459141364915224,1.8894996594890376
dup64,rgb32,adam,301,early,delta_W_RMS,COMPLETE,COMPLETE,True,0.1736147308264287,0.2077904551298344,0.8355279395193991
