geometry,reference_geometry,optimizer,seed,metric,geometry_series_status,reference_series_status,geometry_growth,reference_growth,paired_growth_ratio
dup64,rgb32,adam,300,R50_POSTtask_over_R0,COMPLETE,COMPLETE,479.4455166476309,131.59239377109557,3.64341359639391
dup64,rgb32,adam,300,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,364.04708583963736,99.93766122599465,3.642741698911657
dup64,rgb32,adam,300,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,471.21540494987113,126.18313176886952,3.7343771575823586
dup64,rgb32,adam,301,R50_POSTtask_over_R0,COMPLETE,COMPLETE,473.17917750988556,126.4980100017714,3.74060570204432
dup64,rgb32,adam,301,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,365.43209503496576,99.31340031063766,3.679584969318824
dup64,rgb32,adam,301,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,464.93136892552957,124.68730996065914,3.72877856673805
dup64,rgb32,adam,302,R50_POSTtask_over_R0,COMPLETE,COMPLETE,470.1042021988798,128.9278033313931,3.646259302119145
dup64,rgb32,adam,302,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,361.2113292705672,99.67775355019799,3.6237908300036095
dup64,rgb32,adam,302,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,461.70218114464,125.55915522716603,3.6771685848738964
dup64,rgb32,adam,303,R50_POSTtask_over_R0,COMPLETE,COMPLETE,508.49227869488476,135.96686176964516,3.73982507264433
dup64,rgb32,adam,303,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,390.199406275208,108.93009094383457,3.5821085146839606
dup64,rgb32,adam,303,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,502.7297655415044,132.71750901040875,3.787968665853097
dup64,rgb32,adam,304,R50_POSTtask_over_R0,COMPLETE,COMPLETE,475.49723721382185,129.1334217518857,3.682216662139043
dup64,rgb32,adam,304,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,365.8605051776716,101.35700910507747,3.609622150535062
dup64,rgb32,adam,304,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,471.5364357128352,128.54365984007268,3.6682978864884994
dup64,rgb32,sgd,300,R50_POSTtask_over_R0,COMPLETE,COMPLETE,50.67341265262864,29.122956433559,1.7399817483583704
dup64,rgb32,sgd,300,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,45.54208139575361,26.93950101794676,1.6905317349944249
dup64,rgb32,sgd,300,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,50.84623278722957,28.368003594404854,1.7923796652809996
dup64,rgb32,sgd,301,R50_POSTtask_over_R0,COMPLETE,COMPLETE,50.58723665209629,28.085556632665046,1.8011833382451303
dup64,rgb32,sgd,301,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,44.5842671676795,27.571331286056672,1.6170516651920461
dup64,rgb32,sgd,301,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,49.800037570546365,28.141544306718103,1.7696270335334023
dup64,rgb32,sgd,302,R50_POSTtask_over_R0,COMPLETE,COMPLETE,49.088905894472724,28.054193433757575,1.7497885302025509
dup64,rgb32,sgd,302,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,45.87401062071002,26.001175980018544,1.7643052243469066
dup64,rgb32,sgd,302,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,49.00675871742676,28.117235824914623,1.7429436884404539
dup64,rgb32,sgd,303,R50_POSTtask_over_R0,COMPLETE,COMPLETE,54.63264182154982,30.564668599079383,1.7874442722796402
dup64,rgb32,sgd,303,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,48.33257387681718,29.30209759322763,1.649457815197091
dup64,rgb32,sgd,303,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,53.12800968496126,29.860404081317142,1.7792126838029643
dup64,rgb32,sgd,304,R50_POSTtask_over_R0,COMPLETE,COMPLETE,52.67983571759558,28.930118698510576,1.8209339638937507
dup64,rgb32,sgd,304,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,45.13493231904624,27.721231057965625,1.6281720037854104
